Annotation Cluster 1	Enrichment Score: 1.3502487051400036
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Isopeptide bond	6	22.22222222222222	0.012486432478088238	ZNF462, ZFHX3, TCOF1, WRNIP1, LRRFIP1, MKI67	27	1132	20581	4.0402434236356495	0.6731614073586011	0.3704308301832844	0.3704308301832844
UP_KEYWORDS	Nucleus	12	44.44444444444444	0.04543004406656885	SRRM2, ZNF462, ZFHX3, ZFHX2, TCOF1, TENM4, TNFAIP3, WRNIP1, URB2, LRRFIP1, MKI67, STOX1	27	5244	20581	1.744300364437664	0.9840452223924242	0.7517781155523975	0.7517781155523975
UP_KEYWORDS	Ubl conjugation	6	22.22222222222222	0.05912861582996385	ZNF462, ZFHX3, TCOF1, WRNIP1, LRRFIP1, MKI67	27	1705	20581	2.682437275985663	0.9955924916666664	0.7517781155523975	0.7517781155523975
GOTERM_CC_DIRECT	GO:0005634~nucleus	12	44.44444444444444	0.1184202397056893	ZNF462, ZFHX3, ZFHX2, TCOF1, TENM4, NLRC5, TNFAIP3, TRIP11, WRNIP1, LRRFIP1, MKI67, STOX1	27	5415	18224	1.4957627988098903	0.9976419265804903	1.0	1.0

Annotation Cluster 2	Enrichment Score: 0.7005171496343733
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Oxidoreductase	3	11.11111111111111	0.1666958258743585	SDR42E1, HSD11B1L, PXDNL	27	582	20581	3.9291714394807173	0.999999910563129	1.0	1.0
UP_SEQ_FEATURE	active site:Proton acceptor	3	11.11111111111111	0.2159842901138684	SDR42E1, HSD11B1L, PXDNL	27	672	20063	3.3172949735449735	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	3	11.11111111111111	0.21983744233605726	SDR42E1, HSD11B1L, PXDNL	26	592	16792	3.272869022869023	1.0	1.0	1.0

Annotation Cluster 3	Enrichment Score: 0.6241766750490461
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	DNA-binding	7	25.925925925925924	0.039100635438532955	ZNF462, ZFHX3, ZFHX2, TNFAIP3, LRRFIP1, MKI67, STOX1	27	2050	20581	2.6028364950316165	0.9712701306781784	0.7517781155523975	0.7517781155523975
UP_KEYWORDS	Zinc-finger	6	22.22222222222222	0.06886621848947512	ZNF462, ZFHX3, ZFHX2, FGD6, TNFAIP3, WRNIP1	27	1781	20581	2.567970553372013	0.9982538747267585	0.7661366806954107	0.7661366806954107
UP_SEQ_FEATURE	zinc finger region:C2H2-type 1	3	11.11111111111111	0.16056824701051828	ZNF462, ZFHX3, ZFHX2	27	554	20063	4.023866827115924	1.0	1.0	1.0
UP_KEYWORDS	Zinc	6	22.22222222222222	0.1680587594368146	ZNF462, ZFHX3, ZFHX2, FGD6, TNFAIP3, WRNIP1	27	2348	20581	1.947851599469998	0.9999999226881336	1.0	1.0
UP_KEYWORDS	Repressor	3	11.11111111111111	0.17119614594390922	ZFHX3, ZFHX2, LRRFIP1	27	592	20581	3.8628003003002997	0.9999999447659597	1.0	1.0
UP_SEQ_FEATURE	zinc finger region:C2H2-type 4	3	11.11111111111111	0.17625263780241524	ZNF462, ZFHX3, ZFHX2	27	588	20063	3.7911942554799696	1.0	1.0	1.0
UP_SEQ_FEATURE	zinc finger region:C2H2-type 2	3	11.11111111111111	0.188890221660385	ZNF462, ZFHX3, ZFHX2	27	615	20063	3.624751580849142	1.0	1.0	1.0
UP_SEQ_FEATURE	zinc finger region:C2H2-type 3	3	11.11111111111111	0.1988138508006956	ZNF462, ZFHX3, ZFHX2	27	636	20063	3.505066387141859	1.0	1.0	1.0
UP_KEYWORDS	Activator	3	11.11111111111111	0.20278744251952383	ZFHX3, ZFHX2, STOX1	27	661	20581	3.4595730374852915	0.9999999982618084	1.0	1.0
INTERPRO	IPR013087:Zinc finger C2H2-type/integrase DNA-binding domain	3	11.11111111111111	0.2632332314230036	ZNF462, ZFHX3, ZFHX2	27	712	18559	2.8962234706616727	0.9999999999867851	1.0	1.0
INTERPRO	IPR015880:Zinc finger, C2H2-like	3	11.11111111111111	0.2895415110595284	ZNF462, ZFHX3, ZFHX2	27	762	18559	2.706182560513269	0.9999999999993299	1.0	1.0
UP_KEYWORDS	Metal-binding	7	25.925925925925924	0.30622399245800414	ZNF462, ZFHX3, ZFHX2, FGD6, TNFAIP3, WRNIP1, PXDNL	27	3640	20581	1.4658831908831909	0.9999999999999926	1.0	1.0
INTERPRO	IPR007087:Zinc finger, C2H2	3	11.11111111111111	0.3089862188648411	ZNF462, ZFHX3, ZFHX2	27	799	18559	2.5808649701015156	0.9999999999999312	1.0	1.0
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	5	18.51851851851852	0.33843008165159116	ZNF462, ZFHX2, FGD6, WRNIP1, PXDNL	25	2069	16881	1.6318028032866119	0.9999999992930915	1.0	1.0
UP_KEYWORDS	Transcription regulation	5	18.51851851851852	0.3396263163343201	ZNF462, ZFHX3, ZFHX2, LRRFIP1, STOX1	27	2332	20581	1.6343466107617048	0.9999999999999999	1.0	1.0
SMART	SM00355:ZnF_C2H2	3	11.11111111111111	0.34476912545325766	ZNF462, ZFHX3, ZFHX2	17	762	10057	2.3290875405280222	0.99998316344691	1.0	1.0
UP_KEYWORDS	Transcription	5	18.51851851851852	0.35947773987157633	ZNF462, ZFHX3, ZFHX2, LRRFIP1, STOX1	27	2398	20581	1.5893645939517498	1.0	1.0	1.0
GOTERM_MF_DIRECT	GO:0008270~zinc ion binding	3	11.11111111111111	0.5024879944111442	ZFHX3, ZFHX2, TNFAIP3	25	1169	16881	1.7328656971770742	0.9999999999999997	1.0	1.0
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	4	14.814814814814813	0.5696772204575357	ZNF462, ZFHX2, LRRFIP1, STOX1	26	1955	16792	1.3214243556954557	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006355~regulation of transcription, DNA-templated	3	11.11111111111111	0.66891935925248	ZFHX3, ZFHX2, LRRFIP1	26	1504	16792	1.2882569558101473	1.0	1.0	1.0

Annotation Cluster 4	Enrichment Score: 0.32915977787045625
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Cell adhesion	3	11.11111111111111	0.12193283594034802	PCDH10, EMILIN2, DCHS1	27	479	20581	4.774066341916028	0.999990581785721	1.0	1.0
UP_KEYWORDS	Calcium	3	11.11111111111111	0.3046999113407697	PCDH10, DCHS1, PXDNL	27	877	20581	2.6075003167363486	0.999999999999991	1.0	1.0
UP_KEYWORDS	Glycoprotein	7	25.925925925925924	0.5290516562920717	DISP2, ZNF462, TENM4, PCDH10, EMILIN2, DCHS1, PXDNL	27	4551	20581	1.1724488716358634	1.0	1.0	1.0
