Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Coiled coil	36	25.71428571428571	1.469415440048907E-4	CREBZF, RYR2, SLC24A1, DNMT1, DNAH7, MYT1L, KIF14, MIA3, KIAA1211, RASAL2, PKD2, PPL, SYNGAP1, PCLO, SALL2, EMILIN2, BSN, SCN3A, EXPH5, GUCY1A3, ZNF462, ZFHX3, LAMB2, MGA, STARD9, LMO7, ZFHX4, CKAP4, TNRC6C, MAP1A, ASXL2, FAM175A, TRIP11, VIM, FAM161B, TRIM54	130	2237	15333	1.8981052921151267	0.009506427650206484	0.009698141904322787	0.009698141904322787
INTERPRO	IPR007087:Zinc finger, C2H2	14	10.0	2.471311794852674E-4	KCMF1, EGR1, ZNF462, ZFHX3, BNC1, ZBTB5, IKZF2, ZFHX4, ZNF609, ZNF608, SALL2, MECOM, HIVEP1, ZNF821	124	484	14426	3.3651692881898163	0.07261300021184336	0.07537500974300655	0.07488074738403602
INTERPRO	IPR020894:Cadherin conserved site	5	3.571428571428571	9.931891678793526E-4	FAT3, DCHS1, PCDH12, PCDH18, PCDH17	124	52	14426	11.186414392059552	0.2614549860492129	0.11090881786689151	0.11018154693005944
INTERPRO	IPR002126:Cadherin	5	3.571428571428571	0.0015949215946863655	FAT3, DCHS1, PCDH12, PCDH18, PCDH17	124	59	14426	9.859212684527064	0.3854342911007447	0.11090881786689151	0.11018154693005944
INTERPRO	IPR015919:Cadherin-like	5	3.571428571428571	0.0018050088731224189	FAT3, DCHS1, PCDH12, PCDH18, PCDH17	124	61	14426	9.535959809624536	0.42364135166430317	0.11090881786689151	0.11018154693005944
INTERPRO	IPR015880:Zinc finger, C2H2-like	12	8.571428571428571	0.0018181773420801886	KCMF1, EGR1, ZNF462, ZFHX3, MECOM, SALL2, BNC1, HIVEP1, ZNF821, ZBTB5, IKZF2, ZFHX4	124	457	14426	3.0548457683348627	0.4259557706319843	0.11090881786689151	0.11018154693005944
GOTERM_BP_DIRECT	GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules	5	3.571428571428571	0.0026671164532646803	FAT3, DCHS1, PCDH12, PCDH18, PCDH17	85	72	10419	8.512254901960784	0.6742696571208642	0.9693440069952381	0.9693440069952381
SMART	SM00112:CA	5	3.571428571428571	0.002669193139044152	FAT3, DCHS1, PCDH12, PCDH18, PCDH17	80	58	7851	8.460129310344827	0.215902044026822	0.17390274216025003	0.17390274216025003
GOTERM_BP_DIRECT	GO:0030509~BMP signaling pathway	4	2.857142857142857	0.004626940367519036	EGR1, RYR2, USP15, T	85	42	10419	11.673949579831932	0.8574160987357513	0.9693440069952381	0.9693440069952381
SMART	SM00181:EGF	7	5.0	0.005652910291274574	ACAN, TENM3, TENM4, LAMB2, FAT3, TEK, TECTA	80	162	7851	4.240509259259259	0.4030215776722501	0.17390274216025003	0.17390274216025003
SMART	SM00355:ZnF_C2H2	12	8.571428571428571	0.005733057433854397	KCMF1, EGR1, ZNF462, ZFHX3, MECOM, SALL2, BNC1, HIVEP1, ZNF821, ZBTB5, IKZF2, ZFHX4	80	457	7851	2.57691466083151	0.40738448242804626	0.17390274216025003	0.17390274216025003
INTERPRO	IPR000742:Epidermal growth factor-like domain	7	5.0	0.007327709228701086	ACAN, TENM3, TENM4, LAMB2, FAT3, TEK, TECTA	124	200	14426	4.071854838709678	0.8938795038891432	0.3724918857923052	0.37004931604940483
GOTERM_CC_DIRECT	GO:0005911~cell-cell junction	5	3.571428571428571	0.007702827775642545	FZD4, THEMIS, TEK, PCDH12, PKD2	101	97	12438	6.34786159028274	0.5559988015625166	0.8087969164424672	0.8087969164424672
