Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Coiled coil	50	21.367521367521366	6.494524892147257E-4	CREBZF, RYR2, MYT1L, MCM9, KIF14, MIA3, PKD2, TRIM6, PCLO, SYNGAP1, SALL2, SESN1, EMILIN2, BSN, GUCY1A3, STARD9, LMO7, CKAP4, ZW10, MAP1A, FAM161B, SFI1, TRIM54, SLC24A1, DNMT1, DNAH7, DNAH8, TRANK1, DNAH9, KIAA1211, RASAL2, PPL, CACNA1G, MAP7, MAPK6, SCN3A, MORC2, EXPH5, ZNF462, ZFHX3, LAMB2, MGA, ZFHX4, TNRC6C, FAM175A, ASXL2, TRIP11, VIM, TRIM38, SPC25	214	2237	15333	1.601464745424237	0.05372437627301907	0.05585291407246641	0.05585291407246641
INTERPRO	IPR007087:Zinc finger, C2H2	17	7.264957264957266	0.0014518098330327288	KCMF1, EGR1, ZNF462, OSR2, ZFHX3, BNC1, ZBTB5, IKZF2, ZFHX4, ZNF609, ZNF608, SALL2, MECOM, ZNF317, HIVEP1, ZNF821, ZNF169	205	484	14426	2.471699254182625	0.47917243629961026	0.48384474799775173	0.48384474799775173
INTERPRO	IPR005821:Ion transport domain	7	2.9914529914529915	0.0027987705761224387	TRPC7, RYR2, KCNB2, KCNA3, SCN3A, TRPM3, CACNA1G	205	99	14426	4.975708302537571	0.7158945512859745	0.48384474799775173	0.48384474799775173
GOTERM_BP_DIRECT	GO:0030509~BMP signaling pathway	5	2.1367521367521367	0.0028078104580106676	ACVR1, EGR1, RYR2, USP15, T	148	42	10419	8.380791505791507	0.8538678121172754	1.0	1.0
UP_KEYWORDS	Calcium	9	3.8461538461538463	0.005094396276279676	S100A16, C1R, HPCA, FAT3, DCHS1, PCDH12, PCDH18, S100A8, PCDH17	214	190	15333	3.3939252336448593	0.3521722533546777	0.2190590398800261	0.2190590398800261
SMART	SM00181:EGF	9	3.8461538461538463	0.005100944256823001	ACAN, TENM3, TENM4, LAMB2, C1R, NRXN3, FAT3, TEK, TECTA	130	162	7851	3.355128205128205	0.4776815436762176	0.6478199206165212	0.6478199206165212
INTERPRO	IPR015880:Zinc finger, C2H2-like	15	6.41025641025641	0.005520609527115115	KCMF1, EGR1, ZNF462, OSR2, ZFHX3, BNC1, ZBTB5, IKZF2, ZFHX4, SALL2, MECOM, ZNF317, HIVEP1, ZNF821, ZNF169	205	457	14426	2.309761434594652	0.9167261812349005	0.48384474799775173	0.48384474799775173
INTERPRO	IPR020894:Cadherin conserved site	5	2.1367521367521367	0.006188647283455131	FAT3, DCHS1, PCDH12, PCDH18, PCDH17	205	52	14426	6.766416510318949	0.9384149710901544	0.48384474799775173	0.48384474799775173
GOTERM_BP_DIRECT	GO:0007018~microtubule-based movement	5	2.1367521367521367	0.006519311809220081	DYNC1LI2, DNAH8, STARD9, KIF14, DNAH9	148	53	10419	6.641381947985722	0.9885961954878265	1.0	1.0
INTERPRO	IPR000742:Epidermal growth factor-like domain	9	3.8461538461538463	0.0075828878510796685	ACAN, TENM3, TENM4, LAMB2, C1R, NRXN3, FAT3, TEK, TECTA	205	200	14426	3.166682926829268	0.9672119470100591	0.48384474799775173	0.48384474799775173
INTERPRO	IPR002126:Cadherin	5	2.1367521367521367	0.009639452382457009	FAT3, DCHS1, PCDH12, PCDH18, PCDH17	205	59	14426	5.963621331128566	0.9870816884756684	0.48384474799775173	0.48384474799775173
GOTERM_MF_DIRECT	GO:0003777~microtubule motor activity	5	2.1367521367521367	0.010301290827510617	DYNC1LI2, DNAH7, DNAH8, STARD9, DNAH9	148	57	9821	5.820886676149835	0.7725271610318497	1.0	1.0
INTERPRO	IPR015919:Cadherin-like	5	2.1367521367521367	0.010814863746186901	FAT3, DCHS1, PCDH12, PCDH18, PCDH17	205	61	14426	5.768092762894843	0.9924206095209596	0.48384474799775173	0.48384474799775173
