Annotation Cluster 1	Enrichment Score: 1.6102198590922763
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR003131:Potassium channel tetramerisation-type BTB domain	4	3.0534351145038165	0.005563616042370864	KCNG1, KCNC1, KCNA4, KCTD6	122	43	14426	10.999618757148305	0.8650586534993115	1.0	1.0
GOTERM_CC_DIRECT	GO:0008076~voltage-gated potassium channel complex	4	3.0534351145038165	0.01116352737822467	KCNG1, KCNC1, AKAP9, KCNA4	110	53	12438	8.53379073756432	0.756956468407008	1.0	1.0
INTERPRO	IPR000210:BTB/POZ-like	6	4.580152671755725	0.01146914623148467	KCNG1, KCNC1, MYNN, KCNA4, CCIN, KCTD6	122	161	14426	4.406679564199165	0.984096519075341	1.0	1.0
INTERPRO	IPR011333:BTB/POZ fold	6	4.580152671755725	0.01457247729470563	KCNG1, KCNC1, MYNN, KCNA4, CCIN, KCTD6	122	171	14426	4.148979004889272	0.9948564504252037	1.0	1.0
GOTERM_BP_DIRECT	GO:0051260~protein homooligomerization	5	3.816793893129771	0.017254831819038783	KCNG1, KCNC1, CCDC88C, KCNA4, KCTD6	90	116	10419	4.989942528735632	0.9993976752122903	1.0	1.0
INTERPRO	IPR003968:Potassium channel, voltage dependent, Kv	3	2.2900763358778624	0.018455583762027487	KCNG1, KCNC1, KCNA4	122	25	14426	14.189508196721311	0.9987535510591793	1.0	1.0
SMART	SM00225:BTB	6	4.580152671755725	0.024392302054436252	KCNG1, KCNC1, MYNN, KCNA4, CCIN, KCTD6	84	156	7851	3.59478021978022	0.9153704870052565	1.0	1.0
UP_KEYWORDS	Potassium channel	3	2.2900763358778624	0.027473189751635187	KCNG1, KCNC1, KCNA4	125	32	15333	11.499749999999999	0.8829364035886981	1.0	1.0
INTERPRO	IPR005821:Ion transport domain	4	3.0534351145038165	0.050541635994022734	KCNG1, TRPC3, KCNC1, KCNA4	122	99	14426	4.777612187448254	0.9999999917991862	1.0	1.0
UP_KEYWORDS	Potassium transport	3	2.2900763358778624	0.06845396486558442	KCNG1, KCNC1, KCNA4	125	53	15333	6.943245283018869	0.9957466338277569	1.0	1.0
INTERPRO	IPR027359:Voltage-dependent potassium channel, four helix bundle domain	3	2.2900763358778624	0.07531405631880587	KCNG1, KCNC1, KCNA4	122	54	14426	6.569216757741348	0.9999999999993806	1.0	1.0
UP_KEYWORDS	Potassium	3	2.2900763358778624	0.08241652263360469	KCNG1, KCNC1, KCNA4	125	59	15333	6.237152542372882	0.9986704336145241	1.0	1.0

Annotation Cluster 2	Enrichment Score: 1.5115446120136213
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR015880:Zinc finger, C2H2-like	10	7.633587786259542	0.014752992697411685	ZNF829, ZFHX2, ZNF638, MYNN, ZNF644, ZNF79, RREB1, TRERF1, ZFP90, ZNF630	122	457	14426	2.5874376726333534	0.9951838539622068	1.0	1.0
INTERPRO	IPR007087:Zinc finger, C2H2	10	7.633587786259542	0.020617393108944393	ZNF829, ZFHX2, ZNF638, MYNN, ZNF644, ZNF79, RREB1, TRERF1, ZFP90, ZNF630	122	484	14426	2.443097141308766	0.9994351840739534	1.0	1.0
SMART	SM00355:ZnF_C2H2	10	7.633587786259542	0.05115719732282578	ZNF829, ZFHX2, ZNF638, MYNN, ZNF644, ZNF79, RREB1, TRERF1, ZFP90, ZNF630	84	457	7851	2.0451703657392932	0.9947588478677076	1.0	1.0
INTERPRO	IPR013087:Zinc finger C2H2-type/integrase DNA-binding domain	8	6.106870229007633	0.057783112231357805	ZNF829, ZFHX2, MYNN, ZNF644, ZNF79, RREB1, ZFP90, ZNF630	122	411	14426	2.301623389573611	0.9999999994749903	1.0	1.0

Annotation Cluster 3	Enrichment Score: 1.3136162168622838
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR000330:SNF2-related	3	2.2900763358778624	0.026044427307715935	CHD7, SMARCAD1, TTF2	122	30	14426	11.824590163934426	0.999923165951634	1.0	1.0
INTERPRO	IPR014001:Helicase, superfamily 1/2, ATP-binding domain	4	3.0534351145038165	0.053067404149074196	BRIP1, CHD7, SMARCAD1, TTF2	122	101	14426	4.6830060055185845	0.9999999968483004	1.0	1.0
SMART	SM00487:DEXDc	4	3.0534351145038165	0.0829103394274287	BRIP1, CHD7, SMARCAD1, TTF2	84	97	7851	3.8541973490427095	0.9998257472197037	1.0	1.0

