Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR013320:Concanavalin A-like lectin/glucanase, subgroup	5	7.352941176470589	0.005018467257452525	TRIM6, LRBA, NRXN3, PTX3, TRIM38	59	172	14426	7.107804493496255	0.6037550815004151	0.9233979753712646	0.9233979753712646
INTERPRO	IPR003593:AAA+ ATPase domain	4	5.88235294117647	0.012988052049936959	ABCC2, DNAH8, DNAH9, NAV1	59	122	14426	8.016671297582661	0.9097757202854604	0.9392285570365165	0.9392285570365165
GOTERM_BP_DIRECT	GO:0007018~microtubule-based movement	3	4.411764705882353	0.0191981522169207	DYNC1LI2, DNAH8, DNAH9	43	53	10419	13.715225976305396	0.9829365114012054	1.0	1.0
GOTERM_MF_DIRECT	GO:0003777~microtubule motor activity	3	4.411764705882353	0.019354732204854126	DYNC1LI2, DNAH8, DNAH9	38	57	9821	13.602493074792244	0.6904604003796762	0.8748627719991839	0.8748627719991839
INTERPRO	IPR002716:PIN domain	2	2.941176470588235	0.023886036559509084	SWT1, FCF1	59	6	14426	81.50282485875707	0.9883024022181073	0.9392285570365165	0.9392285570365165
SMART	SM00382:AAA	4	5.88235294117647	0.025418766103073438	ABCC2, DNAH8, DNAH9, NAV1	42	122	7851	6.128805620608899	0.7635112452488023	0.8662379297128723	0.8662379297128723
INTERPRO	IPR013594:Dynein heavy chain, domain-1	2	2.941176470588235	0.027812153749374374	DNAH8, DNAH9	59	7	14426	69.85956416464892	0.9944276999508422	0.9392285570365165	0.9392285570365165
GOTERM_MF_DIRECT	GO:0016887~ATPase activity	3	4.411764705882353	0.0291620923999728	DNAH8, ATP13A4, DNAH9	38	71	9821	10.920311341734617	0.8306428509190743	0.8748627719991839	0.8748627719991839
SMART	SM00670:PINc	2	2.941176470588235	0.03093706891831687	SWT1, FCF1	42	6	7851	62.3095238095238	0.8279277085310586	0.8662379297128723	0.8662379297128723
GOTERM_CC_DIRECT	GO:0030286~dynein complex	2	2.941176470588235	0.0472072949145907	DNAH8, DNAH9	51	12	12438	40.64705882352941	0.958894877873078	1.0	1.0
INTERPRO	IPR024317:Dynein heavy chain, P-loop containing D4 domain	2	2.941176470588235	0.04721113585768117	DNAH8, DNAH9	59	12	14426	40.75141242937853	0.9998634197941426	0.9392285570365165	0.9392285570365165
INTERPRO	IPR011704:ATPase, dynein-related, AAA domain	2	2.941176470588235	0.04721113585768117	DNAH8, DNAH9	59	12	14426	40.75141242937853	0.9998634197941426	0.9392285570365165	0.9392285570365165
INTERPRO	IPR013602:Dynein heavy chain, domain-2	2	2.941176470588235	0.05104503027372373	DNAH8, DNAH9	59	13	14426	37.61668839634941	0.9999349583965027	0.9392285570365165	0.9392285570365165
INTERPRO	IPR004273:Dynein heavy chain domain	2	2.941176470588235	0.05104503027372373	DNAH8, DNAH9	59	13	14426	37.61668839634941	0.9999349583965027	0.9392285570365165	0.9392285570365165
INTERPRO	IPR026983:Dynein heavy chain	2	2.941176470588235	0.05104503027372373	DNAH8, DNAH9	59	13	14426	37.61668839634941	0.9999349583965027	0.9392285570365165	0.9392285570365165
INTERPRO	IPR024743:Dynein heavy chain, coiled coil stalk	2	2.941176470588235	0.05104503027372373	DNAH8, DNAH9	59	13	14426	37.61668839634941	0.9999349583965027	0.9392285570365165	0.9392285570365165
GOTERM_CC_DIRECT	GO:0097228~sperm principal piece	2	2.941176470588235	0.06622601975729499	DNAH8, HK1	51	17	12438	28.69204152249135	0.9891368270651908	1.0	1.0
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	7	10.294117647058822	0.07766893438886699	DYNC1LI2, ABCC2, DNAH8, TRANK1, DDX10, DNAH9, NAV1	59	745	14426	2.297395063132749	0.9999996539188544	1.0	1.0
GOTERM_BP_DIRECT	GO:0010628~positive regulation of gene expression	3	4.411764705882353	0.08892932360421313	TRIM6, TMED2, SERPINB9	43	124	10419	5.8621530382595655	0.9999999967942147	1.0	1.0
GOTERM_BP_DIRECT	GO:0010862~positive regulation of pathway-restricted SMAD protein phosphorylation	2	2.941176470588235	0.0924886712147238	ACVR1, DAB2	43	24	10419	20.191860465116278	0.9999999985909331	1.0	1.0
