Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005730~nucleolus	4	14.814814814814813	0.03623939548455227	ZFHX3, URB2, MKI67, STOX1	19	515	12438	5.084517118037813	0.6442566808297587	1.0	1.0
INTERPRO	IPR003604:Zinc finger, U1-type	2	7.4074074074074066	0.039137194916191706	ZFHX3, ZFHX2	24	25	14426	48.086666666666666	0.9478874549805832	1.0	1.0
UP_KEYWORDS	Coiled coil	8	29.629629629629626	0.040482495596028886	ZNF462, ZFHX3, ZFHX2, CCDC88C, XIRP1, TRIP11, EMILIN2, PXDNL	24	2237	15333	2.2847563701385782	0.580133774579675	0.8906149031126355	0.8906149031126355
SMART	SM00451:ZnF_U1	2	7.4074074074074066	0.043704685634992406	ZFHX3, ZFHX2	15	25	7851	41.872	0.6422195217972178	1.0	1.0
GOTERM_CC_DIRECT	GO:0005634~nucleus	6	22.22222222222222	0.07672724135757031	ZNF462, ZFHX2, TENM4, NLRC5, TRIP11, TNFAIP3	19	1633	12438	2.4052599348954136	0.8930352672609921	1.0	1.0
GOTERM_BP_DIRECT	GO:0032088~negative regulation of NF-kappaB transcription factor activity	2	7.4074074074074066	0.07698692363724136	NLRC5, TNFAIP3	17	52	10419	23.57239819004525	0.9998252375181758	1.0	1.0
INTERPRO	IPR020894:Cadherin conserved site	2	7.4074074074074066	0.07975851289692848	PCDH10, DCHS1	24	52	14426	23.11858974358974	0.9978682619533756	1.0	1.0
INTERPRO	IPR002126:Cadherin	2	7.4074074074074066	0.09001871859905484	PCDH10, DCHS1	24	59	14426	20.375706214689266	0.9990701734255746	1.0	1.0
INTERPRO	IPR015919:Cadherin-like	2	7.4074074074074066	0.09293004925460445	PCDH10, DCHS1	24	61	14426	19.707650273224044	0.9992664702770951	1.0	1.0
SMART	SM00112:CA	2	7.4074074074074066	0.09868151860489917	PCDH10, DCHS1	15	58	7851	18.048275862068966	0.9083356728584258	1.0	1.0
