"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange","expression"
"MUSNIGG00000548",3.52002456609122,3.56729387911021,1.76223999722372,2.02429514976973,0.0429397923866493,0.999566778617329,"MUSNIGT00000666","FSCN3","ENSMPUG00000006639","fascin actin-bundling protein 3 [Source:HGNC Symbol;Acc:HGNC:3961]","fascin actin-bundling protein 3 [Source:HGNC Symbol;Acc:HGNC:3961]",11.85393280186,"UP"
"MUSNIGG00000588",30.6223346232184,2.43568524823807,1.21779749335701,2.00007411866467,0.0454922610128589,0.999566778617329,"MUSNIGT00000710","SPAM1","ENSMPUG00000006764","sperm adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:11217]","sperm adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:11217]",5.41021245319045,"UP"
"MUSNIGG00001122",5.33644421140466,4.80087760206723,2.19084960629455,2.19133143063485,0.0284278171637004,0.999566778617329,"MUSNIGT00001366","COL1A2","ENSMPUG00000001613","collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]","collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]",27.8745691758593,"UP"
"MUSNIGG00001237",449.178612300924,2.61402164977032,1.07864545167673,2.4234299098994,0.0153747198110686,0.999566778617329,"MUSNIGT00001513","PCLO","ENSMPUG00000018297","piccolo presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:13406]","piccolo presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:13406]",6.12207894943988,"UP"
"MUSNIGG00001556",12.424410452774,2.20952831483901,1.11106978469549,1.98864944873339,0.0467399093190147,0.999566778617329,"MUSNIGT00001891","KCMF1","ENSMPUG00000008632","potassium channel modulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:20589]","potassium channel modulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:20589]",4.62524027884686,"UP"
"MUSNIGG00001682",52.5328001583244,3.30815180204822,1.42422980132186,2.32276546873113,0.0201917550681364,0.999566778617329,"MUSNIGT00002033","URB2","ENSMPUG00000012438","URB2 ribosome biogenesis homolog [Source:NCBI gene;Acc:101692525]","URB2 ribosome biogenesis homolog [Source:HGNC Symbol;Acc:HGNC:28967]",9.90496448373996,"UP"
"MUSNIGG00001826",43.5884855986143,2.32285586850707,1.17217763906493,1.98165857383192,0.0475174666693053,0.999566778617329,"MUSNIGT00002197","RYR2","ENSMPUG00000012720","ryanodine receptor 2 [Source:HGNC Symbol;Acc:HGNC:10484]","ryanodine receptor 2 [Source:HGNC Symbol;Acc:HGNC:10484]",5.00321645245668,"UP"
"MUSNIGG00002029",19.0407593212367,2.72950632222811,1.17739450117434,2.31825978421479,0.0204352066392054,0.999566778617329,"MUSNIGT00002442","ARID5B","ENSMPUG00000011076","AT-rich interaction domain 5B [Source:HGNC Symbol;Acc:HGNC:17362]","AT-rich interaction domain 5B [Source:HGNC Symbol;Acc:HGNC:17362]",6.63228646707019,"UP"
"MUSNIGG00002137",3.11873786468735,4.37997402599662,2.16009372050066,2.0276777736206,0.0425931455393518,0.999566778617329,"MUSNIGT00002573","NPFFR1","ENSMPUG00000004321","neuropeptide FF receptor 1 [Source:HGNC Symbol;Acc:HGNC:17425]","neuropeptide FF receptor 1 [Source:HGNC Symbol;Acc:HGNC:17425]",20.8210948247194,"UP"
"MUSNIGG00002219",27.2339961683506,2.63582784661881,1.28469084128619,2.05172152078232,0.0401967340312036,0.999566778617329,"MUSNIGT00002682","SAMD8","ENSMPUG00000003283","sterile alpha motif domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26320]","sterile alpha motif domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26320]",6.21531644703418,"UP"
"MUSNIGG00002313",12.9624872093956,3.90209647680359,1.78666824810089,2.1840072889588,0.0289617124598281,0.999566778617329,"MUSNIGT00002800","LRIT1","ENSMPUG00000008558","leucine rich repeat, Ig-like and transmembrane domains 1 [Source:HGNC Symbol;Acc:HGNC:23404]","leucine rich repeat, Ig-like and transmembrane domains 1 [Source:HGNC Symbol;Acc:HGNC:23404]",14.9502372783055,"UP"
"MUSNIGG00002492",3.08552227744842,2.97450233738949,1.31784522661085,2.25709535332851,0.0240021171796067,0.999566778617329,"MUSNIGT00003018","PPP1R3C","ENSMPUG00000017235","protein phosphatase 1 regulatory subunit 3C [Source:NCBI gene;Acc:101673462]","protein phosphatase 1 regulatory subunit 3C [Source:HGNC Symbol;Acc:HGNC:9293]",7.85985303736846,"UP"
