"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange","expression"
"MUSNIGG00000396",41.7409191759201,-1.19751410080952,1.9032095011372,62.7501402964983,3.27954710369914e-12,9.80912538716412e-09,"MUSNIGT00000472","ZC3HAV1","ENSMPUG00000003805","zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]","zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]",-2.29344148806114,"DOWN"
"MUSNIGG00000594",4.1289350016654,-4.95144901793019,2.31654254462884,23.8872643507312,0.000228214524974553,0.02395051383154,"MUSNIGT00000716","IDH3B",NA,NA,"isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:5385]",-30.9410235529616,"DOWN"
"MUSNIGG00001566",41.8284383447007,-0.498796702856641,1.27634891400219,39.3802593043695,1.99098763786533e-07,0.00014887610062138,"MUSNIGT00001901","",NA,NA,NA,-1.41303451231809,"DOWN"
"MUSNIGG00002219",25.2594006794838,-0.285107599959325,1.98426531386899,21.8823474858748,0.000551258836835223,0.0356614541848072,"MUSNIGT00002682","SAMD8","ENSMPUG00000003283","sterile alpha motif domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26320]","sterile alpha motif domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26320]",-1.21850113927963,"DOWN"
"MUSNIGG00002440",11.4691607771313,-1.35978039238298,1.9049330685429,22.4985399532581,0.000420815037636558,0.032273276347973,"MUSNIGT00002956","ZNF485",NA,NA,"zinc finger protein 485 [Source:HGNC Symbol;Acc:HGNC:23440]",-2.56646109765417,"DOWN"
"MUSNIGG00006905",30.9350193028285,-0.0350139419338941,1.76505951725449,25.718259539722,0.000101192304056326,0.0151333090716236,"MUSNIGT00008419","D3ERTD254E",NA,NA,NA,-1.02456672420534,"DOWN"
"MUSNIGG00009676",7.75199588570758,-0.823453548064038,3.42639420634764,21.1550552902608,0.000757196051576982,0.0448469978270644,"MUSNIGT00011840","ERAL1","ENSMPUG00000014146","Era like 12S mitochondrial rRNA chaperone 1 [Source:HGNC Symbol;Acc:HGNC:3424]","Era like 12S mitochondrial rRNA chaperone 1 [Source:HGNC Symbol;Acc:HGNC:3424]",-1.76963711388579,"DOWN"
"MUSNIGG00010616",9.3327060986276,-4.57932462252011,2.4869699037593,20.9656843962783,0.000822241502656587,0.0468442730370638,"MUSNIGT00012993","KPNA6",NA,NA,"karyopherin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6399]",-23.9063939146654,"DOWN"
"MUSNIGG00011151",5.82681982832638,-7.55895198877049,2.35876910632049,22.3474534506732,0.000449657965201007,0.0331170077884914,"MUSNIGT00013651","",NA,NA,NA,-188.569428306678,"DOWN"
"MUSNIGG00011390",7.64713921063422,-5.46041032544698,2.2346587199701,20.9762717442351,0.000818463916621438,0.0468442730370638,"MUSNIGT00013955","",NA,NA,NA,-44.0298591930039,"DOWN"
"MUSNIGG00014038",8.43328570619119,-0.00920415725281221,2.1342893535095,23.7566186574659,0.00024178324688174,0.0245143624211283,"MUSNIGT00017194","ADAMTS5","ENSMPUG00000001019","ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221]","ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221]",-1.00640023014879,"DOWN"
"MUSNIGG00015968",7.97433651519954,-1.58687064869826,2.67348052457345,22.9311436929782,0.000347952189590479,0.029316197156764,"MUSNIGT00019513","LARP4","ENSMPUG00000008706","La ribonucleoprotein 4 [Source:HGNC Symbol;Acc:HGNC:24320]","La ribonucleoprotein 4 [Source:HGNC Symbol;Acc:HGNC:24320]",-3.00397050734334,"DOWN"
"MUSNIGG00016304",24.4082249454286,-2.34073714473348,3.30566674177068,31.6100738112382,7.09657138761256e-06,0.00212258450203492,"MUSNIGT00019926","USP15","ENSMPUG00000016712","ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613]","ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613]",-5.06561398917721,"DOWN"
"MUSNIGG00019409",18.2637426046229,-1.7598612300213,2.64137819033359,28.0028409418066,3.63522522218753e-05,0.006453291302139,"MUSNIGT00023673","SLC35A4","ENSMPUG00000019783","solute carrier family 35 member A4 [Source:HGNC Symbol;Acc:HGNC:20753]","solute carrier family 35 member A4 [Source:HGNC Symbol;Acc:HGNC:20753]",-3.3866554780996,"DOWN"
"MUSNIGG00020292",15.0335145179377,-5.56009304239133,2.40293906415746,36.3200704680461,8.19580209516796e-07,0.000377132985640729,"MUSNIGT00024709","SEMA6A","ENSMPUG00000000806","semaphorin 6A [Source:HGNC Symbol;Acc:HGNC:10738]","semaphorin 6A [Source:HGNC Symbol;Acc:HGNC:10738]",-47.1796575690382,"DOWN"
"MUSNIGG00020500",34.6287812619819,-4.81398042559202,2.72489453426675,27.9829792144842,3.66786867724383e-05,0.006453291302139,"MUSNIGT00024963","OR2B11","ENSMPUG00000019534","olfactory receptor 2B11 [Source:NCBI gene;Acc:101683960]","olfactory receptor family 2 subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:31249]",-28.1288842954133,"DOWN"
"MUSNIGG00021101",5.86221398400013,-2.13952036700161,1.92378908279073,23.7573296935037,0.000241707283250213,0.0245143624211283,"MUSNIGT00025648","HSPD1",NA,NA,"heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]",-4.40615536604317,"DOWN"
"MUSNIGG00021450",25.2730260853341,-0.451840284009428,5.02041951750645,21.3179243537306,0.000705328800564696,0.0426189584341213,"MUSNIGT00026070","ABCC1","ENSMPUG00000013849","ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51]","ATP binding cassette subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:51]",-1.36778387269722,"DOWN"
"MUSNIGG00022341",5.09546742368471,-1.4624885646168,2.42923847994748,29.9778529547869,1.4897357806904e-05,0.00342753824618844,"MUSNIGT00027147","CHD2",NA,NA,"chromodomain helicase DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1917]",-2.75583318991866,"DOWN"
"MUSNIGG00023937",20.8047594100301,-0.40901721028484,4.85433514321827,23.4499414557924,0.000276847230873629,0.0267112925013878,"MUSNIGT00029089","PPP2R5E","ENSMPUG00000006587","protein phosphatase 2 regulatory subunit B'epsilon [Source:NCBI gene;Acc:101671266]","protein phosphatase 2 regulatory subunit B'epsilon [Source:HGNC Symbol;Acc:HGNC:9313]",-1.32778099773326,"DOWN"
"MUSNIGG00025864",9.5542624251059,-0.954767881037821,1.75420605891989,35.5993466928253,1.14220061455301e-06,0.000488046005446866,"MUSNIGT00031247","OR13A1","ENSMPUG00000019524","olfactory receptor 13A1 [Source:NCBI gene;Acc:101685252]","olfactory receptor family 13 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:14772]",-1.93826775583452,"DOWN"
"MUSNIGG00026355",10.090704119652,-5.8797698716464,2.23206133304845,23.1095716864097,0.000321666459634586,0.0287602146934969,"MUSNIGT00031746","ERRFI1",NA,NA,"ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]",-58.8826163586846,"DOWN"
"MUSNIGG00027069",7.86681242481447,-4.71765058125731,1.91943682645306,23.5926159814647,0.00025995002256165,0.0254921481141605,"MUSNIGT00032524","HSPD1",NA,NA,"heat shock protein family D (Hsp60) member 1 [Source:HGNC Symbol;Acc:HGNC:5261]",-26.3120286900609,"DOWN"
"MUSNIGG00027411",14.3854900587718,-0.0162603068685814,1.54825402535561,21.9983802505037,0.000523969665974966,0.0344702129223152,"MUSNIGT00032964","EPHA4","ENSMPUG00000016672","EPH receptor A4 [Source:NCBI gene;Acc:101691901]","EPH receptor A4 [Source:HGNC Symbol;Acc:HGNC:3388]",-1.01133454046432,"DOWN"
"MUSNIGG00028933",49.536965541848,-1.1800684520715,1.58174742847524,21.0554404316168,0.000790753173648936,0.0463753478898817,"MUSNIGT00034808","KCNB2",NA,NA,"potassium voltage-gated channel subfamily B member 2 [Source:HGNC Symbol;Acc:HGNC:6232]",-2.26587527784195,"DOWN"
"MUSNIGG00030548",104.861218468869,-0.900951278373436,2.03588920640207,22.1301785309274,0.000494586845553499,0.0344025408151283,"MUSNIGT00036741","OLFR1056",NA,NA,NA,-1.8672968278027,"DOWN"
"MUSNIGG00032812",75.6697301293293,-1.0267885630849,2.30388283694635,22.6592948505487,0.000392130714704209,0.0313523731888312,"MUSNIGT00039449","GUCY1A3",NA,NA,NA,-2.03748376404344,"DOWN"
"MUSNIGG00034074",16.955777737439,-0.422195844522585,2.54696409980265,26.4804583593381,7.19890307797466e-05,0.0111748333463319,"MUSNIGT00040970","LNX1","ENSMPUG00000005806","ligand of numb-protein X 1 [Source:NCBI gene;Acc:101679410]","ligand of numb-protein X 1 [Source:HGNC Symbol;Acc:HGNC:6657]",-1.33996548916267,"DOWN"
"MUSNIGG00035454",31.9260446171649,-8.26457263673426,1.93253046628818,109.478038786422,5.28202960991447e-22,3.15971011265084e-18,"MUSNIGT00042632","HHIPL2","ENSMPUG00000003943","HHIP like 2 [Source:HGNC Symbol;Acc:HGNC:25842]","HHIP like 2 [Source:HGNC Symbol;Acc:HGNC:25842]",-307.527717589022,"DOWN"
"MUSNIGG00036771",3.18359910709165,-2.51673062274171,1.54625764889266,22.8311419322754,0.000363600578452754,0.030209148059783,"MUSNIGT00044275","IFNA5",NA,NA,"interferon alpha 5 [Source:HGNC Symbol;Acc:HGNC:5426]",-5.7228374230696,"DOWN"
"MUSNIGG00039613",7.38086333808836,-1.6129349232353,3.08855797367678,22.243781783213,0.000470569318291837,0.0331170077884914,"MUSNIGT00047722","KCNS1","ENSMPUG00000017643","potassium voltage-gated channel modifier subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:6300]","potassium voltage-gated channel modifier subfamily S member 1 [Source:HGNC Symbol;Acc:HGNC:6300]",-3.05873457993949,"DOWN"
"MUSNIGG00040358",19.044942405749,-2.38040785348877,1.93263157635458,23.0473078148064,0.000330608325679015,0.0287602146934969,"MUSNIGT00048631","PRDM2","ENSMPUG00000016352","PR/SET domain 2 [Source:HGNC Symbol;Acc:HGNC:9347]","PR/SET domain 2 [Source:HGNC Symbol;Acc:HGNC:9347]",-5.20683920015745,"DOWN"
