"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange","expression"
"MUSNIGG00000289",22.0528229396791,3.76839696237969,2.22381894753784,31.1987260244485,8.55782735395943e-06,0.00228626768676465,"MUSNIGT00000343","OLFR455",NA,NA,NA,13.6270083252337,"UP"
"MUSNIGG00000350",26.2787049997811,1.21757229217308,1.93240364818202,21.463766271602,0.000661865778679332,0.0408173308047398,"MUSNIGT00000416","TAS2R3","ENSMPUG00000018738","taste 2 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:14910]","taste 2 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:14910]",2.32555053777019,"UP"
"MUSNIGG00000460",4.55907030008226,0.0577864864383353,2.44842772254261,23.2837076940298,0.00029790729548975,0.0278450225253076,"MUSNIGT00000555","EXOC4",NA,NA,"exocyst complex component 4 [Source:HGNC Symbol;Acc:HGNC:30389]",1.04086754171534,"UP"
"MUSNIGG00000498",14.5703963176828,0.642318660770503,2.87541814705632,22.2465645953313,0.000469995666403936,0.0331170077884914,"MUSNIGT00000602","C7ORF45",NA,NA,NA,1.56083567780996,"UP"
"MUSNIGG00000999",19.8233409261589,2.28220779449424,2.0922729475826,27.6163417331505,4.32544240380041e-05,0.00739279898843829,"MUSNIGT00001212","SOSTDC1","ENSMPUG00000014023","sclerostin domain containing 1 [Source:NCBI gene;Acc:101685568]","sclerostin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21748]",4.86421768609814,"UP"
"MUSNIGG00001383",22.9572860555632,0.998502232277158,2.81044484536454,36.6023246287982,7.19573537193894e-07,0.000358707408291156,"MUSNIGT00001691","",NA,NA,NA,1.99792473048283,"UP"
"MUSNIGG00001608",5.91998570273156,1.66247029471861,1.53521371840536,24.9469007383445,0.000142661834918767,0.0174163897241645,"MUSNIGT00001946","C7ORF25",NA,NA,NA,3.16558096359434,"UP"
"MUSNIGG00002201",3.57643913928044,3.50969818083162,2.12858760534579,25.04920136257,0.000136318688832274,0.0169887165957221,"MUSNIGT00002655","ZSWIM8","ENSMPUG00000003454","zinc finger SWIM-type containing 8 [Source:NCBI gene;Acc:101687200]","zinc finger SWIM-type containing 8 [Source:HGNC Symbol;Acc:HGNC:23528]",11.3900184654911,"UP"
"MUSNIGG00002546",2.89678344000391,5.6510522025389,3.0422036547688,22.5549038468258,0.000410529383559988,0.032273276347973,"MUSNIGT00003089","SORBS1","ENSMPUG00000017117","sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]","sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]",50.2500178110011,"UP"
"MUSNIGG00004118",12.7523599977908,3.89259509259308,1.75024128929345,22.2458098232804,0.000470151187686854,0.0331170077884914,"MUSNIGT00005055","ZFP161",NA,NA,NA,14.8521006549819,"UP"
"MUSNIGG00004364",4.79524068704473,4.41063196504273,2.45397209874156,22.6944377245487,0.000386121941128865,0.0313523731888312,"MUSNIGT00005348","FHOD3","ENSMPUG00000001110","formin homology 2 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26178]","formin homology 2 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:26178]",21.2682874477855,"UP"
"MUSNIGG00007337",13.9874937500606,4.18649993943443,1.87297161271059,21.869291618115,0.00055441578722619,0.0356614541848072,"MUSNIGT00008935","ZNF583","ENSMPUG00000006667","zinc finger protein 583 [Source:HGNC Symbol;Acc:HGNC:26427]","zinc finger protein 583 [Source:HGNC Symbol;Acc:HGNC:26427]",18.2079921976813,"UP"
"MUSNIGG00009024",122.039109407202,1.08527317260415,1.73580213571933,23.6238009457742,0.000256394736232485,0.0254921481141605,"MUSNIGT00011031","LRRC37B",NA,NA,"leucine rich repeat containing 37B [Source:HGNC Symbol;Acc:HGNC:29070]",2.12177720071287,"UP"
"MUSNIGG00009686",7.37494335573179,5.98655709282527,2.4666043086264,20.8410937386067,0.00086800683608256,0.0486291525404256,"MUSNIGT00011851","MYO18A","ENSMPUG00000014095","myosin XVIIIA [Source:HGNC Symbol;Acc:HGNC:31104]","myosin XVIIIA [Source:HGNC Symbol;Acc:HGNC:31104]",63.4064232975639,"UP"
"MUSNIGG00009794",61.3045947932924,0.315069254022457,1.18588205801067,24.5515105709569,0.000170044388532827,0.0195616448500648,"MUSNIGT00011984","",NA,NA,NA,1.24407137130981,"UP"
"MUSNIGG00010574",8.73423388040422,0.49217945631291,2.4947921225847,20.8362671022095,0.000869829375096212,0.0486291525404256,"MUSNIGT00012936","PDGFRL","ENSMPUG00000017967","platelet derived growth factor receptor like [Source:HGNC Symbol;Acc:HGNC:8805]","platelet derived growth factor receptor like [Source:HGNC Symbol;Acc:HGNC:8805]",1.40656815153406,"UP"
"MUSNIGG00011591",5.29193011642887,5.17178345972215,1.71139788708073,33.4732244398327,3.03081871692598e-06,0.0011331473477907,"MUSNIGT00014201","CCR5","ENSMPUG00000019652","C-C motif chemokine receptor 5 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:1606]","C-C motif chemokine receptor 5 [Source:HGNC Symbol;Acc:HGNC:1606]",36.046404546613,"UP"
