"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange","expression"
"MUSNIGG00001566",41.8284383447007,-0.291756188395328,0.995485551884325,39.3802593043802,1.99098763785547e-07,0.000148876100620643,"MUSNIGT00001901","",NA,NA,NA,-1.22412950030591,"DOWN"
"MUSNIGG00002219",25.2594006794838,-3.91817055724422,1.52726739932323,21.882347301438,0.000551258881307144,0.0356614555675766,"MUSNIGT00002682","SAMD8","ENSMPUG00000003283","sterile alpha motif domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26320]","sterile alpha motif domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26320]",-15.1177397887566,"DOWN"
"MUSNIGG00009024",122.039109407202,-0.358517229743367,1.34210052047559,23.6238009457327,0.000256394736237177,0.0259170610887579,"MUSNIGT00011031","LRRC37B",NA,NA,"leucine rich repeat containing 37B [Source:HGNC Symbol;Acc:HGNC:29070]",-1.28210749825846,"DOWN"
"MUSNIGG00009794",61.3045947932924,-0.122782265982249,0.917793890241954,24.5515105709258,0.000170044388535177,0.0199452065140672,"MUSNIGT00011984","",NA,NA,NA,-1.08883267443453,"DOWN"
"MUSNIGG00010616",9.3327060986276,-6.33055852420237,2.07634346523782,20.9656831258368,0.000822241956981583,0.0468442989206079,"MUSNIGT00012993","KPNA6",NA,NA,"karyopherin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6399]",-80.4800069268471,"DOWN"
"MUSNIGG00011151",5.82681982832638,-3.64648271751073,2.0722341394562,22.3474657675428,0.000449655536118872,0.0331166558389577,"MUSNIGT00013651","",NA,NA,NA,-12.5227778567392,"DOWN"
"MUSNIGG00013171",138.718389893279,-2.53269767242875,1.5140576007587,33.5186684789374,2.96841514430851e-06,0.00113314744176786,"MUSNIGT00016172","MECOM","ENSMPUG00000017083","MDS1 and EVI1 complex locus [Source:NCBI gene;Acc:101684534]","MDS1 and EVI1 complex locus [Source:HGNC Symbol;Acc:HGNC:3498]",-5.7865268063053,"DOWN"
"MUSNIGG00013782",47.1507814078719,-1.55906222485174,1.60969028499161,24.8241013650726,0.000150662733265274,0.0183931524569974,"MUSNIGT00016908","FCF1","ENSMPUG00000009321","FCF1 rRNA-processing protein [Source:HGNC Symbol;Acc:HGNC:20220]","FCF1 rRNA-processing protein [Source:HGNC Symbol;Acc:HGNC:20220]",-2.94662245960821,"DOWN"
"MUSNIGG00015968",7.97433651519954,-2.92983200725991,2.12470058788033,22.9311436626988,0.000347952194226454,0.0293161975473612,"MUSNIGT00019513","LARP4","ENSMPUG00000008706","La ribonucleoprotein 4 [Source:HGNC Symbol;Acc:HGNC:24320]","La ribonucleoprotein 4 [Source:HGNC Symbol;Acc:HGNC:24320]",-7.62021660651588,"DOWN"
"MUSNIGG00016304",24.4082249454286,-7.84541758219384,2.61598307844669,31.6099603153728,7.09693822868595e-06,0.00212269422419997,"MUSNIGT00019926","USP15","ENSMPUG00000016712","ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613]","ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613]",-229.988447042838,"DOWN"
"MUSNIGG00017748",36.0050370702682,-3.02465760738585,1.57154456993879,22.4457683711146,0.000430675539492963,0.0326114060411001,"MUSNIGT00021698","BORA","ENSMPUG00000010264","BORA aurora kinase A activator [Source:HGNC Symbol;Acc:HGNC:24724]","BORA aurora kinase A activator [Source:HGNC Symbol;Acc:HGNC:24724]",-8.13790595081023,"DOWN"
