"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange","expression"
"MUSNIGG00000289",22.0528229396791,5.42622816189869,1.97473562375178,31.1987258025403,8.55782821783305e-06,0.00228588880964259,"MUSNIGT00000343","OLFR455",NA,NA,NA,42.9989093532958,"UP"
"MUSNIGG00000350",26.2787049997811,1.21394322138656,1.70620515212938,21.4637655352726,0.000661865991308209,0.0408105205568495,"MUSNIGT00000416","TAS2R3","ENSMPUG00000018738","taste 2 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:14910]","taste 2 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:14910]",2.31970801293467,"UP"
"MUSNIGG00000396",41.7409191759201,0.402946946006069,1.70246580733544,62.7501401002045,3.27954741067038e-12,9.80748653160977e-09,"MUSNIGT00000472","ZC3HAV1","ENSMPUG00000003805","zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]","zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]",1.32220598114655,"UP"
"MUSNIGG00000460",4.55907030008226,-4.05104335061916,2.0546815510077,23.2837064986878,0.000297907452477744,0.0278403823948342,"MUSNIGT00000555","EXOC4",NA,NA,"exocyst complex component 4 [Source:HGNC Symbol;Acc:HGNC:30389]",-16.5762222977629,"DOWN"
"MUSNIGG00000498",14.5703963176828,-5.05755700538596,2.43363565900092,22.2465585540318,0.000469996911016131,0.0331113694877621,"MUSNIGT00000602","C7ORF45",NA,NA,NA,-33.3024636856749,"DOWN"
"MUSNIGG00000594",4.1289350016654,-1.11699414166654,2.10205608237224,23.8872671570802,0.000228214241753006,0.0239464803495566,"MUSNIGT00000716","IDH3B",NA,NA,"isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:5385]",-2.16894601025668,"DOWN"
"MUSNIGG00000999",19.8233409261589,-0.149537609491126,1.74626295447862,27.6163416176399,4.32544262836832e-05,0.00739156353150597,"MUSNIGT00001212","SOSTDC1","ENSMPUG00000014023","sclerostin domain containing 1 [Source:NCBI gene;Acc:101685568]","sclerostin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21748]",-1.10921390684519,"DOWN"
"MUSNIGG00001383",22.9572860555632,-5.84075741950089,2.35005967485719,36.6023228689621,7.19574121217513e-07,0.000358647734916829,"MUSNIGT00001691","",NA,NA,NA,-57.3116854601889,"DOWN"
"MUSNIGG00001566",41.8284383447007,-3.7213994895595,1.10411339438498,39.3802593048237,1.99098763744594e-07,0.000148851213244552,"MUSNIGT00001901","",NA,NA,NA,-13.1902452992983,"DOWN"
"MUSNIGG00001608",5.91998570273156,5.0195756694449,1.48416629570399,24.94689108875,0.000142662446808302,0.0174135529461318,"MUSNIGT00001946","C7ORF25",NA,NA,NA,32.4371614177448,"UP"
