"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange","expression"
"MUSNIGG00000460",4.55907030008226,-4.05104335061916,2.0546815510077,23.2837064986878,0.000297907452477744,0.0278403823948342,"MUSNIGT00000555","EXOC4",NA,NA,"exocyst complex component 4 [Source:HGNC Symbol;Acc:HGNC:30389]",-16.5762222977629,"DOWN"
"MUSNIGG00000498",14.5703963176828,-5.05755700538596,2.43363565900092,22.2465585540318,0.000469996911016131,0.0331113694877621,"MUSNIGT00000602","C7ORF45",NA,NA,NA,-33.3024636856749,"DOWN"
"MUSNIGG00000594",4.1289350016654,-1.11699414166654,2.10205608237224,23.8872671570802,0.000228214241753006,0.0239464803495566,"MUSNIGT00000716","IDH3B",NA,NA,"isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:5385]",-2.16894601025668,"DOWN"
"MUSNIGG00000610",215.23762540108,-0.743524883252569,1.77139101678308,19.2714614872971,0.00171067838115157,0.0680849314466267,"MUSNIGT00000737","PTPRZ1","ENSMPUG00000006874","protein tyrosine phosphatase receptor type Z1 [Source:NCBI gene;Acc:101690982]","protein tyrosine phosphatase receptor type Z1 [Source:HGNC Symbol;Acc:HGNC:9685]",-1.67426150664857,"DOWN"
"MUSNIGG00000999",19.8233409261589,-0.149537609491126,1.74626295447862,27.6163416176399,4.32544262836832e-05,0.00739156353150597,"MUSNIGT00001212","SOSTDC1","ENSMPUG00000014023","sclerostin domain containing 1 [Source:NCBI gene;Acc:101685568]","sclerostin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21748]",-1.10921390684519,"DOWN"
"MUSNIGG00001383",22.9572860555632,-5.84075741950089,2.35005967485719,36.6023228689621,7.19574121217513e-07,0.000358647734916829,"MUSNIGT00001691","",NA,NA,NA,-57.3116854601889,"DOWN"
"MUSNIGG00001566",41.8284383447007,-3.7213994895595,1.10411339438498,39.3802593048237,1.99098763744594e-07,0.000148851213244552,"MUSNIGT00001901","",NA,NA,NA,-13.1902452992983,"DOWN"
"MUSNIGG00002219",25.2594006794838,-1.30054139813029,1.7438390287872,21.8823475705616,0.000551258816415324,0.0356554909172528,"MUSNIGT00002682","SAMD8","ENSMPUG00000003283","sterile alpha motif domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26320]","sterile alpha motif domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26320]",-2.46321301973948,"DOWN"
"MUSNIGG00002440",11.4691607771313,-3.74401310317817,1.66232675226961,22.4985398219772,0.000420815061887343,0.0322678831429256,"MUSNIGT00002956","ZNF485",NA,NA,"zinc finger protein 485 [Source:HGNC Symbol;Acc:HGNC:23440]",-13.3986254916738,"DOWN"
"MUSNIGG00002625",8.77713206913635,-8.71989056388305,2.98975026696568,18.541944845754,0.00233855099154537,0.0803843303473154,"MUSNIGT00003188","ABCC2","ENSMPUG00000016985","ATP binding cassette subfamily C member 2 [Source:NCBI gene;Acc:101682561]","ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53]",-421.646615482227,"DOWN"
"MUSNIGG00002978",13.4145201238244,-2.31293473201188,3.01755823833519,19.0104770113814,0.00191351892091402,0.072435168772068,"MUSNIGT00003656","TACC2",NA,NA,"transforming acidic coiled-coil containing protein 2 [Source:HGNC Symbol;Acc:HGNC:11523]",-4.96892832613556,"DOWN"
"MUSNIGG00003539",20.8005056784556,-8.20411999946683,3.05990905899928,20.3967295674511,0.00105260446054245,0.0533527735466476,"MUSNIGT00004350","OAS3","ENSMPUG00000002547","2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088]","2'-5'-oligoadenylate synthetase 3 [Source:HGNC Symbol;Acc:HGNC:8088]",-294.907765050626,"DOWN"
"MUSNIGG00004197",2.39823489818227,-4.96788510036429,2.34426929719246,20.6689084961823,0.000935409014013011,0.0512658927715028,"MUSNIGT00005148","MIB1","ENSMPUG00000005601","mindbomb E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21086]","MIB E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21086]",-31.2955386005539,"DOWN"
"MUSNIGG00005716",5.88551720892492,-4.87132359582597,2.23407324092683,18.6449586422435,0.00223780206651981,0.0794293127303076,"MUSNIGT00006971","TGIF2LX",NA,NA,"TGFB induced factor homeobox 2 like X-linked [Source:HGNC Symbol;Acc:HGNC:18570]",-29.2694472511658,"DOWN"
"MUSNIGG00006903",62.5605522748738,-0.451594893590531,1.85862874332482,19.5518461387186,0.00151627746634544,0.0642869991358978,"MUSNIGT00008416","ZNF430",NA,NA,"zinc finger protein 430 [Source:HGNC Symbol;Acc:HGNC:20808]",-1.36755124382922,"DOWN"
"MUSNIGG00007066",7.88874289323226,-3.30390058792458,4.0683112713086,17.7335751120937,0.00329952755233436,0.0991682125151346,"MUSNIGT00008611","NUCB1","ENSMPUG00000003360","nucleobindin 1 [Source:HGNC Symbol;Acc:HGNC:8043]","nucleobindin 1 [Source:HGNC Symbol;Acc:HGNC:8043]",-9.87582031657791,"DOWN"
"MUSNIGG00009024",122.039109407202,-2.41743689320974,1.50102118163042,23.6238009452812,0.000256394736288302,0.025487942124656,"MUSNIGT00011031","LRRC37B",NA,NA,"leucine rich repeat containing 37B [Source:HGNC Symbol;Acc:HGNC:29070]",-5.34221075685974,"DOWN"
"MUSNIGG00009499",11.6000911542399,-1.25505516153337,2.09664278625424,19.3803962500785,0.00163240191999544,0.0678013603020327,"MUSNIGT00011621","INTS2","ENSMPUG00000015171","integrator complex subunit 2 [Source:NCBI gene;Acc:101676571]","integrator complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:29241]",-2.38676274233868,"DOWN"
"MUSNIGG00009794",61.3045947932924,-2.86895570284441,1.02369099049041,24.5515105721023,0.000170044388446416,0.019558374755731,"MUSNIGT00011984","",NA,NA,NA,-7.30536168955047,"DOWN"
"MUSNIGG00009981",42.1283932563427,-2.53214472229681,1.64013883076108,19.6829956481794,0.00143296612187131,0.0635399556257549,"MUSNIGT00012228","DNAH9","ENSMPUG00000003676","dynein axonemal heavy chain 9 [Source:NCBI gene;Acc:101674259]","dynein axonemal heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:2953]",-5.7843093954372,"DOWN"
