"geneid","baseMean_VEvsC","log2FoldChange_VEvsC","lfcSE_VEvsC","stat_VEvsC","pvalue_VEvsC","padj_VEvsC","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange_VEvsC","baseMean_CvsW","log2FoldChange_CvsW","lfcSE_CvsW","stat_CvsW","pvalue_CvsW","padj_CvsW","FoldChange_CvsW","expression_VEvsC","expression_CvsW"
"MUSNIGG00009024",124.3807377,-2.013307253,0.727713605,-2.766620329,0.005664068,0.148163528,"MUSNIGT00011031","LRRC37B",NA,NA,"leucine rich repeat containing 37B [Source:HGNC Symbol;Acc:HGNC:29070]",-4.037066225,124.3807377,-2.079826349,1.052336135,-1.976389747,0.048110652,0.999566779,-4.227563278,"DOWN","DOWN"
"MUSNIGG00022912",12.78006209,1.601496054,0.626677715,2.555533755,0.010602508,0.195599794,"MUSNIGT00027858","OR10G2",NA,NA,"olfactory receptor family 10 subfamily G member 2 [Source:HGNC Symbol;Acc:HGNC:8170]",3.034578317,12.78006209,-1.893792123,0.925418332,-2.046417342,0.040715327,0.999566779,-3.716107207,"UP","DOWN"
"MUSNIGG00031159",21.08721953,1.642707953,0.717475178,2.289567643,0.022046393,0.265429835,"MUSNIGT00037456","OR52J3",NA,NA,"olfactory receptor family 52 subfamily J member 3 [Source:HGNC Symbol;Acc:HGNC:14799]",3.12251381,21.08721953,-2.279624671,1.049011463,-2.173117026,0.029771511,0.999566779,-4.85551617,"UP","DOWN"
"MUSNIGG00017095",6.459431314,1.689831887,0.665940349,2.537512392,0.011164342,0.198229992,"MUSNIGT00020920","PARP4","ENSMPUG00000013318","poly(ADP-ribose) polymerase family member 4 [Source:HGNC Symbol;Acc:HGNC:271]","poly(ADP-ribose) polymerase family member 4 [Source:HGNC Symbol;Acc:HGNC:271]",3.226191077,6.459431314,-2.306377728,0.966682215,-2.385869619,0.017038791,0.999566779,-4.946395944,"UP","DOWN"
"MUSNIGG00025864",3.265619153,1.9474478,0.850188864,2.290606104,0.021986206,0.265362045,"MUSNIGT00031247","OR13A1","ENSMPUG00000019524","olfactory receptor 13A1 [Source:NCBI gene;Acc:101685252]","olfactory receptor family 13 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:14772]",3.856916199,3.265619153,-3.059097495,1.173881745,-2.605967346,0.00916152,0.859062739,-8.334510648,"UP","DOWN"
"MUSNIGG00015940",11.76372608,2.376484587,0.892939299,2.661417847,0.007781233,0.170486107,"MUSNIGT00019476","TUBA1C",NA,NA,"tubulin alpha 1c [Source:HGNC Symbol;Acc:HGNC:20768]",5.192698952,11.76372608,-3.369013601,1.28525117,-2.621288104,0.00875982,0.859062739,-10.33175621,"UP","DOWN"
"MUSNIGG00036530",3.339877385,2.523799949,0.965474547,2.614051252,0.008947561,0.182095976,"MUSNIGT00043991","HEMGN",NA,NA,"hemogen [Source:HGNC Symbol;Acc:HGNC:17509]",5.750948621,3.339877385,-2.842246429,1.36543562,-2.081567514,0.037381991,0.999566779,-7.171358443,"UP","DOWN"
"MUSNIGG00016369",4.114316042,2.697031866,1.170719345,2.303739045,0.021237297,0.26162104,"MUSNIGT00020004","C1R","ENSMPUG00000016760","complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]","complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]",6.48466419,4.114316042,-4.24384308,1.632748792,-2.599201483,0.009344091,0.859062739,-18.94628492,"UP","DOWN"
"MUSNIGG00042130",15.97336407,3.201368921,1.339345096,2.390249482,0.016836931,0.236416612,"MUSNIGT00050823","S100A10",NA,NA,"S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]",9.198310647,15.97336407,-7.385148432,1.844571787,-4.003719715,6.24e-05,0.068114882,-167.1672509,"UP","DOWN"
"MUSNIGG00035802",13.20767626,4.943163432,1.978007241,2.499062354,0.01245224,0.212518227,"MUSNIGT00043073","S100A8","ENSMPUG00000008369","S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]","S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498]",30.76383452,13.20767626,-5.971801071,2.814956082,-2.121454437,0.033883578,0.999566779,-62.76120168,"UP","DOWN"
"MUSNIGG00015531",73.57224603,5.197115147,1.887504948,2.753431271,0.005897415,0.148945969,"MUSNIGT00018995","EMP1","ENSMPUG00000011664","epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]","epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]",36.6849178,73.57224603,-6.981415845,2.707824895,-2.578237558,0.00993057,0.859062739,-126.3617354,"UP","DOWN"
