"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange","expression"
"MUSNIGG00000407",15.0620632397736,-1.71810244311412,0.677843426402205,-2.53465974027853,0.0112556596031797,0.199081921126785,"MUSNIGT00000485","TRIM24","ENSMPUG00000003933","tripartite motif containing 24 [Source:NCBI gene;Acc:101687559]","tripartite motif containing 24 [Source:HGNC Symbol;Acc:HGNC:11812]",-3.2900338857941,"DOWN"
"MUSNIGG00000418",75.2732351680088,-1.83019535865468,0.858459610584169,-2.13195278623448,0.0330107280998395,0.302383832134669,"MUSNIGT00000501","CHRM2","ENSMPUG00000004037","cholinergic receptor muscarinic 2 [Source:HGNC Symbol;Acc:HGNC:1951]","cholinergic receptor muscarinic 2 [Source:HGNC Symbol;Acc:HGNC:1951]",-3.55585219819391,"DOWN"
"MUSNIGG00000528",3.19388062997507,-3.18438040299105,1.27628361001507,-2.49504136698381,0.012594244684199,0.212855370167703,"MUSNIGT00000639","CCDC136","ENSMPUG00000006305","coiled-coil domain containing 136 [Source:HGNC Symbol;Acc:HGNC:22225]","coiled-coil domain containing 136 [Source:HGNC Symbol;Acc:HGNC:22225]",-9.09063077675003,"DOWN"
"MUSNIGG00000548",3.52002456609122,-2.95562745856246,1.12965155814002,-2.61640630446164,0.00888607484267806,0.182095976097846,"MUSNIGT00000666","FSCN3","ENSMPUG00000006639","fascin actin-bundling protein 3 [Source:HGNC Symbol;Acc:HGNC:3961]","fascin actin-bundling protein 3 [Source:HGNC Symbol;Acc:HGNC:3961]",-7.75769178598319,"DOWN"
"MUSNIGG00000553",41.8802964212011,-1.82471141545621,0.843706902534569,-2.16273140586455,0.0305618440920966,0.291552890124185,"MUSNIGT00000672","ZNF800","ENSMPUG00000006731","zinc finger protein 800 [Source:HGNC Symbol;Acc:HGNC:27267]","zinc finger protein 800 [Source:HGNC Symbol;Acc:HGNC:27267]",-3.54236142144371,"DOWN"
"MUSNIGG00000588",30.6223346232184,-3.14301456483444,0.800418601117532,-3.92671354769393,8.61144372186269e-05,0.0232700345906334,"MUSNIGT00000710","SPAM1","ENSMPUG00000006764","sperm adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:11217]","sperm adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:11217]",-8.83367995792362,"DOWN"
"MUSNIGG00000610",222.871558270204,-3.66413273068373,0.847787454428283,-4.32199451825421,1.54625031526756e-05,0.0125349358891024,"MUSNIGT00000737","PTPRZ1","ENSMPUG00000006874","protein tyrosine phosphatase receptor type Z1 [Source:NCBI gene;Acc:101690982]","protein tyrosine phosphatase receptor type Z1 [Source:HGNC Symbol;Acc:HGNC:9685]",-12.6769232221627,"DOWN"
"MUSNIGG00000618",4.66014355420796,-3.21559279215585,1.38264351406608,-2.32568464643459,0.020035380157328,0.254444096828311,"MUSNIGT00000745","WNT16","ENSMPUG00000006909","Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]","Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]",-9.28944749262095,"DOWN"
"MUSNIGG00000624",11.4944098289274,-1.85566752479934,0.777743374122848,-2.38596378515239,0.0170344284245154,0.236660974951298,"MUSNIGT00000753","KCND2","ENSMPUG00000007070","potassium voltage-gated channel subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:6238]","potassium voltage-gated channel subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:6238]",-3.61919169731736,"DOWN"
"MUSNIGG00000925",9.80338506695444,-3.25041067253345,0.936045084499676,-3.47249371462788,0.000515647086426157,0.0545240745299311,"MUSNIGT00001126","DNAH11","ENSMPUG00000013607","dynein axonemal heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:2942]","dynein axonemal heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:2942]",-9.5163654298647,"DOWN"
