"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange","expression"
"MUSNIGG00000230",7.59296276159297,2.05951969381146,0.995569489041944,2.06868502548564,0.0385756533107393,0.315347861686447,"MUSNIGT00000279","CUL1","ENSMPUG00000007262","cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]","cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]",4.16847503161251,"UP"
"MUSNIGG00000697",36.3912709081895,1.53925675525081,0.634281997617296,2.42677036559935,0.0152338947960378,0.230116969838285,"MUSNIGT00000843","TMEM168","ENSMPUG00000007725","transmembrane protein 168 [Source:HGNC Symbol;Acc:HGNC:25826]","transmembrane protein 168 [Source:HGNC Symbol;Acc:HGNC:25826]",2.90644731115691,"UP"
"MUSNIGG00000826",4.14322667113037,2.18123427398282,1.0345358214281,2.10841831554155,0.0349948215400116,0.30416909694483,"MUSNIGT00001002","TRIL","ENSMPUG00000019606","TLR4 interactor with leucine rich repeats [Source:HGNC Symbol;Acc:HGNC:22200]","TLR4 interactor with leucine rich repeats [Source:HGNC Symbol;Acc:HGNC:22200]",4.53541408066036,"UP"
"MUSNIGG00000999",21.269201315998,2.6441228476009,0.96231257288071,2.74767567432445,0.00600193462345247,0.148945969430984,"MUSNIGT00001212","SOSTDC1","ENSMPUG00000014023","sclerostin domain containing 1 [Source:NCBI gene;Acc:101685568]","sclerostin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21748]",6.25115531376925,"UP"
"MUSNIGG00001106",5.01171693780579,1.86219262588912,0.936558113706053,1.98833644024527,0.0467744931711914,0.344357191658717,"MUSNIGT00001344","ASB4","ENSMPUG00000001561","ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]","ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]",3.63559785147768,"UP"
"MUSNIGG00001158",66.5231838284104,1.16690985081354,0.545152951543745,2.1405182664959,0.0323129062012997,0.298300033877227,"MUSNIGT00001415","AKAP9","ENSMPUG00000008532","A-kinase anchoring protein 9 [Source:HGNC Symbol;Acc:HGNC:379]","A-kinase anchoring protein 9 [Source:HGNC Symbol;Acc:HGNC:379]",2.24530253831985,"UP"
"MUSNIGG00001753",16.9643583212548,2.48987905860393,0.961619020386021,2.58925728986145,0.00961831996970827,0.186480709144641,"MUSNIGT00002111","PCNXL2","NA","NA","NA",5.61730858318072,"UP"
"MUSNIGG00002104",16.6879549571641,2.2130892112307,0.845998416889838,2.61594958932279,0.0088979693299848,0.182095976097846,"MUSNIGT00002531","STOX1","ENSMPUG00000004614","storkhead box 1 [Source:HGNC Symbol;Acc:HGNC:23508]","storkhead box 1 [Source:HGNC Symbol;Acc:HGNC:23508]",4.63667051428995,"UP"
"MUSNIGG00002400",5.94607525977581,2.35595063084241,0.805844443261757,2.92357991736768,0.00346031385999223,0.125429537679637,"MUSNIGT00002913","FAM21A","NA","NA","NA",5.11931446896571,"UP"
"MUSNIGG00002404",19.783207286447,1.81018589348249,0.855269146139182,2.11651022564528,0.0343014364462465,0.302922728096096,"MUSNIGT00002917","ZFAND4","ENSMPUG00000009533","zinc finger AN1-type containing 4 [Source:HGNC Symbol;Acc:HGNC:23504]","zinc finger AN1-type containing 4 [Source:HGNC Symbol;Acc:HGNC:23504]",3.50687472237359,"UP"
"MUSNIGG00002938",3.10464475710642,2.58937397643229,1.003992661009,2.57907659786078,0.00990648174298187,0.188223153116656,"MUSNIGT00003601","INPP5F","ENSMPUG00000003046","inositol polyphosphate-5-phosphatase F [Source:HGNC Symbol;Acc:HGNC:17054]","inositol polyphosphate-5-phosphatase F [Source:HGNC Symbol;Acc:HGNC:17054]",6.01837489077881,"UP"
"MUSNIGG00003386",5.31424886865515,2.94401037496338,1.15368158859274,2.55183960988273,0.0107155835105014,0.196681502622938,"MUSNIGT00004131","TMEM132B","ENSMPUG00000001391","transmembrane protein 132B [Source:HGNC Symbol;Acc:HGNC:29397]","transmembrane protein 132B [Source:HGNC Symbol;Acc:HGNC:29397]",7.69547497817802,"UP"
"MUSNIGG00003639",14.8092304157178,2.62032387935623,0.929840567953996,2.81803566080359,0.00483184430318017,0.140694567475115,"MUSNIGT00004469","RPLP0","NA","NA","ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]",6.14888096978368,"UP"
"MUSNIGG00003686",3.04124576041911,2.06826438908726,1.04518616933941,1.97884783568698,0.0478331408615172,0.346736806483487,"MUSNIGT00004522","NPTN","ENSMPUG00000017233","neuroplastin [Source:HGNC Symbol;Acc:HGNC:17867]","neuroplastin [Source:HGNC Symbol;Acc:HGNC:17867]",4.19381839311553,"UP"
"MUSNIGG00004562",6.98728495148501,3.71679248094765,1.16120514326819,3.20080607849082,0.00137043730464063,0.0833225881221501,"MUSNIGT00005593","ST8SIA3","ENSMPUG00000016467","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:14269]","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:14269]",13.1481916084268,"UP"
"MUSNIGG00004615",12.2504663886962,1.85995422476108,0.718219154004096,2.58967505167716,0.00960665660607819,0.186480709144641,"MUSNIGT00005658","MC4R","ENSMPUG00000019609","melanocortin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6932]","melanocortin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6932]",3.62996144447536,"UP"
"MUSNIGG00004937",6.92208937912049,3.27332205897622,1.25157596714419,2.61536026969677,0.00891333832350487,0.182095976097846,"MUSNIGT00006028","VAMP7","ENSMPUG00000016113","vesicle associated membrane protein 7 [Source:HGNC Symbol;Acc:HGNC:11486]","vesicle associated membrane protein 7 [Source:HGNC Symbol;Acc:HGNC:11486]",9.66870089162302,"UP"
"MUSNIGG00005836",5.1808272560509,2.06266878310001,0.977470433173074,2.11021092106505,0.0348401922662455,0.30416909694483,"MUSNIGT00007107","ATP7A","ENSMPUG00000000086","ATPase copper transporting alpha [Source:NCBI gene;Acc:101671116]","ATPase copper transporting alpha [Source:HGNC Symbol;Acc:HGNC:869]",4.17758384304652,"UP"
"MUSNIGG00006166",3.93613019498731,2.62022363864257,1.23321813337494,2.12470411173068,0.0336113101603244,0.302383832134669,"MUSNIGT00007506","ZNF630","ENSMPUG00000013455","zinc finger protein 630 [Source:HGNC Symbol;Acc:HGNC:28855]","zinc finger protein 630 [Source:HGNC Symbol;Acc:HGNC:28855]",6.14845375073427,"UP"
