"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange","expression"
"MUSNIGG00000300",8.38683423236181,-6.97005459334311,2.37904488915608,-2.92977010442859,0.0033921286280042,0.319038624118079,"MUSNIGT00000357","CLCN1","ENSMPUG00000006980","chloride voltage-gated channel 1 [Source:NCBI gene;Acc:101676182]","chloride voltage-gated channel 1 [Source:HGNC Symbol;Acc:HGNC:2019]",-125.370542175866,"DOWN"
"MUSNIGG00000460",4.83365019237176,-5.29367254026069,1.42264586803745,-3.72100510688815,0.000198431425051339,0.0886492391416859,"MUSNIGT00000555","EXOC4","NA","NA","exocyst complex component 4 [Source:HGNC Symbol;Acc:HGNC:30389]",-39.2242114861944,"DOWN"
"MUSNIGG00000498",15.7004248759978,-4.94024512527809,1.71684462086464,-2.87751440359821,0.00400821611520936,0.339562350199169,"MUSNIGT00000602","C7ORF45","NA","NA","NA",-30.7016678310413,"DOWN"
"MUSNIGG00000610",222.871558270204,-2.94359338448188,1.1724294706061,-2.51067843165027,0.012049940769489,0.662852278467484,"MUSNIGT00000737","PTPRZ1","ENSMPUG00000006874","protein tyrosine phosphatase receptor type Z1 [Source:NCBI gene;Acc:101690982]","protein tyrosine phosphatase receptor type Z1 [Source:HGNC Symbol;Acc:HGNC:9685]",-7.69325103200708,"DOWN"
"MUSNIGG00002116",12.4745757697729,-8.15802973158278,2.63751573457601,-3.09307338896093,0.00198095140425929,0.221247509963209,"MUSNIGT00002546","HK1","ENSMPUG00000004457","hexokinase 1 [Source:HGNC Symbol;Acc:HGNC:4922]","hexokinase 1 [Source:HGNC Symbol;Acc:HGNC:4922]",-285.63515292739,"DOWN"
"MUSNIGG00002440",11.6773227028564,-3.48703054086038,1.12359149441206,-3.10346826066445,0.00191266749368781,0.220512052336782,"MUSNIGT00002956","ZNF485","NA","NA","zinc finger protein 485 [Source:HGNC Symbol;Acc:HGNC:23440]",-11.2124569501248,"DOWN"
"MUSNIGG00002625",9.51333690149269,-5.55093383851561,1.76953281540355,-3.13694879812088,0.00170715937410347,0.215753272982584,"MUSNIGT00003188","ABCC2","ENSMPUG00000016985","ATP binding cassette subfamily C member 2 [Source:NCBI gene;Acc:101682561]","ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53]",-46.8810779886062,"DOWN"
"MUSNIGG00002978",13.4769812696061,-6.7672117831423,2.08473920797068,-3.24607114274482,0.00117009594908779,0.189324261969937,"MUSNIGT00003656","TACC2","NA","NA","transforming acidic coiled-coil containing protein 2 [Source:HGNC Symbol;Acc:HGNC:11523]",-108.92654628126,"DOWN"
"MUSNIGG00004215",6.14664277924908,-4.91499742852802,2.09904252541462,-2.34154256953759,0.0192042357723627,0.953276925700338,"MUSNIGT00005172","NPC1","ENSMPUG00000005792","NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]","NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]",-30.1690513757606,"DOWN"
"MUSNIGG00004940",6.29885133589983,-7.38166322121962,2.44886328893471,-3.01432229989071,0.00257554038886987,0.270734745582969,"MUSNIGT00006031","TMLHE","ENSMPUG00000016127","trimethyllysine hydroxylase, epsilon [Source:HGNC Symbol;Acc:HGNC:18308]","trimethyllysine hydroxylase, epsilon [Source:HGNC Symbol;Acc:HGNC:18308]",-166.763901665798,"DOWN"
"MUSNIGG00005186",21.7252075118815,-2.62182101217939,1.28368547310885,-2.0424169838347,0.0411101864596936,0.997485415558453,"MUSNIGT00006330","GPR112","NA","NA","NA",-6.15526518089137,"DOWN"
"MUSNIGG00005716",6.22335940854686,-4.92082919816041,1.34964079606533,-3.64602878966488,0.000266324151690676,0.0922965721027271,"MUSNIGT00006971","TGIF2LX","NA","NA","TGFB induced factor homeobox 2 like X-linked [Source:HGNC Symbol;Acc:HGNC:18570]",-30.2912497815746,"DOWN"
"MUSNIGG00006078",9.08693191215889,-7.1376605355003,2.32291162889316,-3.07272151325934,0.002121163384269,0.229728422284164,"MUSNIGT00007403","KDM5C","ENSMPUG00000009698","lysine demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]","lysine demethylase 5C [Source:HGNC Symbol;Acc:HGNC:11114]",-140.815324414973,"DOWN"
"MUSNIGG00006399",11.3374518633166,-5.31288650348299,1.77217246831578,-2.99795115795485,0.00271801229117354,0.277547883675835,"MUSNIGT00007802","IL1RAPL1","ENSMPUG00000002666","interleukin 1 receptor accessory protein like 1 [Source:HGNC Symbol;Acc:HGNC:5996]","interleukin 1 receptor accessory protein like 1 [Source:HGNC Symbol;Acc:HGNC:5996]",-39.7500977622195,"DOWN"
"MUSNIGG00006864",27.60766586054,-3.42324051972772,1.27197245946876,-2.69128509367054,0.00711773402514863,0.479977007658136,"MUSNIGT00008371","ZNF544","NA","NA","zinc finger protein 544 [Source:HGNC Symbol;Acc:HGNC:16759]",-10.72748902303,"DOWN"
"MUSNIGG00006941",6.66758765860431,-2.33202579548961,1.15628366297902,-2.01682845667943,0.0437134181880981,0.997485415558453,"MUSNIGT00008458","ZNF614","NA","NA","zinc finger protein 614 [Source:HGNC Symbol;Acc:HGNC:24722]",-5.03511872149427,"DOWN"
"MUSNIGG00008050",7.88367618550485,-7.4776035146156,2.35739201657307,-3.17198135144521,0.0015140272894422,0.203387050481784,"MUSNIGT00009822","DYNC1LI2","ENSMPUG00000005134","dynein cytoplasmic 1 light intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:2966]","dynein cytoplasmic 1 light intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:2966]",-178.230880897746,"DOWN"
"MUSNIGG00008223",7.6168656589555,-5.57153772494298,1.97166489671078,-2.8258035806377,0.00471621739820902,0.374572466248867,"MUSNIGT00010039","CHST5","NA","NA","carbohydrate sulfotransferase 5 [Source:HGNC Symbol;Acc:HGNC:1973]",-47.5554151328634,"DOWN"
"MUSNIGG00008907",17.9195366545394,-7.35988137279786,2.32027951968,-3.17198049216627,0.00151403176920798,0.203387050481784,"MUSNIGT00010868","ARSG","ENSMPUG00000014560","arylsulfatase G [Source:HGNC Symbol;Acc:HGNC:24102]","arylsulfatase G [Source:HGNC Symbol;Acc:HGNC:24102]",-164.26500746004,"DOWN"
"MUSNIGG00008955",15.1094916155658,-2.15550386330144,1.02517392094651,-2.10257383577543,0.0355030390555909,0.997485415558453,"MUSNIGT00010934","TEX2","ENSMPUG00000014762","testis expressed 2 [Source:HGNC Symbol;Acc:HGNC:30884]","testis expressed 2 [Source:HGNC Symbol;Acc:HGNC:30884]",-4.45524220092414,"DOWN"
"MUSNIGG00009024",124.380737712678,-4.09313597442858,1.00188028331425,-4.0854541631345,4.39906846361384e-05,0.0393056767223897,"MUSNIGT00011031","LRRC37B","NA","NA","leucine rich repeat containing 37B [Source:HGNC Symbol;Acc:HGNC:29070]",-17.0669809854447,"DOWN"
"MUSNIGG00009565",33.2026778940831,-2.59034166099082,1.01998871923161,-2.53957873469642,0.0110986061021469,0.647464116437117,"MUSNIGT00011705","SLFN14","ENSMPUG00000014899","schlafen family member 14 [Source:HGNC Symbol;Acc:HGNC:32689]","schlafen family member 14 [Source:HGNC Symbol;Acc:HGNC:32689]",-6.02241305678144,"DOWN"
"MUSNIGG00009730",8.32750711358014,-4.72339934258252,1.82661089441137,-2.5858815126057,0.00971303138394696,0.581724328476925,"MUSNIGT00011909","C17ORF97","NA","NA","NA",-26.4170843935624,"DOWN"
"MUSNIGG00009981",42.3621340240611,-4.01477286486071,1.10617759461962,-3.62941076043152,0.000284068912459429,0.0922965721027271,"MUSNIGT00012228","DNAH9","ENSMPUG00000003676","dynein axonemal heavy chain 9 [Source:NCBI gene;Acc:101674259]","dynein axonemal heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:2953]",-16.1646780075508,"DOWN"
"MUSNIGG00010574",9.27830015595558,-4.82322039051997,1.38158579480943,-3.49107555147184,0.000481080192010405,0.114625373749679,"MUSNIGT00012936","PDGFRL","ENSMPUG00000017967","platelet derived growth factor receptor like [Source:HGNC Symbol;Acc:HGNC:8805]","platelet derived growth factor receptor like [Source:HGNC Symbol;Acc:HGNC:8805]",-28.3096182644286,"DOWN"
"MUSNIGG00012313",85.0844359461885,-2.05062939701444,0.975751674036755,-2.10158942236895,0.0355892572420406,0.997485415558453,"MUSNIGT00015117","TRANK1","ENSMPUG00000002926","tetratricopeptide repeat and ankyrin repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:29011]","tetratricopeptide repeat and ankyrin repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:29011]",-4.1428666879395,"DOWN"
"MUSNIGG00012432",9.11978622894601,-3.77449044498417,1.43370332629374,-2.6326858393651,0.00847126645546238,0.550478296578592,"MUSNIGT00015268","CCBP2","NA","NA","NA",-13.6846861723166,"DOWN"
"MUSNIGG00012885",9.03171580843699,-3.45056197804562,1.69873570904799,-2.03125298400856,0.0422293380873629,0.997485415558453,"MUSNIGT00015821","ATP13A4","ENSMPUG00000003595","ATPase 13A4 [Source:HGNC Symbol;Acc:HGNC:25422]","ATPase 13A4 [Source:HGNC Symbol;Acc:HGNC:25422]",-10.9325798307701,"DOWN"
"MUSNIGG00013290",13.9183441194388,-4.95338363984347,1.14079616251629,-4.34204093824935,1.41165220790595e-05,0.0280688247828262,"MUSNIGT00016311","PTX3","ENSMPUG00000002835","pentraxin 3 [Source:HGNC Symbol;Acc:HGNC:9692]","pentraxin 3 [Source:HGNC Symbol;Acc:HGNC:9692]",-30.9825426081662,"DOWN"
"MUSNIGG00013764",10.6857906861084,-2.17726177241087,1.0872084812121,-2.00261661864843,0.0452184547090336,0.997485415558453,"MUSNIGT00016886","OR5H2","NA","NA","olfactory receptor family 5 subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:14752]",-4.52294286759713,"DOWN"
