"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange"
"MUSNIGG00000223",12.9231444374884,0.379481730712181,1.73499898255946,17.8532380761078,0.00313607503249668,0.0973799277117754,"MUSNIGT00000270","",NA,NA,NA,1.30087444939342
"MUSNIGG00000289",22.0528229396791,6.11058562550166,1.73739879674825,31.1987263580417,8.55782605530356e-06,0.00228627242117072,"MUSNIGT00000343","OLFR455",NA,NA,NA,69.0986502906889
"MUSNIGG00000350",26.2787049997811,0.250828018354712,1.48473628918592,21.4637661443922,0.000661865815413522,0.0408173330701411,"MUSNIGT00000416","TAS2R3","ENSMPUG00000018738","taste 2 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:14910]","taste 2 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:14910]",1.18988984275833
"MUSNIGG00000396",41.7409191759201,0.919539745547949,1.49554873670602,62.7501405094126,3.27954677073619e-12,9.80912439127194e-09,"MUSNIGT00000472","ZC3HAV1","ENSMPUG00000003805","zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]","zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]",1.8915117593945
"MUSNIGG00000460",4.55907030008226,0.311026389829456,1.89199188456903,23.2837071412601,0.000297907368086706,0.0278450293108543,"MUSNIGT00000555","EXOC4",NA,NA,"exocyst complex component 4 [Source:HGNC Symbol;Acc:HGNC:30389]",1.24058999042446
"MUSNIGG00000498",14.5703963176828,0.885278232045698,2.22024142971064,22.2465682137827,0.000469994920941901,0.0331166558389577,"MUSNIGT00000602","C7ORF45",NA,NA,NA,1.84712081499562
"MUSNIGG00000588",29.5877281769463,-1.57918415472569,1.45810844669437,19.5971111316384,0.00148699895139536,0.0642977015077951,"MUSNIGT00000710","SPAM1","ENSMPUG00000006764","sperm adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:11217]","sperm adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:11217]",-2.98800829817302
"MUSNIGG00000594",4.1289350016654,0.32008786917762,1.89992234717428,23.8872653099453,0.000228214428168986,0.0243781912376228,"MUSNIGT00000716","IDH3B",NA,NA,"isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:5385]",1.24840658237791
"MUSNIGG00000610",215.23762540108,-1.44215277328238,1.58153392625105,19.2714614873843,0.00171067838108746,0.0680963381180465,"MUSNIGT00000737","PTPRZ1","ENSMPUG00000006874","protein tyrosine phosphatase receptor type Z1 [Source:NCBI gene;Acc:101690982]","protein tyrosine phosphatase receptor type Z1 [Source:HGNC Symbol;Acc:HGNC:9685]",-2.71726029643035
"MUSNIGG00000999",19.8233409261589,0.351332928641162,1.53762924614203,27.6163415778315,4.32544270576111e-05,0.00739279950453227,"MUSNIGT00001212","SOSTDC1","ENSMPUG00000014023","sclerostin domain containing 1 [Source:NCBI gene;Acc:101685568]","sclerostin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21748]",1.27573875809403
"MUSNIGG00001233",8.16643421741224,2.91779475640666,1.21039227675548,18.6138576734025,0.00226776192367738,0.0794425930115254,"MUSNIGT00001506","SEMA3E","ENSMPUG00000018299","semaphorin 3E [Source:HGNC Symbol;Acc:HGNC:10727]","semaphorin 3E [Source:HGNC Symbol;Acc:HGNC:10727]",7.55690117637642
"MUSNIGG00001383",22.9572860555632,1.39350873884337,2.15785633455144,36.6023222225396,7.19574335741014e-07,0.000358707806366895,"MUSNIGT00001691","",NA,NA,NA,2.62716850830741
"MUSNIGG00001566",41.8284383447007,-0.291756188395328,0.995485551884325,39.3802593043802,1.99098763785547e-07,0.000148876100620643,"MUSNIGT00001901","",NA,NA,NA,-1.22412950030591
"MUSNIGG00001608",5.91998570273156,4.10979056611503,1.21881326015891,24.9469026545835,0.000142661713408621,0.0177792160335493,"MUSNIGT00001946","C7ORF25",NA,NA,NA,17.2651452467835
"MUSNIGG00002050",5.68096869176561,1.36480672807104,1.5292214078186,20.0738850747548,0.00121045310227703,0.0576121341885374,"MUSNIGT00002466","NRBF2","ENSMPUG00000011106","nuclear receptor binding factor 2 [Source:HGNC Symbol;Acc:HGNC:19692]","nuclear receptor binding factor 2 [Source:HGNC Symbol;Acc:HGNC:19692]",2.57541821770782
"MUSNIGG00002201",3.57643913928044,5.52549413517476,1.67015169951604,25.0492054153098,0.000136318443156114,0.017350147382125,"MUSNIGT00002655","ZSWIM8","ENSMPUG00000003454","zinc finger SWIM-type containing 8 [Source:NCBI gene;Acc:101687200]","zinc finger SWIM-type containing 8 [Source:HGNC Symbol;Acc:HGNC:23528]",46.0616483604912
"MUSNIGG00002219",25.2594006794838,-3.91817055724422,1.52726739932323,21.882347301438,0.000551258881307144,0.0356614555675766,"MUSNIGT00002682","SAMD8","ENSMPUG00000003283","sterile alpha motif domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26320]","sterile alpha motif domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26320]",-15.1177397887566
"MUSNIGG00002440",11.4691607771313,0.717640597408121,1.52015517696317,22.4985395744665,0.000420815107608645,0.0322732817142937,"MUSNIGT00002956","ZNF485",NA,NA,"zinc finger protein 485 [Source:HGNC Symbol;Acc:HGNC:23440]",1.64449041276039
"MUSNIGG00002546",2.89678344000391,6.76594303731321,2.30584824453928,22.5548929818338,0.000410531342159192,0.0322732817142937,"MUSNIGT00003089","SORBS1","ENSMPUG00000017117","sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]","sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14565]",108.830795379874
