"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange"
"MUSNIGG00011201",1.90098310011805,17.648715956501,4.26549884818526,4.13755028066872,3.51033541076747e-05,0.0492558563720856,"MUSNIGT00013712","DNMT1","ENSMPUG00000006829","DNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2976]","DNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2976]",205491.038922687
"MUSNIGG00013290",13.9183441194388,-4.54723535999157,1.21106117417033,-3.75475282089428,0.00017351262628383,0.0973868533789043,"MUSNIGT00016311","PTX3","ENSMPUG00000002835","pentraxin 3 [Source:HGNC Symbol;Acc:HGNC:9692]","pentraxin 3 [Source:HGNC Symbol;Acc:HGNC:9692]",-23.3805240236063
"MUSNIGG00021215",1.81629006846872,18.0184141339652,4.13437608845016,4.35819425917774,1.31139960144682e-05,0.0301657405069262,"MUSNIGT00025784","PRR14","ENSMPUG00000012258","proline rich 14 [Source:HGNC Symbol;Acc:HGNC:28458]","proline rich 14 [Source:HGNC Symbol;Acc:HGNC:28458]",265511.373056974
"MUSNIGG00026196",2.89826838855203,17.8620451603385,4.15204346265837,4.30198896542914,1.69271743411661e-05,0.0301657405069262,"MUSNIGT00031582","MRPS24",NA,NA,"mitochondrial ribosomal protein S24 [Source:HGNC Symbol;Acc:HGNC:14510]",238238.187954695
"MUSNIGG00029856",1.78314706450593,18.365067349335,4.71652396285458,3.89377166192111,9.86975579465283e-05,0.0755395218501656,"MUSNIGT00035909","BOP1","ENSMPUG00000006831","BOP1 ribosomal biogenesis factor [Source:HGNC Symbol;Acc:HGNC:15519]","BOP1 ribosomal biogenesis factor [Source:HGNC Symbol;Acc:HGNC:15519]",337626.20292294
"MUSNIGG00030123",1.83700500734097,18.0172161928825,4.71667970184987,3.81989393636718,0.000133509071845676,0.0936677396557285,"MUSNIGT00036241","PITPNM1","ENSMPUG00000003958","phosphatidylinositol transfer protein membrane associated 1 [Source:NCBI gene;Acc:101675423]","phosphatidylinositol transfer protein membrane associated 1 [Source:HGNC Symbol;Acc:HGNC:9003]",265290.997332462
"MUSNIGG00033377",26.2907851584933,-4.82478725787824,1.09621535979665,-4.40131331381204,1.075976217663e-05,0.0301657405069262,"MUSNIGT00040117","",NA,NA,NA,-28.3403811851231
"MUSNIGG00037190",49.8254601601988,5.4592202075517,1.44198082976623,3.78591732626344,0.000153142587050993,0.0973868533789043,"MUSNIGT00044790","TRPM3","ENSMPUG00000009171","transient receptor potential cation channel subfamily M member 3 [Source:HGNC Symbol;Acc:HGNC:17992]","transient receptor potential cation channel subfamily M member 3 [Source:HGNC Symbol;Acc:HGNC:17992]",43.9935527564893
"MUSNIGG00037946",1.78395036428421,17.9753023992882,4.19062879623365,4.2894045913691,1.79152752743356e-05,0.0301657405069262,"MUSNIGT00045705","TRIM54",NA,NA,"tripartite motif containing 54 [Source:HGNC Symbol;Acc:HGNC:16008]",257694.531957422
"MUSNIGG00039378",0.91181062618823,17.7450012967606,4.72031099710864,3.75928647659657,0.000170398634452478,0.0973868533789043,"MUSNIGT00047417","DEFB124",NA,NA,"defensin beta 124 [Source:HGNC Symbol;Acc:HGNC:18104]",219673.496882941
"MUSNIGG00039482",1.6197265799836,18.4781922828288,4.71692208101624,3.91742580552608,8.94995791352977e-05,0.0755395218501656,"MUSNIGT00047563","SLA2","ENSMPUG00000017776","Src like adaptor 2 [Source:HGNC Symbol;Acc:HGNC:17329]","Src like adaptor 2 [Source:HGNC Symbol;Acc:HGNC:17329]",365165.838958121
"MUSNIGG00040552",1.6616035836393,18.3763564566692,4.71682780201673,3.89591420929384,9.78290153320181e-05,0.0755395218501656,"MUSNIGT00048880","STPG1","ENSMPUG00000015838","sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]","sperm tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]",340278.495902769
"MUSNIGG00040753",1.6880754256805,17.9952961825543,4.14100963249019,4.3456301191294,1.38876417570142e-05,0.0301657405069262,"MUSNIGT00049130","HPCA","ENSMPUG00000015200","hippocalcin [Source:NCBI gene;Acc:101673616]","hippocalcin [Source:HGNC Symbol;Acc:HGNC:5144]",261290.687635138
"MUSNIGG00042130",15.9733640658307,-7.38514843174901,1.84457178744383,-4.00371971534012,6.23542355013738e-05,0.0681148824824077,"MUSNIGT00050823","S100A10",NA,NA,"S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487]",-167.167250873337
"MUSNIGG00044511",1.68517312968704,18.8429857081022,4.71677477630111,3.99488773616595,6.47249150563323e-05,0.0681148824824077,"MUSNIGT00053673","T",NA,NA,NA,470223.041217598
