"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange"
"MUSNIGG00000156",3.17748185001347,-5.81464639571761,2.60549060265363,-2.23168964409065,0.025635482168023,0.999566778617329,"MUSNIGT00000183","GALNTL5","ENSMPUG00000009200","polypeptide N-acetylgalactosaminyltransferase like 5 [Source:HGNC Symbol;Acc:HGNC:21725]","polypeptide N-acetylgalactosaminyltransferase like 5 [Source:HGNC Symbol;Acc:HGNC:21725]",-56.2837440332594
"MUSNIGG00000270",26.6969205643122,-2.5146492769491,1.18947736382163,-2.11407913545314,0.0345085089071449,0.999566778617329,"MUSNIGT00000323","OR2A2",NA,NA,"olfactory receptor family 2 subfamily A member 2 [Source:NCBI gene (formerly Entrezgene);Acc:442361]",-5.71458715855503
"MUSNIGG00000270",26.6969205643122,-2.5146492769491,1.18947736382163,-2.11407913545314,0.0345085089071449,0.999566778617329,"MUSNIGT00000323","OR2A2",NA,NA,"olfactory receptor family 2 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:8230]",-5.71458715855503
"MUSNIGG00000300",8.38683423236181,-6.86894024996449,2.52033070581636,-2.7254122778858,0.00642212394451602,0.847639152848846,"MUSNIGT00000357","CLCN1","ENSMPUG00000006980","chloride voltage-gated channel 1 [Source:NCBI gene;Acc:101676182]","chloride voltage-gated channel 1 [Source:HGNC Symbol;Acc:HGNC:2019]",-116.884535061804
"MUSNIGG00000460",4.83365019237176,-4.39130138648427,1.49227830271734,-2.94268259378161,0.00325381838548994,0.622147595366834,"MUSNIGT00000555","EXOC4",NA,NA,"exocyst complex component 4 [Source:HGNC Symbol;Acc:HGNC:30389]",-20.9852156900797
"MUSNIGG00000498",15.7004248759978,-5.91348464081073,1.8358705084437,-3.22107938093286,0.00127708770138505,0.412008194301992,"MUSNIGT00000602","C7ORF45",NA,NA,NA,-60.2748663099127
"MUSNIGG00000548",3.52002456609122,3.56729387911021,1.76223999722372,2.02429514976973,0.0429397923866493,0.999566778617329,"MUSNIGT00000666","FSCN3","ENSMPUG00000006639","fascin actin-bundling protein 3 [Source:HGNC Symbol;Acc:HGNC:3961]","fascin actin-bundling protein 3 [Source:HGNC Symbol;Acc:HGNC:3961]",11.85393280186
"MUSNIGG00000588",30.6223346232184,2.43568524823807,1.21779749335701,2.00007411866467,0.0454922610128589,0.999566778617329,"MUSNIGT00000710","SPAM1","ENSMPUG00000006764","sperm adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:11217]","sperm adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:11217]",5.41021245319045
"MUSNIGG00001122",5.33644421140466,4.80087760206723,2.19084960629455,2.19133143063485,0.0284278171637004,0.999566778617329,"MUSNIGT00001366","COL1A2","ENSMPUG00000001613","collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]","collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]",27.8745691758593
"MUSNIGG00001237",449.178612300924,2.61402164977032,1.07864545167673,2.4234299098994,0.0153747198110686,0.999566778617329,"MUSNIGT00001513","PCLO","ENSMPUG00000018297","piccolo presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:13406]","piccolo presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:13406]",6.12207894943988
"MUSNIGG00001556",12.424410452774,2.20952831483901,1.11106978469549,1.98864944873339,0.0467399093190147,0.999566778617329,"MUSNIGT00001891","KCMF1","ENSMPUG00000008632","potassium channel modulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:20589]","potassium channel modulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:20589]",4.62524027884686
"MUSNIGG00001682",52.5328001583244,3.30815180204822,1.42422980132186,2.32276546873113,0.0201917550681364,0.999566778617329,"MUSNIGT00002033","URB2","ENSMPUG00000012438","URB2 ribosome biogenesis homolog [Source:NCBI gene;Acc:101692525]","URB2 ribosome biogenesis homolog [Source:HGNC Symbol;Acc:HGNC:28967]",9.90496448373996
"MUSNIGG00001826",43.5884855986143,2.32285586850707,1.17217763906493,1.98165857383192,0.0475174666693053,0.999566778617329,"MUSNIGT00002197","RYR2","ENSMPUG00000012720","ryanodine receptor 2 [Source:HGNC Symbol;Acc:HGNC:10484]","ryanodine receptor 2 [Source:HGNC Symbol;Acc:HGNC:10484]",5.00321645245668
"MUSNIGG00002029",19.0407593212367,2.72950632222811,1.17739450117434,2.31825978421479,0.0204352066392054,0.999566778617329,"MUSNIGT00002442","ARID5B","ENSMPUG00000011076","AT-rich interaction domain 5B [Source:HGNC Symbol;Acc:HGNC:17362]","AT-rich interaction domain 5B [Source:HGNC Symbol;Acc:HGNC:17362]",6.63228646707019
"MUSNIGG00002137",3.11873786468735,4.37997402599662,2.16009372050066,2.0276777736206,0.0425931455393518,0.999566778617329,"MUSNIGT00002573","NPFFR1","ENSMPUG00000004321","neuropeptide FF receptor 1 [Source:HGNC Symbol;Acc:HGNC:17425]","neuropeptide FF receptor 1 [Source:HGNC Symbol;Acc:HGNC:17425]",20.8210948247194
"MUSNIGG00002219",27.2339961683506,2.63582784661881,1.28469084128619,2.05172152078232,0.0401967340312036,0.999566778617329,"MUSNIGT00002682","SAMD8","ENSMPUG00000003283","sterile alpha motif domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26320]","sterile alpha motif domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26320]",6.21531644703418
"MUSNIGG00002313",12.9624872093956,3.90209647680359,1.78666824810089,2.1840072889588,0.0289617124598281,0.999566778617329,"MUSNIGT00002800","LRIT1","ENSMPUG00000008558","leucine rich repeat, Ig-like and transmembrane domains 1 [Source:HGNC Symbol;Acc:HGNC:23404]","leucine rich repeat, Ig-like and transmembrane domains 1 [Source:HGNC Symbol;Acc:HGNC:23404]",14.9502372783055
"MUSNIGG00002440",11.6773227028564,-4.48647497167079,1.21224449094355,-3.70096544483261,0.000214780726448557,0.11301493349815,"MUSNIGT00002956","ZNF485",NA,NA,"zinc finger protein 485 [Source:HGNC Symbol;Acc:HGNC:23440]",-22.416279925397
"MUSNIGG00002492",3.08552227744842,2.97450233738949,1.31784522661085,2.25709535332851,0.0240021171796067,0.999566778617329,"MUSNIGT00003018","PPP1R3C","ENSMPUG00000017235","protein phosphatase 1 regulatory subunit 3C [Source:NCBI gene;Acc:101673462]","protein phosphatase 1 regulatory subunit 3C [Source:HGNC Symbol;Acc:HGNC:9293]",7.85985303736846
"MUSNIGG00002572",58.2571655236328,2.03832614309386,1.00347054221825,2.03127651220132,0.0422269526325508,0.999566778617329,"MUSNIGT00003123","C10ORF12",NA,NA,NA,4.107686682797
"MUSNIGG00002623",2.38217422435684,-2.69295632603643,1.33459476199136,-2.01780825365914,0.0436112349673512,0.999566778617329,"MUSNIGT00003186","ENTPD7","ENSMPUG00000016988","ectonucleoside triphosphate diphosphohydrolase 7 [Source:HGNC Symbol;Acc:HGNC:19745]","ectonucleoside triphosphate diphosphohydrolase 7 [Source:HGNC Symbol;Acc:HGNC:19745]",-6.46637119435841
"MUSNIGG00002625",9.51333690149269,-4.73416257444068,1.86318921110707,-2.54089200722009,0.0110570065841725,0.859062738896454,"MUSNIGT00003188","ABCC2","ENSMPUG00000016985","ATP binding cassette subfamily C member 2 [Source:NCBI gene;Acc:101682561]","ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53]",-26.614906159967
"MUSNIGG00002978",13.4769812696061,-5.70116679342164,2.18956779217903,-2.60378637911362,0.00922002040171587,0.859062738896454,"MUSNIGT00003656","TACC2",NA,NA,"transforming acidic coiled-coil containing protein 2 [Source:HGNC Symbol;Acc:HGNC:11523]",-52.0262130541437
"MUSNIGG00003090",30.7736628998174,3.56806289058421,1.26900297056072,2.81170570389416,0.00492795690452221,0.768304984799491,"MUSNIGT00003786","MKI67",NA,NA,"marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]",11.8602530844196
"MUSNIGG00003808",3.42983692478654,-4.80756657693618,2.31449413203987,-2.07715652002931,0.0377871154159146,0.999566778617329,"MUSNIGT00004677","MORC2","ENSMPUG00000012872","MORC family CW-type zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:23573]","MORC family CW-type zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:23573]",-28.0041081248455
"MUSNIGG00003825",3.15774606628553,-5.48783648378665,2.42230488367431,-2.26554325212041,0.0234793629597014,0.999566778617329,"MUSNIGT00004703","SFI1","ENSMPUG00000012788","SFI1 centrin binding protein [Source:HGNC Symbol;Acc:HGNC:29064]","SFI1 centrin binding protein [Source:HGNC Symbol;Acc:HGNC:29064]",-44.8748895763256
"MUSNIGG00003915",8.02602682351393,-7.53461331655882,2.79456567194484,-2.69616613135995,0.00701426739595031,0.859062738896454,"MUSNIGT00004802","GGT1",NA,NA,"gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]",-185.414892639975
"MUSNIGG00003928",10.5122988228627,4.14739774030905,1.88572836223422,2.19936117171998,0.0278522512350236,0.999566778617329,"MUSNIGT00004817","",NA,NA,NA,17.7211182590549
"MUSNIGG00003960",6.25544212256668,5.00399927929013,2.27296073785486,2.20153353111269,0.0276982756173241,0.999566778617329,"MUSNIGT00004851","RIMBP3",NA,NA,"RIMS binding protein 3 [Source:HGNC Symbol;Acc:HGNC:29344]",32.0888299185983
"MUSNIGG00004142",21.1179582762971,3.47589062605913,1.27096385250195,2.73484617144436,0.00624094340896357,0.847639152848846,"MUSNIGT00005085","EMILIN2","ENSMPUG00000005128","elastin microfibril interfacer 2 [Source:HGNC Symbol;Acc:HGNC:19881]","elastin microfibril interfacer 2 [Source:HGNC Symbol;Acc:HGNC:19881]",11.1262122386466
"MUSNIGG00004190",11.3030058913432,2.66427733879397,1.28919644145021,2.06661859522117,0.0387701072100289,0.999566778617329,"MUSNIGT00005137","GREB1L","ENSMPUG00000005516","GREB1 like retinoic acid receptor coactivator [Source:HGNC Symbol;Acc:HGNC:31042]","GREB1 like retinoic acid receptor coactivator [Source:HGNC Symbol;Acc:HGNC:31042]",6.33909697674642
"MUSNIGG00004307",14.1339870513573,2.66001061184019,1.19698073907785,2.22226684607261,0.0262652773107881,0.999566778617329,"MUSNIGT00005279","FAM59A",NA,NA,NA,6.32037698469308
"MUSNIGG00004678",9.42934249783943,3.88887341853042,1.41523233176018,2.74786925881891,0.00599839225352347,0.847639152848846,"MUSNIGT00005736","SERPINB8","ENSMPUG00000016593","serpin family B member 8 [Source:HGNC Symbol;Acc:HGNC:8952]","serpin family B member 8 [Source:HGNC Symbol;Acc:HGNC:8952]",14.8138365434891
"MUSNIGG00004940",6.29885133589983,-7.06160055527618,2.59207079425797,-2.72430852232866,0.00644362819602401,0.847639152848846,"MUSNIGT00006031","TMLHE","ENSMPUG00000016127","trimethyllysine hydroxylase, epsilon [Source:HGNC Symbol;Acc:HGNC:18308]","trimethyllysine hydroxylase, epsilon [Source:HGNC Symbol;Acc:HGNC:18308]",-133.583735728174
"MUSNIGG00005716",6.22335940854686,-4.02320944295626,1.41740535477057,-2.83843251291193,0.00453357052012804,0.734002504018422,"MUSNIGT00006971","TGIF2LX",NA,NA,"TGFB induced factor homeobox 2 like X-linked [Source:HGNC Symbol;Acc:HGNC:18570]",-16.2594825836121
"MUSNIGG00006158",3.86966962050464,-6.19828075958613,2.82584126485229,-2.19342849744609,0.0282765209973695,0.999566778617329,"MUSNIGT00007496","TBC1D25","ENSMPUG00000013612","TBC1 domain family member 25 [Source:HGNC Symbol;Acc:HGNC:8092]","TBC1 domain family member 25 [Source:HGNC Symbol;Acc:HGNC:8092]",-73.4291380369122
"MUSNIGG00006241",11.062447630299,-2.67382769576381,1.21629930037057,-2.19833037390482,0.0279255714100442,0.999566778617329,"MUSNIGT00007602","",NA,NA,NA,-6.38119975226314
"MUSNIGG00006399",11.3374518633166,-4.57807646462519,1.8684505634391,-2.45019940811209,0.0142777119440753,0.999566778617329,"MUSNIGT00007802","IL1RAPL1","ENSMPUG00000002666","interleukin 1 receptor accessory protein like 1 [Source:HGNC Symbol;Acc:HGNC:5996]","interleukin 1 receptor accessory protein like 1 [Source:HGNC Symbol;Acc:HGNC:5996]",-23.8857200719696
"MUSNIGG00006416",8.91563481214227,-2.53632755164332,1.25168805231427,-2.02632560641117,0.0427314288951769,0.999566778617329,"MUSNIGT00007820","",NA,NA,NA,-5.80110427341413
"MUSNIGG00006903",66.7221373198822,3.53550567922969,1.34286007898369,2.63281762155403,0.00846798046443074,0.859062738896454,"MUSNIGT00008416","ZNF430",NA,NA,"zinc finger protein 430 [Source:HGNC Symbol;Acc:HGNC:20808]",11.5956008998256
"MUSNIGG00006941",6.66758765860431,-2.89255585591085,1.23604548732222,-2.34016942384323,0.0192749937377164,0.999566778617329,"MUSNIGT00008458","ZNF614",NA,NA,"zinc finger protein 614 [Source:HGNC Symbol;Acc:HGNC:24722]",-7.42584836546398
"MUSNIGG00007667",1.55792533839167,-3.74789956488961,1.7875815075725,-2.09663142576317,0.0360262151534819,0.999566778617329,"MUSNIGT00009345","ZNF566","ENSMPUG00000005568","zinc finger protein 566 [Source:HGNC Symbol;Acc:HGNC:25919]","zinc finger protein 566 [Source:HGNC Symbol;Acc:HGNC:25919]",-13.4347685754879
"MUSNIGG00007712",5.2249247587077,-5.84746052376003,2.58771469203565,-2.25970063150976,0.0238398370889769,0.999566778617329,"MUSNIGT00009397","NUDT19","ENSMPUG00000007814","nudix hydrolase 19 [Source:HGNC Symbol;Acc:HGNC:32036]","nudix hydrolase 19 [Source:HGNC Symbol;Acc:HGNC:32036]",-57.578588748528
"MUSNIGG00008050",7.88367618550485,-6.08143509788898,2.4729451487793,-2.45918721686606,0.0139251979614842,0.985178501157444,"MUSNIGT00009822","DYNC1LI2","ENSMPUG00000005134","dynein cytoplasmic 1 light intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:2966]","dynein cytoplasmic 1 light intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:2966]",-67.7164809942147
"MUSNIGG00008154",95.9885202178157,2.71516521985671,1.2230562677242,2.21998389731403,0.0264198607089528,0.999566778617329,"MUSNIGT00009949","ZFHX3","ENSMPUG00000007747","zinc finger homeobox 3 [Source:HGNC Symbol;Acc:HGNC:777]","zinc finger homeobox 3 [Source:HGNC Symbol;Acc:HGNC:777]",6.56668485519142
"MUSNIGG00008167",17.2754215374232,3.54606550271933,1.66099190675318,2.13490835704973,0.0327684965664064,0.999566778617329,"MUSNIGT00009964","ZNF821","ENSMPUG00000007877","zinc finger protein 821 [Source:HGNC Symbol;Acc:HGNC:28043]","zinc finger protein 821 [Source:HGNC Symbol;Acc:HGNC:28043]",11.6807864162371
"MUSNIGG00008223",7.6168656589555,-4.80760951684803,2.07564864816206,-2.31619620262084,0.0205475584398785,0.999566778617329,"MUSNIGT00010039","CHST5",NA,NA,"carbohydrate sulfotransferase 5 [Source:HGNC Symbol;Acc:HGNC:1973]",-28.0049416425298
"MUSNIGG00008229",4.49450059492057,-2.72434423981657,1.35238598752982,-2.01447239540886,0.0439599602428348,0.999566778617329,"MUSNIGT00010047","TERF2IP","ENSMPUG00000009867","TERF2 interacting protein [Source:HGNC Symbol;Acc:HGNC:19246]","TERF2 interacting protein [Source:HGNC Symbol;Acc:HGNC:19246]",-6.60859800139716
"MUSNIGG00008680",15.3176387376987,3.91973211463883,1.46825215352233,2.66965868582955,0.00759283854750476,0.859062738896454,"MUSNIGT00010589","TNRC6C","ENSMPUG00000013348","trinucleotide repeat containing adaptor 6C [Source:HGNC Symbol;Acc:HGNC:29318]","trinucleotide repeat containing adaptor 6C [Source:HGNC Symbol;Acc:HGNC:29318]",15.1341119245139
"MUSNIGG00008907",17.9195366545394,-6.53954992706946,2.44163031365285,-2.67835384026087,0.00739850141207674,0.859062738896454,"MUSNIGT00010868","ARSG","ENSMPUG00000014560","arylsulfatase G [Source:HGNC Symbol;Acc:HGNC:24102]","arylsulfatase G [Source:HGNC Symbol;Acc:HGNC:24102]",-93.0252158039713
"MUSNIGG00008955",15.1094916155658,-3.40018423498824,1.09951443698655,-3.09244164570239,0.00198517259533813,0.506459638792475,"MUSNIGT00010934","TEX2","ENSMPUG00000014762","testis expressed 2 [Source:HGNC Symbol;Acc:HGNC:30884]","testis expressed 2 [Source:HGNC Symbol;Acc:HGNC:30884]",-10.5574114022594
"MUSNIGG00009024",124.380737712678,-2.07982634908226,1.05233613549344,-1.97638974747079,0.0481106518461638,0.999566778617329,"MUSNIGT00011031","LRRC37B",NA,NA,"leucine rich repeat containing 37B [Source:HGNC Symbol;Acc:HGNC:29070]",-4.22756327824339
"MUSNIGG00009363",3.42740795799876,-5.77226351895926,2.57175735744041,-2.24448216401886,0.0248013952419809,0.999566778617329,"MUSNIGT00011446","CACNA1G","ENSMPUG00000015502","calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]","calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]",-54.6543158258785
"MUSNIGG00009379",21.2312021520974,2.8940562312929,1.27996563813244,2.26104212884616,0.0237566484114085,0.999566778617329,"MUSNIGT00011472","UTP18","ENSMPUG00000015582","UTP18 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24274]","UTP18 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24274]",7.43357512356363
"MUSNIGG00009560",5.9161572587046,5.23361430604916,2.52056166604808,2.07636828590462,0.0378599020872366,0.999566778617329,"MUSNIGT00011699","GAS2L2","ENSMPUG00000014920","growth arrest specific 2 like 2 [Source:HGNC Symbol;Acc:HGNC:24846]","growth arrest specific 2 like 2 [Source:HGNC Symbol;Acc:HGNC:24846]",37.6248599339414
"MUSNIGG00009565",33.2026778940831,-3.08725288920334,1.07954492713739,-2.85977249449893,0.00423945023552621,0.713838630657903,"MUSNIGT00011705","SLFN14","ENSMPUG00000014899","schlafen family member 14 [Source:HGNC Symbol;Acc:HGNC:32689]","schlafen family member 14 [Source:HGNC Symbol;Acc:HGNC:32689]",-8.49876310481329
"MUSNIGG00009634",106.446534482821,2.81224544692147,1.31956873525448,2.13118526666148,0.0330738823063817,0.999566778617329,"MUSNIGT00011790","EVI2B","ENSMPUG00000019512","ecotropic viral integration site 2B [Source:HGNC Symbol;Acc:HGNC:3500]","ecotropic viral integration site 2B [Source:HGNC Symbol;Acc:HGNC:3500]",7.02376923900396
"MUSNIGG00009730",8.32750711358014,-4.92916461403604,1.94079248657983,-2.53976901091702,0.0110925702697425,0.859062738896454,"MUSNIGT00011909","C17ORF97",NA,NA,NA,-30.4667691854339
"MUSNIGG00009896",3.73334401393,-3.05152901124962,1.39036871955259,-2.19476241685845,0.0281806447464787,0.999566778617329,"MUSNIGT00012116","AKAP10","ENSMPUG00000010271","A-kinase anchoring protein 10 [Source:HGNC Symbol;Acc:HGNC:368]","A-kinase anchoring protein 10 [Source:HGNC Symbol;Acc:HGNC:368]",-8.29090168101717
