"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange"
"MUSNIGG00000017",18.7978481483654,-0.101294142410639,0.289689877028614,-0.349664073351908,0.726590818929162,0.923657631671677,"MUSNIGT00000022","PTPRN2","ENSMPUG00000009804","protein tyrosine phosphatase receptor type N2 [Source:HGNC Symbol;Acc:HGNC:9677]","protein tyrosine phosphatase receptor type N2 [Source:HGNC Symbol;Acc:HGNC:9677]",-1.07273530807027
"MUSNIGG00000076",3.6858965659653,1.74222493421444,1.27999854278998,1.36111477940979,0.173477419773632,0.575957429202961,"MUSNIGT00000092","RBM33","ENSMPUG00000009616","RNA binding motif protein 33 [Source:HGNC Symbol;Acc:HGNC:27223]","RNA binding motif protein 33 [Source:HGNC Symbol;Acc:HGNC:27223]",3.34550716543718
"MUSNIGG00000153",95.8146053189131,0.459552465026501,0.795754703419425,0.577505182252477,0.563598238868444,0.862315309445646,"MUSNIGT00000177","MLL3",NA,NA,NA,1.37511518078314
"MUSNIGG00000156",3.17748185001347,-0.605564213469007,1.89859912954355,-0.318953171338803,0.749762023375142,0.929722760492081,"MUSNIGT00000183","GALNTL5","ENSMPUG00000009200","polypeptide N-acetylgalactosaminyltransferase like 5 [Source:HGNC Symbol;Acc:HGNC:21725]","polypeptide N-acetylgalactosaminyltransferase like 5 [Source:HGNC Symbol;Acc:HGNC:21725]",-1.52157369846605
"MUSNIGG00000212",3.57912734067727,-4.83421057826338,3.21643487119378,-1.5029716975022,0.132846342541607,0.515431391730288,"MUSNIGT00000253","KRBA1","ENSMPUG00000006758","KRAB-A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22228]","KRAB-A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22228]",-28.5260992836348
"MUSNIGG00000223",5.39158889811749,-0.917273439507592,0.904485713160658,-1.01413811866884,0.310516851277831,0.704818271026247,"MUSNIGT00000270","",NA,NA,NA,-1.88854274710967
"MUSNIGG00000230",7.59296276159297,2.05951969381146,0.995569489041944,2.06868502548564,0.0385756533107393,0.315347861686447,"MUSNIGT00000279","CUL1","ENSMPUG00000007262","cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]","cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]",4.16847503161251
"MUSNIGG00000267",7.0758934921527,0.861279101747803,0.871704903590357,0.988039757721205,0.323133177296875,0.714093491309406,"MUSNIGT00000320","OR2A1",NA,NA,"olfactory receptor family 2 subfamily A member 1 [Source:NCBI gene (formerly Entrezgene);Acc:346528]",1.81664824765782
"MUSNIGG00000267",7.0758934921527,0.861279101747803,0.871704903590357,0.988039757721205,0.323133177296875,0.714093491309406,"MUSNIGT00000320","OR2A1",NA,NA,"olfactory receptor family 2 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:8229]",1.81664824765782
"MUSNIGG00000268",38.073127700689,-1.72149393737006,1.03051717245724,-1.67051455655533,0.0948176018401593,0.455724125840449,"MUSNIGT00000321","OR2A1",NA,NA,"olfactory receptor family 2 subfamily A member 1 [Source:NCBI gene (formerly Entrezgene);Acc:346528]",-3.29777721081112
"MUSNIGG00000268",38.073127700689,-1.72149393737006,1.03051717245724,-1.67051455655533,0.0948176018401593,0.455724125840449,"MUSNIGT00000321","OR2A1",NA,NA,"olfactory receptor family 2 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:8229]",-3.29777721081112
"MUSNIGG00000269",14.3812635518579,1.26633898978585,0.853972633079502,1.48288006047607,0.138106279992985,0.522761825592125,"MUSNIGT00000322","OLFR13",NA,NA,NA,2.40550365214308
"MUSNIGG00000270",26.6969205643122,0.699797299710305,0.820037862975477,0.853371937206797,0.393453078640078,0.760030093131588,"MUSNIGT00000323","OR2A2",NA,NA,"olfactory receptor family 2 subfamily A member 2 [Source:NCBI gene (formerly Entrezgene);Acc:442361]",1.62427656397999
"MUSNIGG00000270",26.6969205643122,0.699797299710305,0.820037862975477,0.853371937206797,0.393453078640078,0.760030093131588,"MUSNIGT00000323","OR2A2",NA,NA,"olfactory receptor family 2 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:8230]",1.62427656397999
"MUSNIGG00000271",12.9923784083886,-0.170490181098306,0.684533992173012,-0.249060211834178,0.803314206150877,0.947344860280332,"MUSNIGT00000324","OR2A14","ENSMPUG00000007040","olfactory receptor family 2 subfamily A member 14 [Source:HGNC Symbol;Acc:HGNC:15084]","olfactory receptor family 2 subfamily A member 14 [Source:NCBI gene (formerly Entrezgene);Acc:135941]",-1.12544080810894
"MUSNIGG00000271",12.9923784083886,-0.170490181098306,0.684533992173012,-0.249060211834178,0.803314206150877,0.947344860280332,"MUSNIGT00000324","OR2A14","ENSMPUG00000007040","olfactory receptor family 2 subfamily A member 14 [Source:HGNC Symbol;Acc:HGNC:15084]","olfactory receptor family 2 subfamily A member 14 [Source:HGNC Symbol;Acc:HGNC:15084]",-1.12544080810894
"MUSNIGG00000273",13.5921191681217,0.715052692865894,0.77796389896223,0.919133514832428,0.358025741108085,0.737627413978575,"MUSNIGT00000327","OR2A12","ENSMPUG00000020037","olfactory receptor 2A12 [Source:NCBI gene;Acc:101681691]","olfactory receptor family 2 subfamily A member 12 [Source:NCBI gene (formerly Entrezgene);Acc:346525]",1.64154317210353
"MUSNIGG00000273",13.5921191681217,0.715052692865894,0.77796389896223,0.919133514832428,0.358025741108085,0.737627413978575,"MUSNIGT00000327","OR2A12","ENSMPUG00000020037","olfactory receptor 2A12 [Source:NCBI gene;Acc:101681691]","olfactory receptor family 2 subfamily A member 12 [Source:HGNC Symbol;Acc:HGNC:15082]",1.64154317210353
"MUSNIGG00000274",13.0284807249745,0.151296474188375,0.756028995478134,0.200119935998872,0.841386782054805,0.959202208379318,"MUSNIGT00000328","OR2A25","ENSMPUG00000020035","olfactory receptor 2A25 [Source:NCBI gene;Acc:101688448]","olfactory receptor family 2 subfamily A member 25 [Source:NCBI gene (formerly Entrezgene);Acc:392138]",1.11056703198068
"MUSNIGG00000274",13.0284807249745,0.151296474188375,0.756028995478134,0.200119935998872,0.841386782054805,0.959202208379318,"MUSNIGT00000328","OR2A25","ENSMPUG00000020035","olfactory receptor 2A25 [Source:NCBI gene;Acc:101688448]","olfactory receptor family 2 subfamily A member 25 [Source:HGNC Symbol;Acc:HGNC:19562]",1.11056703198068
"MUSNIGG00000275",14.5919326157848,0.329669662779645,0.982365202613014,0.335587683585239,0.737181812994131,0.925510252259971,"MUSNIGT00000329","OR2A5",NA,NA,"olfactory receptor family 2 subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:8232]",1.25672558621112
"MUSNIGG00000276",10.2939416646557,0.88785462316078,0.693200590286833,1.28080477080004,0.200262247912511,0.600876592705372,"MUSNIGT00000330","OR6B1","ENSMPUG00000020034","olfactory receptor 6B1 [Source:NCBI gene;Acc:101688162]","olfactory receptor family 6 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:8354]",1.85042238415757
"MUSNIGG00000277",42.5693101234244,1.01659596052457,0.943317071838883,1.0776821398375,0.281175631576422,0.68165976710746,"MUSNIGT00000331","",NA,NA,NA,2.02313972457556
"MUSNIGG00000278",17.1203326094141,0.846911037486664,0.584869491170891,1.44803422006365,0.147607480488739,0.542389883850048,"MUSNIGT00000332","",NA,NA,NA,1.79864570897942
"MUSNIGG00000279",14.5334529960483,1.53341814127462,0.910941345324242,1.68333356384084,0.0923105364140192,0.451703214409923,"MUSNIGT00000333","OR2F1",NA,NA,"olfactory receptor family 2 subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:8246]",2.89470863354729
"MUSNIGG00000280",6.50662150742616,-1.56331518717847,0.850229659389355,-1.83869754473311,0.0659596847555343,0.39351185581439,"MUSNIGT00000334","OR2F1",NA,NA,"olfactory receptor family 2 subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:8246]",-2.95532170903883
"MUSNIGG00000283",45.2128062726746,0.932194742644954,0.847908480731108,1.09940490492697,0.27159149227512,0.67384099950012,"MUSNIGT00000337","OR2F1",NA,NA,"olfactory receptor family 2 subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:8246]",1.90817665953943
"MUSNIGG00000286",19.5457897479432,0.449402653178623,0.988622574764196,0.45457454103333,0.649415354010412,0.898519888531902,"MUSNIGT00000340","FAM115A",NA,NA,NA,1.36547476586867
"MUSNIGG00000288",4.60454480297568,0.26609101637671,0.980477979695152,0.271389079497168,0.7860918002903,0.943387741577108,"MUSNIGT00000342","FAM115C",NA,NA,NA,1.20254511236441
"MUSNIGG00000289",4.90363691128398,0.602346215398484,0.997455429487097,0.603882837860954,0.545921539745375,0.854157888002037,"MUSNIGT00000343","OLFR455",NA,NA,NA,1.51818354025654
"MUSNIGG00000291",10.3438664821741,-1.18911635680256,0.870770163076481,-1.36559152716182,0.172067207433704,0.574786834539207,"MUSNIGT00000345","",NA,NA,NA,-2.28013043593955
"MUSNIGG00000300",8.38683423236181,-0.10112514636155,1.84345828351444,-0.0548562163114216,0.95625301364505,0.987291973027123,"MUSNIGT00000357","CLCN1","ENSMPUG00000006980","chloride voltage-gated channel 1 [Source:NCBI gene;Acc:101676182]","chloride voltage-gated channel 1 [Source:HGNC Symbol;Acc:HGNC:2019]",-1.07260965614377
