"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange"
"MUSNIGG00000017",18.7978481483654,0.205206797096022,0.435402457089851,0.471303718558655,0.637423860567993,0.997485415558453,"MUSNIGT00000022","PTPRN2","ENSMPUG00000009804","protein tyrosine phosphatase receptor type N2 [Source:HGNC Symbol;Acc:HGNC:9677]","protein tyrosine phosphatase receptor type N2 [Source:HGNC Symbol;Acc:HGNC:9677]",1.15285158565215
"MUSNIGG00000153",95.8146053189131,1.59470976686024,1.12949806764051,1.41187471899935,0.157986852798305,0.997485415558453,"MUSNIGT00000177","MLL3",NA,NA,NA,3.02033749577467
"MUSNIGG00000223",5.39158889811749,-1.05206831233391,1.28216006654734,-0.820543658926274,0.411906251137772,0.997485415558453,"MUSNIGT00000270","",NA,NA,NA,-2.07350038099821
"MUSNIGG00000230",7.59296276159297,0.977305134105114,1.38526576562098,0.705500098507822,0.480499070664431,0.997485415558453,"MUSNIGT00000279","CUL1","ENSMPUG00000007262","cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]","cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]",1.9687844035373
"MUSNIGG00000267",7.0758934921527,-0.192342842437411,1.22245664990548,-0.157341237787273,0.874975921926929,0.997485415558453,"MUSNIGT00000320","OR2A1",NA,NA,"olfactory receptor family 2 subfamily A member 1 [Source:NCBI gene (formerly Entrezgene);Acc:346528]",-1.14261774657614
"MUSNIGG00000267",7.0758934921527,-0.192342842437411,1.22245664990548,-0.157341237787273,0.874975921926929,0.997485415558453,"MUSNIGT00000320","OR2A1",NA,NA,"olfactory receptor family 2 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:8229]",-1.14261774657614
"MUSNIGG00000268",38.073127700689,0.769757482918087,1.48572062196211,0.518103788518133,0.604385857107515,0.997485415558453,"MUSNIGT00000321","OR2A1",NA,NA,"olfactory receptor family 2 subfamily A member 1 [Source:NCBI gene (formerly Entrezgene);Acc:346528]",1.70498315172356
"MUSNIGG00000268",38.073127700689,0.769757482918087,1.48572062196211,0.518103788518133,0.604385857107515,0.997485415558453,"MUSNIGT00000321","OR2A1",NA,NA,"olfactory receptor family 2 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:8229]",1.70498315172356
"MUSNIGG00000269",14.3812635518579,0.0377878696411444,1.20015057200696,0.0314859406165622,0.974882004349595,0.997485415558453,"MUSNIGT00000322","OLFR13",NA,NA,NA,1.02653859489216
"MUSNIGG00000270",26.6969205643122,-1.81485266168806,1.12471859753466,-1.61360598612502,0.106612917596772,0.997485415558453,"MUSNIGT00000323","OR2A2",NA,NA,"olfactory receptor family 2 subfamily A member 2 [Source:NCBI gene (formerly Entrezgene);Acc:442361]",-3.51823697787701
"MUSNIGG00000270",26.6969205643122,-1.81485266168806,1.12471859753466,-1.61360598612502,0.106612917596772,0.997485415558453,"MUSNIGT00000323","OR2A2",NA,NA,"olfactory receptor family 2 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:8230]",-3.51823697787701
"MUSNIGG00000271",12.9923784083886,0.175028391564437,0.997147832025969,0.175529029841865,0.860663962347267,0.997485415558453,"MUSNIGT00000324","OR2A14","ENSMPUG00000007040","olfactory receptor family 2 subfamily A member 14 [Source:HGNC Symbol;Acc:HGNC:15084]","olfactory receptor family 2 subfamily A member 14 [Source:NCBI gene (formerly Entrezgene);Acc:135941]",1.12898662251683
"MUSNIGG00000271",12.9923784083886,0.175028391564437,0.997147832025969,0.175529029841865,0.860663962347267,0.997485415558453,"MUSNIGT00000324","OR2A14","ENSMPUG00000007040","olfactory receptor family 2 subfamily A member 14 [Source:HGNC Symbol;Acc:HGNC:15084]","olfactory receptor family 2 subfamily A member 14 [Source:HGNC Symbol;Acc:HGNC:15084]",1.12898662251683
"MUSNIGG00000273",13.5921191681217,0.135601648001482,1.11146961149676,0.122002119175237,0.90289733995064,0.997485415558453,"MUSNIGT00000327","OR2A12","ENSMPUG00000020037","olfactory receptor 2A12 [Source:NCBI gene;Acc:101681691]","olfactory receptor family 2 subfamily A member 12 [Source:NCBI gene (formerly Entrezgene);Acc:346525]",1.09855084760994
"MUSNIGG00000273",13.5921191681217,0.135601648001482,1.11146961149676,0.122002119175237,0.90289733995064,0.997485415558453,"MUSNIGT00000327","OR2A12","ENSMPUG00000020037","olfactory receptor 2A12 [Source:NCBI gene;Acc:101681691]","olfactory receptor family 2 subfamily A member 12 [Source:HGNC Symbol;Acc:HGNC:15082]",1.09855084760994
"MUSNIGG00000274",13.0284807249745,-0.371022831765443,1.07752589040225,-0.34432846121863,0.730599282492194,0.997485415558453,"MUSNIGT00000328","OR2A25","ENSMPUG00000020035","olfactory receptor 2A25 [Source:NCBI gene;Acc:101688448]","olfactory receptor family 2 subfamily A member 25 [Source:NCBI gene (formerly Entrezgene);Acc:392138]",-1.29326939871456
"MUSNIGG00000274",13.0284807249745,-0.371022831765443,1.07752589040225,-0.34432846121863,0.730599282492194,0.997485415558453,"MUSNIGT00000328","OR2A25","ENSMPUG00000020035","olfactory receptor 2A25 [Source:NCBI gene;Acc:101688448]","olfactory receptor family 2 subfamily A member 25 [Source:HGNC Symbol;Acc:HGNC:19562]",-1.29326939871456
"MUSNIGG00000275",14.5919326157848,0.948861051218195,1.41003480765313,0.672934487906354,0.500988970069821,0.997485415558453,"MUSNIGT00000329","OR2A5",NA,NA,"olfactory receptor family 2 subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:8232]",1.9303481251859
"MUSNIGG00000276",10.2939416646557,0.892987943996017,1.00104301551956,0.892057514164399,0.372362105662392,0.997485415558453,"MUSNIGT00000330","OR6B1","ENSMPUG00000020034","olfactory receptor 6B1 [Source:NCBI gene;Acc:101688162]","olfactory receptor family 6 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:8354]",1.85701818621798
"MUSNIGG00000277",42.5693101234244,0.9980862052803,1.33085926474984,0.749956236332702,0.453281062943083,0.997485415558453,"MUSNIGT00000331","",NA,NA,NA,1.99734867610601
"MUSNIGG00000278",17.1203326094141,0.274413653364831,0.840593956952965,0.326452089138901,0.744082332707584,0.997485415558453,"MUSNIGT00000332","",NA,NA,NA,1.20950241787642
"MUSNIGG00000279",14.5334529960483,1.01538503256487,1.29533948667727,0.783875611766829,0.433113101368682,0.997485415558453,"MUSNIGT00000333","OR2F1",NA,NA,"olfactory receptor family 2 subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:8246]",2.02144231207772
"MUSNIGG00000280",6.50662150742616,-0.50470197546451,1.22687080693939,-0.411373367603036,0.68079877934125,0.997485415558453,"MUSNIGT00000334","OR2F1",NA,NA,"olfactory receptor family 2 subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:8246]",-1.41883023125968
"MUSNIGG00000283",45.2128062726746,1.17312947575818,1.20397547903361,0.974379874164723,0.329867958589842,0.997485415558453,"MUSNIGT00000337","OR2F1",NA,NA,"olfactory receptor family 2 subfamily F member 1 [Source:HGNC Symbol;Acc:HGNC:8246]",2.25500319217779
"MUSNIGG00000286",19.5457897479432,2.19299510042126,1.43438476504446,1.52887506467157,0.126295418902732,0.997485415558453,"MUSNIGT00000340","FAM115A",NA,NA,NA,4.57253781270063
"MUSNIGG00000289",4.90363691128398,-0.0580663078257152,1.39716752596859,-0.0415600182128916,0.966849446529177,0.997485415558453,"MUSNIGT00000343","OLFR455",NA,NA,NA,-1.04106944526314
"MUSNIGG00000291",10.3438664821741,-0.731707702736883,1.25242849772596,-0.584231119034301,0.559064827541487,0.997485415558453,"MUSNIGT00000345","",NA,NA,NA,-1.66060356747126
"MUSNIGG00000300",8.38683423236181,-6.97005459334311,2.37904488915608,-2.92977010442859,0.0033921286280042,0.319038624118079,"MUSNIGT00000357","CLCN1","ENSMPUG00000006980","chloride voltage-gated channel 1 [Source:NCBI gene;Acc:101676182]","chloride voltage-gated channel 1 [Source:HGNC Symbol;Acc:HGNC:2019]",-125.370542175866
"MUSNIGG00000308",46.5583560952892,0.999389755313376,1.19097957849868,0.839132570663543,0.40139492058425,0.997485415558453,"MUSNIGT00000365","OR9A2",NA,NA,"olfactory receptor family 9 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:15093]",1.99915420012682
"MUSNIGG00000342",21.3800274200092,-0.254376818597094,1.21741337745928,-0.208948598156505,0.834488365541706,0.997485415558453,"MUSNIGT00000407","OR9A4",NA,NA,"olfactory receptor family 9 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:15095]",-1.19282038529556
"MUSNIGG00000343",20.8817144132938,-0.108114078147686,1.35699851831531,-0.0796714784050815,0.936498544258588,0.997485415558453,"MUSNIGT00000408","OR9A4",NA,NA,"olfactory receptor family 9 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:15095]",-1.07781836794829
"MUSNIGG00000344",43.7480704800257,1.14283936685565,1.31415440352944,0.869638578074473,0.384497948315751,0.997485415558453,"MUSNIGT00000409","OR9A2",NA,NA,"olfactory receptor family 9 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:15093]",2.2081518196906
"MUSNIGG00000349",12.2017550730358,0.883847566713498,1.38921072873201,0.636222819499977,0.524631201743319,0.997485415558453,"MUSNIGT00000415","TAS2R5","ENSMPUG00000018736","taste 2 receptor member 5 [Source:HGNC Symbol;Acc:HGNC:14912]","taste 2 receptor member 5 [Source:HGNC Symbol;Acc:HGNC:14912]",1.845290004059
