"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange"
"MUSNIGG00000300",8.38683423236181,-6.97005459334311,2.37904488915608,-2.92977010442859,0.0033921286280042,0.319038624118079,"MUSNIGT00000357","CLCN1","ENSMPUG00000006980","chloride voltage-gated channel 1 [Source:NCBI gene;Acc:101676182]","chloride voltage-gated channel 1 [Source:HGNC Symbol;Acc:HGNC:2019]",-125.370542175866
"MUSNIGG00000460",4.83365019237176,-5.29367254026069,1.42264586803745,-3.72100510688815,0.000198431425051339,0.0886492391416859,"MUSNIGT00000555","EXOC4",NA,NA,"exocyst complex component 4 [Source:HGNC Symbol;Acc:HGNC:30389]",-39.2242114861944
"MUSNIGG00000498",15.7004248759978,-4.94024512527809,1.71684462086464,-2.87751440359821,0.00400821611520936,0.339562350199169,"MUSNIGT00000602","C7ORF45",NA,NA,NA,-30.7016678310413
"MUSNIGG00000610",222.871558270204,-2.94359338448188,1.1724294706061,-2.51067843165027,0.012049940769489,0.662852278467484,"MUSNIGT00000737","PTPRZ1","ENSMPUG00000006874","protein tyrosine phosphatase receptor type Z1 [Source:NCBI gene;Acc:101690982]","protein tyrosine phosphatase receptor type Z1 [Source:HGNC Symbol;Acc:HGNC:9685]",-7.69325103200708
"MUSNIGG00001682",52.5328001583244,2.78010295194572,1.36143764919646,2.04203472232943,0.0411480871904217,0.997485415558453,"MUSNIGT00002033","URB2","ENSMPUG00000012438","URB2 ribosome biogenesis homolog [Source:NCBI gene;Acc:101692525]","URB2 ribosome biogenesis homolog [Source:HGNC Symbol;Acc:HGNC:28967]",6.86901365267185
"MUSNIGG00002104",16.6879549571641,2.65083561364756,1.22223472972717,2.16884330740567,0.0300945820696466,0.997485415558453,"MUSNIGT00002531","STOX1","ENSMPUG00000004614","storkhead box 1 [Source:HGNC Symbol;Acc:HGNC:23508]","storkhead box 1 [Source:HGNC Symbol;Acc:HGNC:23508]",6.28030930545164
"MUSNIGG00002116",12.4745757697729,-8.15802973158278,2.63751573457601,-3.09307338896093,0.00198095140425929,0.221247509963209,"MUSNIGT00002546","HK1","ENSMPUG00000004457","hexokinase 1 [Source:HGNC Symbol;Acc:HGNC:4922]","hexokinase 1 [Source:HGNC Symbol;Acc:HGNC:4922]",-285.63515292739
"MUSNIGG00002376",12.550406973812,2.73207067938675,1.30539956333705,2.09289994888816,0.0363580868207735,0.997485415558453,"MUSNIGT00002883","WDFY4","ENSMPUG00000009154","WDFY family member 4 [Source:NCBI gene;Acc:101675775]","WDFY family member 4 [Source:HGNC Symbol;Acc:HGNC:29323]",6.64408568660189
"MUSNIGG00002440",11.6773227028564,-3.48703054086038,1.12359149441206,-3.10346826066445,0.00191266749368781,0.220512052336782,"MUSNIGT00002956","ZNF485",NA,NA,"zinc finger protein 485 [Source:HGNC Symbol;Acc:HGNC:23440]",-11.2124569501248
"MUSNIGG00002625",9.51333690149269,-5.55093383851561,1.76953281540355,-3.13694879812088,0.00170715937410347,0.215753272982584,"MUSNIGT00003188","ABCC2","ENSMPUG00000016985","ATP binding cassette subfamily C member 2 [Source:NCBI gene;Acc:101682561]","ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53]",-46.8810779886062
"MUSNIGG00002978",13.4769812696061,-6.7672117831423,2.08473920797068,-3.24607114274482,0.00117009594908779,0.189324261969937,"MUSNIGT00003656","TACC2",NA,NA,"transforming acidic coiled-coil containing protein 2 [Source:HGNC Symbol;Acc:HGNC:11523]",-108.92654628126
"MUSNIGG00003090",30.7736628998174,3.07537667045198,1.21566433756049,2.52979097554463,0.0114130496182256,0.647464116437117,"MUSNIGT00003786","MKI67",NA,NA,"marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]",8.4290887348114
"MUSNIGG00004142",21.1179582762971,2.39532910951074,1.21871261535191,1.96545853332212,0.0493611905296476,0.997485415558453,"MUSNIGT00005085","EMILIN2","ENSMPUG00000005128","elastin microfibril interfacer 2 [Source:HGNC Symbol;Acc:HGNC:19881]","elastin microfibril interfacer 2 [Source:HGNC Symbol;Acc:HGNC:19881]",5.26097104365072
"MUSNIGG00004215",6.14664277924908,-4.91499742852802,2.09904252541462,-2.34154256953759,0.0192042357723627,0.953276925700338,"MUSNIGT00005172","NPC1","ENSMPUG00000005792","NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]","NPC intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7897]",-30.1690513757606
"MUSNIGG00004447",4.8928517323159,4.12165395353852,1.92292954111098,2.14342432492727,0.0320790415943388,0.997485415558453,"MUSNIGT00005447","LOXHD1","ENSMPUG00000000881","lipoxygenase homology domains 1 [Source:HGNC Symbol;Acc:HGNC:26521]","lipoxygenase homology PLAT domains 1 [Source:HGNC Symbol;Acc:HGNC:26521]",17.4077031346017
