geneid,baseMean_VEvsC,log2FoldChange_VEvsC,lfcSE_VEvsC,stat_VEvsC,pvalue_VEvsC,padj_VEvsC,Mnigripes_transcript_id,Gene_Symbol,Mpfuro_ensembl_gene_id,description_mpfuro,description_hsapiens,FoldChange_VEvsC,baseMean_CvsW,log2FoldChange_CvsW,lfcSE_CvsW,stat_CvsW,pvalue_CvsW,padj_CvsW,FoldChange_CvsW
MUSNIGG00038246,21.8745105,-5.690290563,1.415596711,-4.01971163,5.83E-05,0.022317612,MUSNIGT00046079,NA,NA,NA,NA,-51.63547106,21.8745105,4.393218578,2.079481164,2.112651297,0.034630625,0.999566779,21.0131214
MUSNIGG00031397,65.8055553,-5.569048613,1.137515161,-4.895801658,9.79E-07,0.002381069,MUSNIGT00037747,CREBZF,ENSMPUG00000009974,CREB/ATF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:24905],CREB/ATF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:24905],-47.47343752,65.8055553,4.536474358,1.69813924,2.67143839,0.007552694,0.859062739,23.20677847
MUSNIGG00016903,6.783532171,-5.559951312,1.914768923,-2.903719214,0.003687587,0.125429538,MUSNIGT00020677,VIM,ENSMPUG00000011602,vimentin [Source:HGNC Symbol;Acc:HGNC:12692],vimentin [Source:HGNC Symbol;Acc:HGNC:12692],-47.17502287,6.783532171,5.636460702,2.855914704,1.973609609,0.04842615,0.999566779,49.74434775
MUSNIGG00018679,6.912795603,-5.096612139,1.457387881,-3.49708695,0.000470368,0.053994158,MUSNIGT00022780,GDNF,ENSMPUG00000014888,glial cell derived neurotrophic factor [Source:NCBI gene;Acc:101676827],glial cell derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:4232],-34.2163067,6.912795603,5.618178114,2.234529013,2.514256061,0.011928379,0.880921263,49.11793875
MUSNIGG00030031,7.271976191,-4.989166493,1.531048239,-3.258660548,0.001119395,0.080069679,MUSNIGT00036121,NA,NA,NA,NA,-31.76060509,7.271976191,5.606717467,2.346799579,2.389090878,0.016890124,0.999566779,48.72929575
MUSNIGG00016304,24.71710242,-4.747739656,1.224672641,-3.87674183,0.000105865,0.024590748,MUSNIGT00019926,USP15,ENSMPUG00000016712,ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613],ubiquitin specific peptidase 15 [Source:HGNC Symbol;Acc:HGNC:12613],-26.86655909,24.71710242,4.364262655,1.800431441,2.424009355,0.01535021,0.999566779,20.59557722
MUSNIGG00042824,15.13328962,-4.601057174,1.029829433,-4.467785659,7.90E-06,0.010174195,MUSNIGT00051620,TNXB,ENSMPUG00000010312,tenascin XB [Source:HGNC Symbol;Acc:HGNC:11976],tenascin XB [Source:HGNC Symbol;Acc:HGNC:11976],-24.26924249,15.13328962,5.755381465,1.660940707,3.465133609,0.000529968,0.234831661,54.01849218
MUSNIGG00031706,22.08219783,-4.496679482,1.220255134,-3.685032215,0.000228674,0.037075632,MUSNIGT00038115,KCNJ5,ENSMPUG00000008658,potassium inwardly rectifying channel subfamily J member 5 [Source:HGNC Symbol;Acc:HGNC:6266],potassium inwardly rectifying channel subfamily J member 5 [Source:HGNC Symbol;Acc:HGNC:6266],-22.57539744,22.08219783,4.639645359,1.837616803,2.524816573,0.011575869,0.870153953,24.92713825
MUSNIGG00003928,10.51229882,-4.461616027,1.259720765,-3.541750007,0.000397482,0.052234855,MUSNIGT00004817,NA,NA,NA,NA,-22.03333579,10.51229882,4.14739774,1.885728362,2.199361172,0.027852251,0.999566779,17.72111826
MUSNIGG00037315,15.12367088,-4.336481372,0.973271284,-4.455573123,8.37E-06,0.010174195,MUSNIGT00044944,ECM2,ENSMPUG00000004720,extracellular matrix protein 2 [Source:NCBI gene;Acc:101689550],extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3154],-20.20277228,15.12367088,3.970070913,1.476201484,2.689382823,0.007158427,0.859062739,15.67149504
MUSNIGG00032812,80.16005465,-4.293238463,0.980903167,-4.376821899,1.20E-05,0.011714681,MUSNIGT00039449,GUCY1A3,NA,NA,NA,-19.60620575,80.16005465,3.77770478,1.476037472,2.559355607,0.010486641,0.859062739,13.71520974
