"geneid","baseMean_VEvsC","log2FoldChange_VEvsC","lfcSE_VEvsC","stat_VEvsC","pvalue_VEvsC","padj_VEvsC","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange_VEvsC","baseMean_VEvsW","log2FoldChange_VEvsW","lfcSE_VEvsW","stat_VEvsW","pvalue_VEvsW","padj_VEvsW","FoldChange_VEvsW"
"MUSNIGG00000610",222.871558270204,-3.66413273068373,0.847787454428283,-4.32199451825421,1.54625031526756e-05,0.0125349358891024,"MUSNIGT00000737","PTPRZ1","ENSMPUG00000006874","protein tyrosine phosphatase receptor type Z1 [Source:NCBI gene;Acc:101690982]","protein tyrosine phosphatase receptor type Z1 [Source:HGNC Symbol;Acc:HGNC:9685]",-12.6769232221627,222.871558270204,-2.94359338448188,1.1724294706061,-2.51067843165027,0.012049940769489,0.662852278467484,-7.69325103200708
"MUSNIGG00002104",16.6879549571641,2.2130892112307,0.845998416889838,2.61594958932279,0.0088979693299848,0.182095976097846,"MUSNIGT00002531","STOX1","ENSMPUG00000004614","storkhead box 1 [Source:HGNC Symbol;Acc:HGNC:23508]","storkhead box 1 [Source:HGNC Symbol;Acc:HGNC:23508]",4.63667051428995,16.6879549571641,2.65083561364756,1.22223472972717,2.16884330740567,0.0300945820696466,0.997485415558453,6.28030930545164
"MUSNIGG00009024",124.380737712678,-2.01330725336455,0.727713604946713,-2.76662032931482,0.00566406775787019,0.148163528335034,"MUSNIGT00011031","LRRC37B","NA","NA","leucine rich repeat containing 37B [Source:HGNC Symbol;Acc:HGNC:29070]",-4.03706622510487,124.380737712678,-4.09313597442858,1.00188028331425,-4.0854541631345,4.39906846361384e-05,0.0393056767223897,-17.0669809854447
"MUSNIGG00010516",13.646763080107,2.77905035992991,1.13690345419251,2.4444031282355,0.0145092039805451,0.224754038730483,"MUSNIGT00012863","PPP1R3B","ENSMPUG00000019944","protein phosphatase 1 regulatory subunit 3B [Source:HGNC Symbol;Acc:HGNC:14942]","protein phosphatase 1 regulatory subunit 3B [Source:HGNC Symbol;Acc:HGNC:14942]",6.86400383995506,13.646763080107,3.65716915905742,1.63409595938816,2.23803818744325,0.0252185649571937,0.997485415558453,12.6158819371316
"MUSNIGG00013905",8.35856902949675,-1.6892105666944,0.742448244823975,-2.27518965594012,0.0228945551275242,0.267127672332082,"MUSNIGT00017043","TMED2","ENSMPUG00000001598","transmembrane p24 trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]","transmembrane p24 trafficking protein 2 [Source:HGNC Symbol;Acc:HGNC:16996]",-3.22480196343773,8.35856902949675,-2.07619400515268,1.0510255254548,-1.9753982704219,0.0482229689324589,0.997485415558453,-4.21693272337311
"MUSNIGG00015512",5.72876785162165,-2.58628016739363,1.21701995344233,-2.12509265774843,0.0335788821129078,0.302383832134669,"MUSNIGT00018972","MANSC1","ENSMPUG00000011751","MANSC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25505]","MANSC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25505]",-6.00548252494883,5.72876785162165,-3.41830998209088,1.6841943464699,-2.02964105018861,0.0423930390407604,0.997485415558453,-10.6908894592113
"MUSNIGG00016778",7.54656124292536,-1.66290158319724,0.822815858254922,-2.0209887382628,0.0432809308964566,0.333516410527783,"MUSNIGT00020515","ARMC4","NA","NA","NA",-3.16652744407148,7.54656124292536,-3.4994898602644,1.12144799228493,-3.12051016573159,0.00180538066417076,0.215753272982584,-11.3097086571613
"MUSNIGG00023203",43.3452213038632,-2.21046866710898,0.892735174276883,-2.47606314929785,0.0132840079877198,0.216665835588475,"MUSNIGT00028207","TUBB3","NA","NA","tubulin beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772]",-4.62825600485994,43.3452213038632,-3.3313489527795,1.23336490536611,-2.70102460211531,0.00691262249687183,0.475109861611922,-10.0655140828894
"MUSNIGG00023447",4.8586469444785,2.90470924097671,1.4226438097235,2.04176844627136,0.0411745056026422,0.325706320804116,"MUSNIGT00028507","ZFHX2","ENSMPUG00000006417","zinc finger homeobox 2 [Source:NCBI gene;Acc:101673388]","zinc finger homeobox 2 [Source:HGNC Symbol;Acc:HGNC:20152]",7.48866857012243,4.8586469444785,4.5823246974485,2.10431924652433,2.17758056674008,0.0294372776432534,0.997485415558453,23.9561588298706
"MUSNIGG00024063",5.6825209359946,3.88618083354923,1.49119374735167,2.60608713016066,0.00915831613590709,0.184074585475422,"MUSNIGT00029249","CCDC88C","ENSMPUG00000007871","coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967]","coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967]",14.786214410174,5.6825209359946,4.3534877039717,2.12267950435328,2.05093971795713,0.0402728176240048,0.997485415558453,20.4423295216346
