"PC3","PC4","group","Diet","name"
0.00409396107717,-2.38087882180986,"Control","Control","C01"
-6.81412287563723,-6.42185564640346,"Control","Control","C02"
-5.97456254638176,-5.12354976992678,"Control","Control","C03"
-6.87187374881134,-7.50341926346306,"Control","Control","C04"
-3.67182457827712,-7.32711571377977,"Control","Control","C05"
-6.34696243288113,-6.74249740542243,"Control","Control","C06"
-2.00922452826193,-4.32810259174928,"Control","Control","C07"
-8.90542491357558,-5.23149212102277,"Control","Control","C08"
8.08255096559938,-1.70294201272234,"Control","Control","C09"
-19.4117942222754,146.15647696591,"Control","Control","C10"
-5.19124363450638,-3.59081343762822,"Carcass","Carcass","Car1"
-6.03900156316519,-5.1159789884353,"Carcass","Carcass","Car2"
-7.35883945307022,-7.23711181185551,"Various","Various","Var1"
-5.22841631922218,-0.642666812661258,"Various","Various","Var2"
-4.58681894994064,-5.57944587809673,"1st.gen.VitE","1st.gen.VitE","VE1.1"
-6.05452271284346,-6.34911304859484,"1st.gen.VitE","1st.gen.VitE","VE1.2"
-4.76285067216805,-2.63893070684419,"2d.gen.VitE","2d.gen.VitE","VE2.01"
10.7483095664347,1.61266796589242,"2d.gen.VitE","2d.gen.VitE","VE2.02"
-6.51352629647185,-5.69489679037028,"2d.gen.VitE","2d.gen.VitE","VE2.03"
-1.86710447529205,-4.06620730694871,"2d.gen.VitE","2d.gen.VitE","VE2.04"
-6.78353562898852,-7.54141724658294,"2d.gen.VitE","2d.gen.VitE","VE2.05"
-5.99070080636729,-6.46780851199692,"2d.gen.VitE","2d.gen.VitE","VE2.06"
-5.5511250210164,-2.84867626663796,"2d.gen.VitE","2d.gen.VitE","VE2.07"
-6.11420934307686,-6.1373769521549,"2d.gen.VitE","2d.gen.VitE","VE2.08"
-6.14391678668821,-2.98350543827027,"2d.gen.VitE","2d.gen.VitE","VE2.09"
-15.3411848843723,-10.1045769758321,"2d.gen.VitE","2d.gen.VitE","VE2.10"
160.659116121897,11.663331842641,"2d.gen.VitE","2d.gen.VitE","VE2.11"
-5.64296530974147,-5.40413750045436,"2d.gen.VitE","2d.gen.VitE","VE2.12"
-7.03764959721973,-7.49314048767478,"2d.gen.VitE","2d.gen.VitE","VE2.13"
2.58626138092936,-5.6704824414664,"Wild","Wild","W1"
-2.83359246848921,-4.13878885500582,"Wild","Wild","W2"
-6.24504248845599,-6.39152042150476,"Wild","Wild","W3"
-6.78829573874019,-6.57402754912768,"Wild","Wild","W4"
