Gene_Symbol,geneid,log2FoldChange,FoldChange,pvalue,padj,expression
GALNTL5,MUSNIGG00000156,-5.814646396,-56.28374403,0.025635482,0.999566779,DOWN
OR2A2,MUSNIGG00000270,-2.514649277,-5.714587159,0.034508509,0.999566779,DOWN
OR2A2,MUSNIGG00000270,-2.514649277,-5.714587159,0.034508509,0.999566779,DOWN
CLCN1,MUSNIGG00000300,-6.86894025,-116.8845351,0.006422124,0.847639153,DOWN
EXOC4,MUSNIGG00000460,-4.391301386,-20.98521569,0.003253818,0.622147595,DOWN
C7ORF45,MUSNIGG00000498,-5.913484641,-60.27486631,0.001277088,0.412008194,DOWN
ZNF485,MUSNIGG00002440,-4.486474972,-22.41627993,0.000214781,0.113014933,DOWN
ENTPD7,MUSNIGG00002623,-2.692956326,-6.466371194,0.043611235,0.999566779,DOWN
ABCC2,MUSNIGG00002625,-4.734162574,-26.61490616,0.011057007,0.859062739,DOWN
TACC2,MUSNIGG00002978,-5.701166793,-52.02621305,0.00922002,0.859062739,DOWN
MORC2,MUSNIGG00003808,-4.807566577,-28.00410812,0.037787115,0.999566779,DOWN
SFI1,MUSNIGG00003825,-5.487836484,-44.87488958,0.023479363,0.999566779,DOWN
GGT1,MUSNIGG00003915,-7.534613317,-185.4148926,0.007014267,0.859062739,DOWN
TMLHE,MUSNIGG00004940,-7.061600555,-133.5837357,0.006443628,0.847639153,DOWN
TGIF2LX,MUSNIGG00005716,-4.023209443,-16.25948258,0.004533571,0.734002504,DOWN
TBC1D25,MUSNIGG00006158,-6.19828076,-73.42913804,0.028276521,0.999566779,DOWN
IL1RAPL1,MUSNIGG00006399,-4.578076465,-23.88572007,0.014277712,0.999566779,DOWN
ZNF614,MUSNIGG00006941,-2.892555856,-7.425848365,0.019274994,0.999566779,DOWN
ZNF566,MUSNIGG00007667,-3.747899565,-13.43476858,0.036026215,0.999566779,DOWN
NUDT19,MUSNIGG00007712,-5.847460524,-57.57858875,0.023839837,0.999566779,DOWN
DYNC1LI2,MUSNIGG00008050,-6.081435098,-67.71648099,0.013925198,0.985178501,DOWN
CHST5,MUSNIGG00008223,-4.807609517,-28.00494164,0.020547558,0.999566779,DOWN
TERF2IP,MUSNIGG00008229,-2.72434424,-6.608598001,0.04395996,0.999566779,DOWN
ARSG,MUSNIGG00008907,-6.539549927,-93.0252158,0.007398501,0.859062739,DOWN
TEX2,MUSNIGG00008955,-3.400184235,-10.5574114,0.001985173,0.506459639,DOWN
LRRC37B,MUSNIGG00009024,-2.079826349,-4.227563278,0.048110652,0.999566779,DOWN
CACNA1G,MUSNIGG00009363,-5.772263519,-54.65431583,0.024801395,0.999566779,DOWN
SLFN14,MUSNIGG00009565,-3.087252889,-8.498763105,0.00423945,0.713838631,DOWN
C17ORF97,MUSNIGG00009730,-4.929164614,-30.46676919,0.01109257,0.859062739,DOWN
AKAP10,MUSNIGG00009896,-3.051529011,-8.290901681,0.028180645,0.999566779,DOWN
DNAH9,MUSNIGG00009981,-2.958763259,-7.774572018,0.011018581,0.859062739,DOWN
CTC1,MUSNIGG00010041,-6.24056301,-75.61303246,0.039684037,0.999566779,DOWN
