Gene_Symbol,geneid,log2FoldChange,FoldChange,pvalue,padj,expression
FSCN3,MUSNIGG00000548,3.567293879,11.8539328,0.042939792,0.999566779,UP
SPAM1,MUSNIGG00000588,2.435685248,5.410212453,0.045492261,0.999566779,UP
COL1A2,MUSNIGG00001122,4.800877602,27.87456918,0.028427817,0.999566779,UP
PCLO,MUSNIGG00001237,2.61402165,6.122078949,0.01537472,0.999566779,UP
KCMF1,MUSNIGG00001556,2.209528315,4.625240279,0.046739909,0.999566779,UP
URB2,MUSNIGG00001682,3.308151802,9.904964484,0.020191755,0.999566779,UP
RYR2,MUSNIGG00001826,2.322855869,5.003216452,0.047517467,0.999566779,UP
ARID5B,MUSNIGG00002029,2.729506322,6.632286467,0.020435207,0.999566779,UP
NPFFR1,MUSNIGG00002137,4.379974026,20.82109482,0.042593146,0.999566779,UP
SAMD8,MUSNIGG00002219,2.635827847,6.215316447,0.040196734,0.999566779,UP
LRIT1,MUSNIGG00002313,3.902096477,14.95023728,0.028961712,0.999566779,UP
PPP1R3C,MUSNIGG00002492,2.974502337,7.859853037,0.024002117,0.999566779,UP
C10ORF12,MUSNIGG00002572,2.038326143,4.107686683,0.042226953,0.999566779,UP
MKI67,MUSNIGG00003090,3.568062891,11.86025308,0.004927957,0.768304985,UP
RIMBP3,MUSNIGG00003960,5.003999279,32.08882992,0.027698276,0.999566779,UP
EMILIN2,MUSNIGG00004142,3.475890626,11.12621224,0.006240943,0.847639153,UP
GREB1L,MUSNIGG00004190,2.664277339,6.339096977,0.038770107,0.999566779,UP
FAM59A,MUSNIGG00004307,2.660010612,6.320376985,0.026265277,0.999566779,UP
SERPINB8,MUSNIGG00004678,3.888873419,14.81383654,0.005998392,0.847639153,UP
ZNF430,MUSNIGG00006903,3.535505679,11.5956009,0.00846798,0.859062739,UP
ZFHX3,MUSNIGG00008154,2.71516522,6.566684855,0.026419861,0.999566779,UP
ZNF821,MUSNIGG00008167,3.546065503,11.68078642,0.032768497,0.999566779,UP
TNRC6C,MUSNIGG00008680,3.919732115,15.13411192,0.007592839,0.859062739,UP
UTP18,MUSNIGG00009379,2.894056231,7.433575124,0.023756648,0.999566779,UP
GAS2L2,MUSNIGG00009560,5.233614306,37.62485993,0.037859902,0.999566779,UP
EVI2B,MUSNIGG00009634,2.812245447,7.023769239,0.033073882,0.999566779,UP
TENM3,MUSNIGG00010426,3.260788444,9.58506652,0.003065889,0.622147595,UP
STOX2,MUSNIGG00010442,3.141914162,8.826944716,0.029023667,0.999566779,UP
PLIN4,MUSNIGG00011015,5.715947412,52.56196885,0.019306084,0.999566779,UP
HSD11B1L,MUSNIGG00011042,16.23972949,77383.02428,0.000590942,0.24189385,UP
DNMT1,MUSNIGG00011201,17.64871596,205491.0389,3.51E-05,0.049255856,UP
