Gene_Symbol,geneid,description_hsapiens,baseMean_VEvsC,log2FoldChange_VEvsC,FoldChange_VEvsC,pvalue_VEvsC,padj_VEvsC,expression_VEvsC,baseMean_CvsW,log2FoldChange_CvsW,FoldChange_CvsW,pvalue_CvsW,padj_CvsW,expression_CvsW
LRRC37B,MUSNIGG00009024,leucine rich repeat containing 37B [Source:HGNC Symbol;Acc:HGNC:29070],124.3807377,-2.013307253,-4.037066225,0.005664068,0.148163528,DOWN,124.3807377,-2.079826349,-4.227563278,0.048110652,0.999566779,DOWN
OR10G2,MUSNIGG00022912,olfactory receptor family 10 subfamily G member 2 [Source:HGNC Symbol;Acc:HGNC:8170],12.78006209,1.601496054,3.034578317,0.010602508,0.195599794,UP,12.78006209,-1.893792123,-3.716107207,0.040715327,0.999566779,DOWN
OR52J3,MUSNIGG00031159,olfactory receptor family 52 subfamily J member 3 [Source:HGNC Symbol;Acc:HGNC:14799],21.08721953,1.642707953,3.12251381,0.022046393,0.265429835,UP,21.08721953,-2.279624671,-4.85551617,0.029771511,0.999566779,DOWN
PARP4,MUSNIGG00017095,poly(ADP-ribose) polymerase family member 4 [Source:HGNC Symbol;Acc:HGNC:271],6.459431314,1.689831887,3.226191077,0.011164342,0.198229992,UP,6.459431314,-2.306377728,-4.946395944,0.017038791,0.999566779,DOWN
OR13A1,MUSNIGG00025864,olfactory receptor family 13 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:14772],3.265619153,1.9474478,3.856916199,0.021986206,0.265362045,UP,3.265619153,-3.059097495,-8.334510648,0.00916152,0.859062739,DOWN
TUBA1C,MUSNIGG00015940,tubulin alpha 1c [Source:HGNC Symbol;Acc:HGNC:20768],11.76372608,2.376484587,5.192698952,0.007781233,0.170486107,UP,11.76372608,-3.369013601,-10.33175621,0.00875982,0.859062739,DOWN
HEMGN,MUSNIGG00036530,hemogen [Source:HGNC Symbol;Acc:HGNC:17509],3.339877385,2.523799949,5.750948621,0.008947561,0.182095976,UP,3.339877385,-2.842246429,-7.171358443,0.037381991,0.999566779,DOWN
C1R,MUSNIGG00016369,complement C1r [Source:HGNC Symbol;Acc:HGNC:1246],4.114316042,2.697031866,6.48466419,0.021237297,0.26162104,UP,4.114316042,-4.24384308,-18.94628492,0.009344091,0.859062739,DOWN
S100A10,MUSNIGG00042130,S100 calcium binding protein A10 [Source:HGNC Symbol;Acc:HGNC:10487],15.97336407,3.201368921,9.198310647,0.016836931,0.236416612,UP,15.97336407,-7.385148432,-167.1672509,6.24E-05,0.068114882,DOWN
S100A8,MUSNIGG00035802,S100 calcium binding protein A8 [Source:HGNC Symbol;Acc:HGNC:10498],13.20767626,4.943163432,30.76383452,0.01245224,0.212518227,UP,13.20767626,-5.971801071,-62.76120168,0.033883578,0.999566779,DOWN
EMP1,MUSNIGG00015531,epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333],73.57224603,5.197115147,36.6849178,0.005897415,0.148945969,UP,73.57224603,-6.981415845,-126.3617354,0.00993057,0.859062739,DOWN
