Gene_Symbol,geneid,log2FoldChange,FoldChange,pvalue,padj,expression
TRIM24,MUSNIGG00000407,-1.718102443,-3.290033886,0.01125566,0.199081921,DOWN
CHRM2,MUSNIGG00000418,-1.830195359,-3.555852198,0.033010728,0.302383832,DOWN
CCDC136,MUSNIGG00000528,-3.184380403,-9.090630777,0.012594245,0.21285537,DOWN
FSCN3,MUSNIGG00000548,-2.955627459,-7.757691786,0.008886075,0.182095976,DOWN
ZNF800,MUSNIGG00000553,-1.824711415,-3.542361421,0.030561844,0.29155289,DOWN
SPAM1,MUSNIGG00000588,-3.143014565,-8.833679958,8.61E-05,0.023270035,DOWN
PTPRZ1,MUSNIGG00000610,-3.664132731,-12.67692322,1.55E-05,0.012534936,DOWN
WNT16,MUSNIGG00000618,-3.215592792,-9.289447493,0.02003538,0.254444097,DOWN
KCND2,MUSNIGG00000624,-1.855667525,-3.619191697,0.017034428,0.236660975,DOWN
DNAH11,MUSNIGG00000925,-3.250410673,-9.51636543,0.000515647,0.054524075,DOWN
PPP1R9A,MUSNIGG00001112,-1.673619753,-3.190140033,0.026499185,0.275094762,DOWN
PCLO,MUSNIGG00001237,-1.982599233,-3.952044612,0.007122973,0.163841398,DOWN
RELN,MUSNIGG00001298,-1.828340818,-3.551284194,0.027224199,0.278775797,DOWN
CNTNAP3,MUSNIGG00001404,-2.563668588,-5.912091458,0.031391684,0.295336853,DOWN
KCMF1,MUSNIGG00001556,-1.57686521,-2.983209321,0.027426385,0.280256168,DOWN
SPRTN,MUSNIGG00001772,-2.49442484,-5.63503605,0.019627871,0.252427754,DOWN
SYCP3,MUSNIGG00001842,-2.129322703,-4.375120352,0.011102659,0.198229992,DOWN
NPFFR1,MUSNIGG00002137,-3.220151223,-9.318845438,0.020239767,0.255704485,DOWN
CDH23,MUSNIGG00002166,-3.763653604,-13.5822784,0.014770875,0.225221108,DOWN
KAT6B,MUSNIGG00002215,-1.676674736,-3.196902481,0.020370418,0.256060348,DOWN
SAMD8,MUSNIGG00002219,-2.936142955,-7.653623614,0.000506583,0.054524075,DOWN
LRIT1,MUSNIGG00002313,-2.87941248,-7.358503934,0.014144369,0.222963108,DOWN
FAM190B,MUSNIGG00002315,-1.685059705,-3.215537033,0.04055656,0.323919715,DOWN
PCGF6,MUSNIGG00002704,-2.479026293,-5.57521056,0.005633002,0.148163528,DOWN
PDZD8,MUSNIGG00002893,-2.518291658,-5.729033041,0.005737422,0.148163528,DOWN
RAB11FIP2,MUSNIGG00002907,-2.237542319,-4.715930048,0.029938874,0.290687103,DOWN
FAM175B,MUSNIGG00003038,-3.102952032,-8.591750104,0.023042588,0.267127672,DOWN
ANKLE2,MUSNIGG00003290,-4.3863143,-20.91279954,0.0033184,0.125429538,DOWN
NIACR1,MUSNIGG00003461,-2.566545828,-5.923894008,0.013139948,0.216653239,DOWN
P2RX7,MUSNIGG00003493,-5.176195588,-36.15681237,0.000100233,0.024590748,DOWN
RPL6,MUSNIGG00003534,-2.469749791,-5.539477068,0.005238991,0.145232541,DOWN
CEP192,MUSNIGG00004040,-2.228732527,-4.687220052,0.006308783,0.152496882,DOWN
PIEZO2,MUSNIGG00004061,-2.137629004,-4.400382713,0.004979428,0.141602234,DOWN
PTS,MUSNIGG00004148,-1.842847671,-3.587173861,0.016043498,0.234874333,DOWN
GREB1L,MUSNIGG00004190,-2.370054629,-5.169607071,0.004679378,0.139674313,DOWN
FAM59A,MUSNIGG00004307,-1.860790472,-3.632066133,0.015708112,0.232939801,DOWN
MOCOS,MUSNIGG00004363,-2.225135073,-4.675546724,0.02145906,0.262914024,DOWN
ATP8B1,MUSNIGG00004571,-3.726591971,-13.23780456,0.011721614,0.204351002,DOWN
SERPINB8,MUSNIGG00004678,-3.666514052,-12.69786511,5.78E-05,0.022317612,DOWN
CDH19,MUSNIGG00004699,-1.656724209,-3.152997899,0.017727369,0.241529201,DOWN
RBMX,MUSNIGG00005178,-2.127447305,-4.369436708,0.010321009,0.193082266,DOWN
RPL10,MUSNIGG00005309,-2.494708542,-5.636144272,0.034856817,0.304169097,DOWN
MID2,MUSNIGG00005503,-3.143918956,-8.839219316,0.022131554,0.265797231,DOWN
RAB9B,MUSNIGG00005567,-4.660904314,-25.29717386,0.002535682,0.112123241,DOWN
PCDH19,MUSNIGG00005646,-3.01474375,-8.082175895,0.000285576,0.043195499,DOWN
ZNF711,MUSNIGG00005752,-2.123520312,-4.357559344,0.030692139,0.291561625,DOWN
TEX16,MUSNIGG00005757,-1.96754751,-3.911027039,0.045585765,0.341220564,DOWN
KLF8,MUSNIGG00006037,-2.323742906,-5.006293613,0.037989311,0.314741984,DOWN
CNKSR2,MUSNIGG00006478,-2.058219712,-4.1647206,0.0365347,0.307215525,DOWN
ARSE,MUSNIGG00006730,-2.652483545,-6.287487145,0.031245703,0.294533142,DOWN
D3ERTD254E,MUSNIGG00006901,-2.007500934,-4.020851163,0.006483154,0.154410499,DOWN
ZNF430,MUSNIGG00006903,-3.00286453,-8.015900109,0.000660059,0.060576,DOWN
ATP6V1D,MUSNIGG00006936,-1.490106078,-2.80909629,0.044275077,0.336490586,DOWN
RASIP1,MUSNIGG00007073,-5.26624394,-38.4855228,0.02067722,0.257222498,DOWN
DHX34,MUSNIGG00007125,-5.248759129,-38.02191073,0.003836033,0.126927052,DOWN
ZNF227,MUSNIGG00007224,-2.112276576,-4.32373042,0.041182029,0.325706321,DOWN
CEACAM21,MUSNIGG00007259,-5.588922213,-48.1319248,0.008310303,0.177286473,DOWN
ZNF157,MUSNIGG00007341,-2.136101504,-4.395726131,0.027874429,0.281612083,DOWN
ZNF211,MUSNIGG00007397,-3.876342846,-14.68572766,0.003480192,0.125429538,DOWN
PRX,MUSNIGG00007483,-3.871395191,-14.63544991,0.019456786,0.252314916,DOWN
ZNF507,MUSNIGG00007718,-1.853917247,-3.614803556,0.025741221,0.275094762,DOWN
CDH11,MUSNIGG00008017,-2.354817716,-5.115295967,0.002776158,0.114575246,DOWN
PDP2,MUSNIGG00008054,-2.241443,-4.728697978,0.045776237,0.341496343,DOWN
EDC4,MUSNIGG00008100,-4.006295219,-16.06996876,0.024048525,0.268901212,DOWN
ZNF821,MUSNIGG00008167,-2.624850648,-6.168204716,0.01640716,0.236416612,DOWN
NA,MUSNIGG00008244,-2.193510727,-4.574172353,0.023655781,0.267410591,DOWN
PKD1L2,MUSNIGG00008297,-1.73670404,-3.332729071,0.022614957,0.267127672,DOWN
TNRC6C,MUSNIGG00008680,-3.626728305,-12.35247563,0.000150079,0.028966511,DOWN
KPNA2,MUSNIGG00008944,-2.14069758,-4.409752176,0.004713764,0.139674313,DOWN
TANC2,MUSNIGG00008981,-2.151425183,-4.44266446,0.005708444,0.148163528,DOWN
LRRC37B,MUSNIGG00009024,-2.013307253,-4.037066225,0.005664068,0.148163528,DOWN
ENSG00000214518,MUSNIGG00009186,-2.701888347,-6.506530013,0.004407981,0.137959733,DOWN
UTP18,MUSNIGG00009379,-3.100959101,-8.5798897,0.000220253,0.037075632,DOWN
KIF2B,MUSNIGG00009401,-2.561772859,-5.90432796,0.005255125,0.145232541,DOWN
TMEM100,MUSNIGG00009426,-2.13597165,-4.395330498,0.03378901,0.302866957,DOWN
INTS2,MUSNIGG00009499,-4.305399627,-19.77217433,2.22E-05,0.015420297,DOWN
GAS2L2,MUSNIGG00009560,-3.845476891,-14.37486887,0.019211391,0.250392466,DOWN
NF1,MUSNIGG00009633,-2.977072235,-7.873866409,0.000363874,0.049163405,DOWN
EVI2B,MUSNIGG00009634,-2.414074385,-5.329774094,0.006507844,0.154410499,DOWN
SPAG5,MUSNIGG00009663,-1.504650499,-2.837559213,0.028474576,0.284394947,DOWN
KIAA0100,MUSNIGG00009665,-2.060134754,-4.170252545,0.045063425,0.339471242,DOWN
EFCAB5,MUSNIGG00009706,-2.176994517,-4.522105081,0.018263636,0.244066552,DOWN
SMCR8,MUSNIGG00009824,-2.617868707,-6.138425727,0.048658944,0.349596901,DOWN
ULK2,MUSNIGG00009894,-3.101612857,-8.583778552,0.024827665,0.273216655,DOWN
SPECC1,MUSNIGG00009897,-2.041718922,-4.117358078,0.016712536,0.236416612,DOWN
MYH4,MUSNIGG00010002,-2.368233164,-5.163084338,0.010487461,0.194810332,DOWN
DLGAP2,MUSNIGG00010235,-3.61774574,-12.2758051,0.019189969,0.250392466,DOWN
DLGAP2,MUSNIGG00010235,-3.61774574,-12.2758051,0.019189969,0.250392466,DOWN
TENM3,MUSNIGG00010426,-2.589983802,-6.020919389,0.000282815,0.043195499,DOWN
WWC2,MUSNIGG00010431,-2.320818724,-4.99615669,0.038565884,0.315347862,DOWN
CDKN2AIP,MUSNIGG00010435,-2.233132627,-4.701537508,0.026348537,0.275094762,DOWN
STOX2,MUSNIGG00010442,-2.785171373,-6.893188048,0.003203753,0.125429538,DOWN
KPNA6,MUSNIGG00010616,-3.52779072,-11.53375775,0.00013616,0.02824696,DOWN
NRG1,MUSNIGG00010638,-2.187239517,-4.554332165,0.031522356,0.295423395,DOWN
C8ORF4,MUSNIGG00010757,-2.913224085,-7.532997682,0.004800941,0.140673362,DOWN
PLIN4,MUSNIGG00011015,-3.83975235,-14.31794313,0.014713162,0.225221108,DOWN
EMR4,MUSNIGG00011081,-5.427916401,-43.04925606,0.016746786,0.236416612,DOWN
OR1M1,MUSNIGG00011148,-1.953975031,-3.8744057,0.037861969,0.314741984,DOWN
NWD1,MUSNIGG00011452,-2.250606059,-4.758827168,0.023639475,0.267410591,DOWN
KIAA1683,MUSNIGG00011505,-3.485975374,-11.20425932,0.023121042,0.267127672,DOWN
RTP3,MUSNIGG00011595,-2.111967302,-4.322803633,0.043483246,0.333516411,DOWN
LAMB2,MUSNIGG00011656,-2.682770884,-6.420879322,0.024512992,0.270365513,DOWN
DNAH1,MUSNIGG00011747,-3.933878145,-15.28323606,0.001388362,0.083370296,DOWN
NEK4,MUSNIGG00011760,-2.412806522,-5.325092264,0.014149643,0.222963108,DOWN
C3ORF67,MUSNIGG00011845,-2.610268619,-6.106173655,0.005663012,0.148163528,DOWN
LHFPL4,MUSNIGG00012092,-3.425077247,-10.74115512,0.029030231,0.286998055,DOWN
ENSG00000187695,MUSNIGG00012185,-2.747203737,-6.714145198,0.004453155,0.137959733,DOWN
KBTBD12,MUSNIGG00012213,-1.892663093,-3.713200178,0.049876366,0.352403016,DOWN
PRR20A,MUSNIGG00012224,-1.877644017,-3.674744684,0.022388477,0.267127672,DOWN
CCR8,MUSNIGG00012274,-2.58284272,-5.991190555,0.009354289,0.184207544,DOWN
SCN11A,MUSNIGG00012284,-1.799209666,-3.480295163,0.008886228,0.182095976,DOWN
SNRK,MUSNIGG00012373,-2.191965923,-4.569277059,0.003861719,0.126927052,DOWN
NR1D2,MUSNIGG00012541,-1.632252705,-3.099966671,0.016390462,0.236416612,DOWN
KCNH8,MUSNIGG00012580,-1.347554513,-2.544803944,0.047751996,0.346736806,DOWN
DZIP1L,MUSNIGG00012705,-2.553380334,-5.870080685,0.011950491,0.207597098,DOWN
PRR23A,MUSNIGG00012732,-2.37826188,-5.19909991,0.025490626,0.275094762,DOWN
PRR23A,MUSNIGG00012733,-2.37826188,-5.19909991,0.025490626,0.275094762,DOWN
GP5,MUSNIGG00012863,-3.160047275,-8.938590006,0.03350264,0.302383832,DOWN
ATP13A5,MUSNIGG00012887,-3.342239343,-10.14178256,0.00668337,0.157043052,DOWN
GMNC,MUSNIGG00012907,-1.549899235,-2.927966882,0.035356198,0.304748079,DOWN
RTP1,MUSNIGG00012949,-2.886708395,-7.395811193,0.013275349,0.216665836,DOWN
SLC7A14,MUSNIGG00013155,-3.069845448,-8.396833889,0.001273088,0.083322588,DOWN
MECOM,MUSNIGG00013171,-4.159702137,-17.87290373,3.83E-07,0.001863832,DOWN
IGSF10,MUSNIGG00013357,-2.1133514,-4.326952849,0.000779825,0.065515497,DOWN
MED12L,MUSNIGG00013358,-1.769440251,-3.409216574,0.03542888,0.304748079,DOWN
GRK7,MUSNIGG00013469,-1.89803742,-3.727058386,0.043472482,0.333516411,DOWN
GTPBP8,MUSNIGG00013577,-3.039159125,-8.220118122,0.010961796,0.198229992,DOWN
CCDC80,MUSNIGG00013589,-2.102431178,-4.294324398,0.036052628,0.30636889,DOWN
CD200,MUSNIGG00013594,-2.757552201,-6.762478964,0.023442262,0.267410591,DOWN
COL8A1,MUSNIGG00013733,-2.889184927,-7.408517754,0.001297135,0.083322588,DOWN
MINA,MUSNIGG00013768,-2.297233995,-4.915145059,0.000869809,0.068013032,DOWN
ITSN1,MUSNIGG00013862,-3.074725428,-8.425284643,0.000781229,0.065515497,DOWN
TMED2,MUSNIGG00013905,-1.689210567,-3.224801963,0.022894555,0.267127672,DOWN
ITSN1,MUSNIGG00014162,-4.295749505,-19.64036049,0.000106542,0.024590748,DOWN
FAM109B,MUSNIGG00014744,-6.704311307,-104.2794672,0.001408911,0.083572496,DOWN
ST13,MUSNIGG00014779,-1.002853002,-2.003959014,0.046788609,0.344357192,DOWN
DDX17,MUSNIGG00014826,-2.468945516,-5.536389776,0.049610794,0.351412923,DOWN
PRDM4,MUSNIGG00014928,-2.094989464,-4.272230432,0.020575836,0.256692582,DOWN
BC030307,MUSNIGG00014988,-2.272876581,-4.832857918,0.002633773,0.112374316,DOWN
C12ORF42,MUSNIGG00014992,-3.153492811,-8.898072241,0.000556612,0.055252251,DOWN
NTN4,MUSNIGG00015071,-1.877554439,-3.674516524,0.019253039,0.250392466,DOWN
NUDT4,MUSNIGG00015106,-4.564939463,-23.66920695,0.02974102,0.290687103,DOWN
SLC6A15,MUSNIGG00015193,-1.583495738,-2.996951503,0.033305259,0.302383832,DOWN
BEST3,MUSNIGG00015332,-1.974302233,-3.929381467,0.021694802,0.264469962,DOWN
PHC1,MUSNIGG00015419,-2.296305401,-4.911982433,0.027674456,0.280434491,DOWN
CSDA,MUSNIGG00015487,-2.995125494,-7.97301561,0.049033866,0.351096137,DOWN
LRP6,MUSNIGG00015510,-1.442483043,-2.717882418,0.034075322,0.302922728,DOWN
MANSC1,MUSNIGG00015512,-2.586280167,-6.005482525,0.033578882,0.302383832,DOWN
PTHLH,MUSNIGG00015668,-1.711624588,-3.275294397,0.031505839,0.295423395,DOWN
CASC1,MUSNIGG00015707,-1.964461763,-3.902670774,0.021299739,0.26162104,DOWN
BICD1,MUSNIGG00015757,-1.916640275,-3.775428185,0.007657878,0.170081824,DOWN
FGD4,MUSNIGG00015758,-1.41776955,-2.671721354,0.049634185,0.351412923,DOWN
NA,MUSNIGG00015935,-2.558055834,-5.889135359,0.026581936,0.275094762,DOWN
KRT83,MUSNIGG00016008,-5.612590799,-48.92808115,0.020581848,0.256692582,DOWN
OR9K2,MUSNIGG00016104,-1.759093144,-3.384852915,0.038915942,0.316730884,DOWN
SPRYD4,MUSNIGG00016213,-3.013194611,-8.073502062,0.002094728,0.09796884,DOWN
USP15,MUSNIGG00016304,-4.747739656,-26.86655909,0.000105865,0.024590748,DOWN
TMEM5,MUSNIGG00016332,-4.357252041,-20.4957381,0.002013757,0.097492311,DOWN
C1RL,MUSNIGG00016368,-3.472187074,-11.0976867,0.001889661,0.094755801,DOWN
NTF3,MUSNIGG00016415,-2.295765302,-4.910143888,0.042934354,0.332536144,DOWN
CCDC77,MUSNIGG00016474,-2.952937461,-7.74324055,0.030573984,0.29155289,DOWN
DCP1B,MUSNIGG00016501,-2.038823768,-4.109103781,0.033277657,0.302383832,DOWN
ABO,MUSNIGG00016530,-6.370254045,-82.725147,0.047830611,0.346736806,DOWN
ARMC4,MUSNIGG00016778,-1.662901583,-3.166527444,0.043280931,0.333516411,DOWN
THNSL1,MUSNIGG00016817,-1.875109621,-3.668294891,0.019669021,0.252427754,DOWN
MLLT10,MUSNIGG00016855,-1.70826729,-3.267681317,0.01411709,0.222963108,DOWN
VIM,MUSNIGG00016903,-5.559951312,-47.17502287,0.003687587,0.125429538,DOWN
HSPA14,MUSNIGG00016934,-2.156962375,-4.459748564,0.016899893,0.236416612,DOWN
EPC1,MUSNIGG00017004,-1.887898805,-3.700958106,0.041144075,0.325706321,DOWN
GJA3,MUSNIGG00017102,-2.658812563,-6.315130568,0.007528479,0.168748951,DOWN
SAP18,MUSNIGG00017127,-2.148971913,-4.435116228,0.005593776,0.148163528,DOWN
SPATA13,MUSNIGG00017162,-2.231626186,-4.696630793,0.005757177,0.148163528,DOWN
SPATA13,MUSNIGG00017162,-2.231626186,-4.696630793,0.005757177,0.148163528,DOWN
USPL1,MUSNIGG00017245,-1.732908142,-3.3239718,0.030900673,0.29241415,DOWN
TRPC4,MUSNIGG00017339,-1.599022975,-3.029380873,0.009804809,0.187758227,DOWN
ALG11,MUSNIGG00017387,-1.704326639,-3.258767984,0.02281003,0.267127672,DOWN
TSC22D1,MUSNIGG00017512,-2.220437508,-4.660347415,0.008206058,0.176110698,DOWN
PCDH17,MUSNIGG00017613,-2.798214594,-6.955791045,0.000574661,0.055257757,DOWN
PCDH20,MUSNIGG00017642,-1.90413305,-3.742839153,0.026163962,0.275094762,DOWN
BORA,MUSNIGG00017748,-3.421052193,-10.71122955,5.97E-05,0.022317612,DOWN
CLN5,MUSNIGG00017798,-2.388844815,-5.237378296,0.04600709,0.34216894,DOWN
SLAIN1,MUSNIGG00017806,-2.116339661,-4.335924577,0.046104944,0.342373199,DOWN
KIAA0947,MUSNIGG00018358,-3.210552727,-9.257051362,0.00077613,0.065515497,DOWN
RPL14,MUSNIGG00018392,-4.88785579,-29.6067821,0.0492037,0.351412923,DOWN
GOLPH3,MUSNIGG00018603,-2.871920993,-7.320392442,0.002133119,0.098814209,DOWN
ZFR,MUSNIGG00018615,-1.426144055,-2.687275167,0.049346364,0.351412923,DOWN
GDNF,MUSNIGG00018679,-5.096612139,-34.2163067,0.000470368,0.053994158,DOWN
PELO,MUSNIGG00018786,-3.212938201,-9.272370417,0.001654202,0.090869657,DOWN
PANK3,MUSNIGG00019049,-3.559171589,-11.78738336,0.010320985,0.193082266,DOWN
GPRIN1,MUSNIGG00019159,-4.029666091,-16.33241346,0.000887192,0.068013032,DOWN
SEC24A,MUSNIGG00019294,-2.488326174,-5.61126549,0.002628386,0.112374316,DOWN
TRPC7,MUSNIGG00019336,-2.057516412,-4.162690834,0.035906166,0.30636889,DOWN
SLC35A4,MUSNIGG00019409,-2.782456468,-6.880228446,0.020030911,0.254444097,DOWN
PCDHA3,MUSNIGG00019422,-2.285902473,-4.876690698,0.021683821,0.264469962,DOWN
MARVELD2,MUSNIGG00019702,-2.406100316,-5.300396613,0.012822858,0.215070276,DOWN
VCAN,MUSNIGG00019850,-1.521354443,-2.870604236,0.026549025,0.275094762,DOWN
ERAP1,MUSNIGG00019992,-2.979825434,-7.888907021,0.025273209,0.275094762,DOWN
ERAP2,MUSNIGG00019995,-3.491569023,-11.24778504,0.000579388,0.055257757,DOWN
ZNF608,MUSNIGG00020167,-2.002071146,-4.005746559,0.035411165,0.304748079,DOWN
YTHDC2,MUSNIGG00020350,-2.473676621,-5.554575348,0.021967752,0.265362045,DOWN
ZNF879,MUSNIGG00020381,-3.849334952,-14.41336166,6.42E-05,0.022317612,DOWN
ZNF672,MUSNIGG00020441,-3.15446093,-8.904045283,0.016640968,0.236416612,DOWN
OR2C3,MUSNIGG00020496,-2.690358053,-6.454735835,0.016076851,0.234874333,DOWN
ZNF789,MUSNIGG00020899,-3.176267835,-9.039655767,0.004710329,0.139674313,DOWN
ZNF3,MUSNIGG00020917,-2.786103405,-6.897642732,0.015856922,0.233721427,DOWN
MEPCE,MUSNIGG00020936,-4.928853237,-30.46019425,0.014001023,0.222963108,DOWN
BAZ1B,MUSNIGG00021029,-2.197795024,-4.587776227,0.006390264,0.153114497,DOWN
GTF3C1,MUSNIGG00021283,-3.987388209,-15.86074034,0.027183891,0.278775797,DOWN
SLC5A11,MUSNIGG00021376,-4.946060667,-30.82567683,0.019504607,0.252314916,DOWN
THUMPD1,MUSNIGG00021401,-1.52467018,-2.877209315,0.048209828,0.348428833,DOWN
HMOX2,MUSNIGG00021619,-4.789631542,-27.65812673,0.023091602,0.267127672,DOWN
ZNF174,MUSNIGG00021645,-3.553579681,-11.7417837,0.007031063,0.162972001,DOWN
TIGD7,MUSNIGG00021651,-2.09665073,-4.277152746,0.043221622,0.333516411,DOWN
CHGB,MUSNIGG00021973,-2.795564271,-6.943024543,0.003493346,0.125429538,DOWN
PROKR2,MUSNIGG00021977,-3.142383151,-8.829814631,0.024345363,0.269126924,DOWN
UBOX5,MUSNIGG00022017,-4.214289195,-18.56211496,8.02E-05,0.022945622,DOWN
ZFAND6,MUSNIGG00022118,-1.921997404,-3.789473464,0.011015564,0.198229992,DOWN
HAPLN3,MUSNIGG00022271,-4.569250408,-23.74003914,0.007994484,0.17282297,DOWN
LINS,MUSNIGG00022428,-2.418189631,-5.344998826,0.003673751,0.125429538,DOWN
LRRK1,MUSNIGG00022435,-4.327051481,-20.07115147,0.000616974,0.057710815,DOWN
FAN1,MUSNIGG00022468,-3.679692329,-12.81438494,0.000538247,0.054542394,DOWN
EDC3,MUSNIGG00022595,-2.293763024,-4.903333957,0.020373223,0.256060348,DOWN
MYO9A,MUSNIGG00022639,-1.160139583,-2.234790486,0.045170663,0.339471242,DOWN
MNS1,MUSNIGG00022703,-2.422635189,-5.361494446,0.009238967,0.184207544,DOWN
SLC24A1,MUSNIGG00022836,-1.211625437,-2.315984242,0.042282208,0.329057056,DOWN
GLCE,MUSNIGG00022896,-1.67716775,-3.197995148,0.024238438,0.269126924,DOWN
SALL2,MUSNIGG00022914,-2.54424772,-5.833039001,0.036324878,0.30636889,DOWN
RNASE11,MUSNIGG00022942,-2.644930923,-6.254657662,0.011503685,0.201273104,DOWN
PNP,MUSNIGG00022944,-1.945264154,-3.851082831,0.025534025,0.275094762,DOWN
OR4K15,MUSNIGG00022992,-1.962893259,-3.898430078,0.025693558,0.275094762,DOWN
OR4D5,MUSNIGG00023010,-1.654003553,-3.147057531,0.038940187,0.316730884,DOWN
OR4L1,MUSNIGG00023013,-1.686489106,-3.218724518,0.02569746,0.275094762,DOWN
FMN1,MUSNIGG00023069,-2.201348285,-4.599089536,0.003568002,0.125429538,DOWN
MGA,MUSNIGG00023181,-2.025982858,-4.072692409,0.001878497,0.094755801,DOWN
PLA2G4F,MUSNIGG00023189,-5.616495593,-49.0606891,0.010616436,0.195599794,DOWN
STARD9,MUSNIGG00023200,-1.775946552,-3.424626262,0.026736624,0.275730286,DOWN
TUBB3,MUSNIGG00023203,-2.210468667,-4.628256005,0.013284008,0.216665836,DOWN
EPB42,MUSNIGG00023209,-2.866871501,-7.294815555,0.016484606,0.236416612,DOWN
MAP1A,MUSNIGG00023217,-2.001250252,-4.003467938,0.025273221,0.275094762,DOWN
TRAV18,MUSNIGG00023396,-1.876089849,-3.670788134,0.026025064,0.275094762,DOWN
TRAV21,MUSNIGG00023397,-2.246443782,-4.745117401,0.025568169,0.275094762,DOWN
AKAP6,MUSNIGG00023573,-1.650159671,-3.138683749,0.022875408,0.267127672,DOWN
POFUT2,MUSNIGG00023692,-2.503231259,-5.669538322,0.023750283,0.267410591,DOWN
MIS18BP1,MUSNIGG00023704,-1.559980172,-2.948497911,0.026094793,0.275094762,DOWN
TRIM9,MUSNIGG00023774,-3.232086965,-9.396262158,0.004120666,0.132734565,DOWN
MAPK1IP1L,MUSNIGG00023829,-1.974793713,-3.93072031,0.046525547,0.344357192,DOWN
