Gene_Symbol,geneid,log2FoldChange,FoldChange,pvalue,padj,expression
CUL1,MUSNIGG00000230,2.059519694,4.168475032,0.038575653,0.315347862,UP
TMEM168,MUSNIGG00000697,1.539256755,2.906447311,0.015233895,0.23011697,UP
TRIL,MUSNIGG00000826,2.181234274,4.535414081,0.034994822,0.304169097,UP
SOSTDC1,MUSNIGG00000999,2.644122848,6.251155314,0.006001935,0.148945969,UP
ASB4,MUSNIGG00001106,1.862192626,3.635597851,0.046774493,0.344357192,UP
AKAP9,MUSNIGG00001158,1.166909851,2.245302538,0.032312906,0.298300034,UP
PCNXL2,MUSNIGG00001753,2.489879059,5.617308583,0.00961832,0.186480709,UP
STOX1,MUSNIGG00002104,2.213089211,4.636670514,0.008897969,0.182095976,UP
FAM21A,MUSNIGG00002400,2.355950631,5.119314469,0.003460314,0.125429538,UP
ZFAND4,MUSNIGG00002404,1.810185893,3.506874722,0.034301436,0.302922728,UP
INPP5F,MUSNIGG00002938,2.589373976,6.018374891,0.009906482,0.188223153,UP
TMEM132B,MUSNIGG00003386,2.944010375,7.695474978,0.010715584,0.196681503,UP
RPLP0,MUSNIGG00003639,2.620323879,6.14888097,0.004831844,0.140694567,UP
NPTN,MUSNIGG00003686,2.068264389,4.193818393,0.047833141,0.346736806,UP
ST8SIA3,MUSNIGG00004562,3.716792481,13.14819161,0.001370437,0.083322588,UP
MC4R,MUSNIGG00004615,1.859954225,3.629961444,0.009606657,0.186480709,UP
VAMP7,MUSNIGG00004937,3.273322059,9.668700892,0.008913338,0.182095976,UP
ATP7A,MUSNIGG00005836,2.062668783,4.177583843,0.034840192,0.304169097,UP
ZNF630,MUSNIGG00006166,2.620223639,6.148453751,0.03361131,0.302383832,UP
D3ERTD254E,MUSNIGG00006905,1.554967029,2.938270116,0.030001013,0.290687103,UP
VMN1R233,MUSNIGG00006934,3.18704987,9.107467048,0.001662705,0.090869657,UP
ZNF829,MUSNIGG00007587,1.621816325,3.077622592,0.042743921,0.331589208,UP
ZFP90,MUSNIGG00008122,2.275978623,4.843260569,0.013077492,0.216642057,UP
TERF2,MUSNIGG00008135,1.795927948,3.472387485,0.043949007,0.335059515,UP
PSMD7,MUSNIGG00008144,2.072272238,4.205485139,0.048635161,0.349596901,UP
ACTG1,MUSNIGG00008598,4.530512629,23.11107767,0.0227788,0.267127672,UP
TIMP2,MUSNIGG00008652,5.711062172,52.38428506,0.003208604,0.125429538,UP
AOC3,MUSNIGG00009106,4.518177235,22.91431471,0.009703434,0.187291671,UP
BRIP1,MUSNIGG00009500,1.69379402,3.235063476,0.023312452,0.267410591,UP
CSMD1,MUSNIGG00010278,2.375962826,5.190821312,0.031978852,0.297409441,UP
MCPH1,MUSNIGG00010324,1.707204749,3.265275563,0.04577498,0.341496343,UP
TMEM66,MUSNIGG00010500,3.475951699,11.12668325,0.003379748,0.125429538,UP
PPP1R3B,MUSNIGG00010516,2.77905036,6.86400384,0.014509204,0.224754039,UP
XCR1,MUSNIGG00011583,1.675985589,3.195375748,0.022303226,0.267127672,UP
MAP4,MUSNIGG00011625,1.855303472,3.618278539,0.033982003,0.302922728,UP
DAG1,MUSNIGG00011670,3.140780085,8.820008738,0.004236842,0.13471104,UP
TLR9,MUSNIGG00011741,3.092187053,8.527879499,0.034183589,0.302922728,UP
KCTD6,MUSNIGG00011838,1.826552596,3.5468851,0.046867693,0.344357192,UP
FRMD4B,MUSNIGG00011928,1.937127779,3.829424988,0.040186657,0.322554287,UP
CX3CR1,MUSNIGG00012279,2.124323045,4.359984617,0.022915019,0.267127672,UP
DCLK3,MUSNIGG00012314,2.081099398,4.23129537,0.019883095,0.254444097,UP
TUBA1A,MUSNIGG00012389,2.404385473,5.294100097,0.007769486,0.170486107,UP
GOLGB1,MUSNIGG00012757,1.581304692,2.992403434,0.019174489,0.250392466,UP
PARP14,MUSNIGG00012776,1.382337206,2.606903548,0.035019468,0.304169097,UP
SKIL,MUSNIGG00013157,1.737962661,3.335637842,0.015667934,0.232939801,UP
LRRIQ4,MUSNIGG00013167,2.222695234,4.667646273,0.016914675,0.236416612,UP
MYNN,MUSNIGG00013169,2.352230196,5.106129742,0.009154837,0.184074585,UP
CGGBP1,MUSNIGG00013813,2.226621079,4.680365115,0.018806274,0.248569879,UP
ROBO1,MUSNIGG00013889,1.883478738,3.689636621,0.024226801,0.269126924,UP
CHST11,MUSNIGG00014969,2.682389216,6.419180891,0.015161127,0.22973122,UP
HSP90B1,MUSNIGG00014987,3.432607546,10.79736629,0.001559902,0.088225171,UP
EMP1,MUSNIGG00015531,5.197115147,36.6849178,0.005897415,0.148945969,UP
DENND5B,MUSNIGG00015639,1.720458048,3.295410178,0.041073167,0.325706321,UP
OR11A1,MUSNIGG00015921,1.655078859,3.14940405,0.047537878,0.346497369,UP
TUBA1C,MUSNIGG00015940,2.376484587,5.192698952,0.007781233,0.170486107,UP
C1R,MUSNIGG00016369,2.697031866,6.48466419,0.021237297,0.26162104,UP
AKAP3,MUSNIGG00016428,1.988071461,3.967063418,0.02342947,0.267410591,UP
DCLRE1C,MUSNIGG00016932,2.087230133,4.249314525,0.014194807,0.222963108,UP
PARP4,MUSNIGG00017095,1.689831887,3.226191077,0.011164342,0.198229992,UP
SETDB2,MUSNIGG00017442,1.722536558,3.300161341,0.019620426,0.252427754,UP
RPLP1,MUSNIGG00017849,2.374577346,5.185838747,0.021946893,0.265362045,UP
HTR4,MUSNIGG00018828,2.14448007,4.421328934,0.005938251,0.148945969,UP
C5ORF54,MUSNIGG00018988,1.815351995,3.519454891,0.014113015,0.222963108,UP
AFF4,MUSNIGG00019268,1.738012061,3.335752063,0.026308896,0.275094762,UP
PCDHA3,MUSNIGG00019426,3.190218251,9.12749043,0.001147471,0.080888383,UP
PCDH1,MUSNIGG00019451,1.965209974,3.904695303,0.014227423,0.222963108,UP
GPR150,MUSNIGG00019969,2.538650375,5.810451914,0.043844206,0.334785272,UP
OR2T1,MUSNIGG00020458,1.980901862,3.947397656,0.034839708,0.304169097,UP
TMC5,MUSNIGG00021422,2.47452997,5.557861833,0.010262574,0.193082266,UP
MAGEL2,MUSNIGG00022488,3.490532476,11.23970664,0.009119506,0.184074585,UP
FAM63B,MUSNIGG00022726,3.148112326,8.864948969,0.007141114,0.163841398,UP
PPIB,MUSNIGG00022808,3.016556873,8.092339648,0.004564073,0.139620459,UP
OR10G2,MUSNIGG00022912,1.601496054,3.034578317,0.010602508,0.195599794,UP
OR4N5,MUSNIGG00023014,1.747057154,3.356731527,0.030503805,0.29155289,UP
OLFR1311,MUSNIGG00023046,2.26101761,4.793294593,0.016732357,0.236416612,UP
SPINT1,MUSNIGG00023162,3.359049387,10.26064406,0.045598965,0.341220564,UP
