Gene_Symbol,geneid,log2FoldChange,FoldChange,pvalue,padj,expression
CLCN1,MUSNIGG00000300,-6.970054593,-125.3705422,0.003392129,0.319038624,DOWN
EXOC4,MUSNIGG00000460,-5.29367254,-39.22421149,0.000198431,0.088649239,DOWN
C7ORF45,MUSNIGG00000498,-4.940245125,-30.70166783,0.004008216,0.33956235,DOWN
PTPRZ1,MUSNIGG00000610,-2.943593384,-7.693251032,0.012049941,0.662852278,DOWN
HK1,MUSNIGG00002116,-8.158029732,-285.6351529,0.001980951,0.22124751,DOWN
ZNF485,MUSNIGG00002440,-3.487030541,-11.21245695,0.001912667,0.220512052,DOWN
ABCC2,MUSNIGG00002625,-5.550933839,-46.88107799,0.001707159,0.215753273,DOWN
TACC2,MUSNIGG00002978,-6.767211783,-108.9265463,0.001170096,0.189324262,DOWN
NPC1,MUSNIGG00004215,-4.914997429,-30.16905138,0.019204236,0.953276926,DOWN
TMLHE,MUSNIGG00004940,-7.381663221,-166.7639017,0.00257554,0.270734746,DOWN
GPR112,MUSNIGG00005186,-2.621821012,-6.155265181,0.041110186,0.997485416,DOWN
TGIF2LX,MUSNIGG00005716,-4.920829198,-30.29124978,0.000266324,0.092296572,DOWN
KDM5C,MUSNIGG00006078,-7.137660536,-140.8153244,0.002121163,0.229728422,DOWN
IL1RAPL1,MUSNIGG00006399,-5.312886503,-39.75009776,0.002718012,0.277547884,DOWN
ZNF544,MUSNIGG00006864,-3.42324052,-10.72748902,0.007117734,0.479977008,DOWN
ZNF614,MUSNIGG00006941,-2.332025795,-5.035118721,0.043713418,0.997485416,DOWN
DYNC1LI2,MUSNIGG00008050,-7.477603515,-178.2308809,0.001514027,0.20338705,DOWN
CHST5,MUSNIGG00008223,-5.571537725,-47.55541513,0.004716217,0.374572466,DOWN
ARSG,MUSNIGG00008907,-7.359881373,-164.2650075,0.001514032,0.20338705,DOWN
TEX2,MUSNIGG00008955,-2.155503863,-4.455242201,0.035503039,0.997485416,DOWN
LRRC37B,MUSNIGG00009024,-4.093135974,-17.06698099,4.40E-05,0.039305677,DOWN
SLFN14,MUSNIGG00009565,-2.590341661,-6.022413057,0.011098606,0.647464116,DOWN
C17ORF97,MUSNIGG00009730,-4.723399343,-26.41708439,0.009713031,0.581724328,DOWN
DNAH9,MUSNIGG00009981,-4.014772865,-16.16467801,0.000284069,0.092296572,DOWN
PDGFRL,MUSNIGG00010574,-4.823220391,-28.30961826,0.00048108,0.114625374,DOWN
TRANK1,MUSNIGG00012313,-2.050629397,-4.142866688,0.035589257,0.997485416,DOWN
CCBP2,MUSNIGG00012432,-3.774490445,-13.68468617,0.008471266,0.550478297,DOWN
ATP13A4,MUSNIGG00012885,-3.450561978,-10.93257983,0.042229338,0.997485416,DOWN
PTX3,MUSNIGG00013290,-4.95338364,-30.98254261,1.41E-05,0.028068825,DOWN
OR5H2,MUSNIGG00013764,-2.177261772,-4.522942868,0.045218455,0.997485416,DOWN
TMED2,MUSNIGG00013905,-2.076194005,-4.216932723,0.048222969,0.997485416,DOWN
BRWD1,MUSNIGG00014253,-2.858208819,-7.251144978,0.00307689,0.297210928,DOWN
MANSC1,MUSNIGG00015512,-3.418309982,-10.69088946,0.042393039,0.997485416,DOWN
MCRS1,MUSNIGG00015947,-9.032748102,-523.7549276,0.040415158,0.997485416,DOWN
LARP4,MUSNIGG00015968,-5.305228953,-39.53967077,0.000105786,0.075616145,DOWN
ANKRD52,MUSNIGG00016203,-6.870230368,-116.9891048,0.005557388,0.42094899,DOWN
RPL32,MUSNIGG00016619,-5.829255077,-56.85656661,0.000979091,0.174963607,DOWN
ARMC4,MUSNIGG00016778,-3.49948986,-11.30970866,0.001805381,0.215753273,DOWN
