Gene_Symbol,geneid,log2FoldChange,FoldChange,pvalue,padj,expression
SPAM1,MUSNIGG00000588,-3.143014565,-8.833679958,8.61E-05,0.023270035,DOWN
PTPRZ1,MUSNIGG00000610,-3.664132731,-12.67692322,1.55E-05,0.012534936,DOWN
P2RX7,MUSNIGG00003493,-5.176195588,-36.15681237,0.000100233,0.024590748,DOWN
SERPINB8,MUSNIGG00004678,-3.666514052,-12.69786511,5.78E-05,0.022317612,DOWN
PCDH19,MUSNIGG00005646,-3.01474375,-8.082175895,0.000285576,0.043195499,DOWN
TNRC6C,MUSNIGG00008680,-3.626728305,-12.35247563,0.000150079,0.028966511,DOWN
UTP18,MUSNIGG00009379,-3.100959101,-8.5798897,0.000220253,0.037075632,DOWN
INTS2,MUSNIGG00009499,-4.305399627,-19.77217433,2.22E-05,0.015420297,DOWN
NF1,MUSNIGG00009633,-2.977072235,-7.873866409,0.000363874,0.049163405,DOWN
TENM3,MUSNIGG00010426,-2.589983802,-6.020919389,0.000282815,0.043195499,DOWN
KPNA6,MUSNIGG00010616,-3.52779072,-11.53375775,0.00013616,0.02824696,DOWN
MECOM,MUSNIGG00013171,-4.159702137,-17.87290373,3.83E-07,0.001863832,DOWN
ITSN1,MUSNIGG00014162,-4.295749505,-19.64036049,0.000106542,0.024590748,DOWN
USP15,MUSNIGG00016304,-4.747739656,-26.86655909,0.000105865,0.024590748,DOWN
BORA,MUSNIGG00017748,-3.421052193,-10.71122955,5.97E-05,0.022317612,DOWN
ZNF879,MUSNIGG00020381,-3.849334952,-14.41336166,6.42E-05,0.022317612,DOWN
UBOX5,MUSNIGG00022017,-4.214289195,-18.56211496,8.02E-05,0.022945622,DOWN
GPR55,MUSNIGG00027513,-4.697904262,-25.95434658,0.000336279,0.046733116,DOWN
KCNJ3,MUSNIGG00027775,-3.120152819,-8.69479986,0.000111225,0.024590748,DOWN
ZNF804A,MUSNIGG00028122,-2.87144093,-7.317956959,0.000154837,0.028966511,DOWN
KCNB2,MUSNIGG00028933,-2.692875622,-6.466009479,4.40E-05,0.022317612,DOWN
CREBZF,MUSNIGG00031397,-5.569048613,-47.47343752,9.79E-07,0.002381069,DOWN
KCNJ5,MUSNIGG00031706,-4.496679482,-22.57539744,0.000228674,0.037075632,DOWN
RAPGEF2,MUSNIGG00032765,-2.27900748,-4.853439406,0.000301942,0.043195499,DOWN
GUCY1A3,MUSNIGG00032812,-4.293238463,-19.60620575,1.20E-05,0.011714681,DOWN
DTL,MUSNIGG00034741,-3.731655109,-13.28434425,0.000139376,0.02824696,DOWN
TRPM3,MUSNIGG00037190,-3.408524221,-10.61861883,0.000227615,0.037075632,DOWN
ECM2,MUSNIGG00037315,-4.336481372,-20.20277228,8.37E-06,0.010174195,DOWN
REL,MUSNIGG00038603,-3.11477996,-8.662479062,0.00029537,0.043195499,DOWN
PLK1S1,MUSNIGG00039091,-3.890973372,-14.83541492,7.01E-05,0.022736141,DOWN
UBOX5,MUSNIGG00039308,-4.214289195,-18.56211496,8.02E-05,0.022945622,DOWN
HIVEP1,MUSNIGG00042379,-3.213515959,-9.276084478,0.000216348,0.037075632,DOWN
TNXB,MUSNIGG00042824,-4.601057174,-24.26924249,7.90E-06,0.010174195,DOWN
LRRFIP1,MUSNIGG00027626,4.490222929,22.47459058,5.12E-05,0.022317612,UP
