"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"5142","18","COMPARTMENTS","","Protein-containing complex","1.21E-6","GAR1|DYNC1LI2|MRPL44|SF3B4|TERF2IP|CTC1|EEF1A1|HNRNPA1|ANXA2|CACNA1G|S100A8|S100A10|KCNA3|HNRNPK|WBP4|RPL32|SOD2|EIF3L","9858","6277|6280|6321|6339|6316|6309|6342|6313|6336|6245|6331|6274|6310|6314|6293|6270|6330|6298","5.22E-10","","GOCC:0032991","1.0","0"
"1069","10","TISSUES","","Skin","2.76E-5","SF3B4|TERF2IP|TUBA1C|EEF1A1|HNRNPA1|ANXA2|S100A8|S100A10|HNRNPK|EIF3L","9858","6339|6316|6237|6342|6313|6336|6331|6274|6314|6298","1.45E-8","","BTO:0001253","0.7704792209267218","0"
"451","7","COMPARTMENTS","","Extracellular organelle","1.7E-4","EEF1A1|HNRNPA1|ANXA2|S100A8|S100A10|HNRNPK|SOD2","9858","6342|6313|6336|6331|6274|6314|6330","1.44E-7","","GOCC:0043230","0.6370482253105832","0"
"5073","16","GO Cellular Component","","Protein-containing complex","2.0E-4","GAR1|DYNC1LI2|MRPL44|SF3B4|TERF2IP|CTC1|EEF1A1|HNRNPA1|ANXA2|CACNA1G|S100A10|KCNA3|HNRNPK|WBP4|RPL32|EIF3L","9858","6277|6280|6321|6339|6316|6309|6342|6313|6336|6245|6274|6310|6314|6293|6270|6298","1.78E-7","","GO:0032991","0.6251201343585264","0"
"677","8","GO Cellular Component","","Ribonucleoprotein complex","2.0E-4","GAR1|MRPL44|SF3B4|HNRNPA1|HNRNPK|WBP4|RPL32|EIF3L","9858","6277|6321|6339|6313|6314|6293|6270|6298","1.15E-7","","GO:1990904","0.6251201343585264","0"
"1970","11","TISSUES","","Integument","3.7E-4","SF3B4|TERF2IP|TUBA1C|CTC1|EEF1A1|HNRNPA1|ANXA2|S100A8|S100A10|HNRNPK|EIF3L","9858","6339|6316|6237|6309|6342|6313|6336|6331|6274|6314|6298","3.86E-7","","BTO:0000634","0.5799685309228907","0"
"562","7","COMPARTMENTS","","Ribonucleoprotein complex","4.8E-4","GAR1|MRPL44|SF3B4|HNRNPA1|HNRNPK|WBP4|RPL32","9858","6277|6321|6339|6313|6314|6293|6270","6.26E-7","","GOCC:1990904","0.5608650303093532","0"
"368","6","COMPARTMENTS","","Extracellular exosome","5.9E-4","EEF1A1|HNRNPA1|ANXA2|S100A10|HNRNPK|SOD2","9858","6342|6313|6336|6274|6314|6330","1.02E-6","","GOCC:0070062","0.5457209498805267","0"
"1680","10","TISSUES","","Gastrointestinal tract","6.3E-4","TERF2IP|TUBA1C|EEF1A1|HNRNPA1|ANXA2|S100A8|HNRNPK|RPL32|SOD2|EIF3L","9858","6316|6237|6342|6313|6336|6331|6314|6270|6330|6298","9.95E-7","","BTO:0000511","0.5409064316326123","0"
"1649","10","GO Molecular Function","","RNA binding","7.1E-4","GAR1|MRPL44|SF3B4|EEF1A1|HNRNPA1|ANXA2|HNRNPK|WBP4|RPL32|EIF3L","9858","6277|6321|6339|6342|6313|6336|6314|6293|6270|6298","8.38E-7","","GO:0003723","0.5321324049131742","0"
