"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"1882","25","TISSUES","","Liver","5.79E-8","PSMD7|CALM2|ARPC2|HSP90B1|PPIB|TUBA1C|PPP1R3B|TALDO1|CUL1|HSP90AA1|SLC25A15|ATP7A|AKAP9|VCP|MAP4|S100A8|S100A10|SERBP1|TXN|ABCA1|XDH|LRRFIP1|GOLGB1|RPLP0|ACTG1","10899","8982|9074|9009|9013|9042|8980|9035|9100|8991|9111|9041|8994|9115|9044|9091|9112|9029|9116|9076|9033|8987|9060|9114|9027|9073","3.04E-11","","BTO:0000759","1.0","0"
"2645","28","TISSUES","","Digestive gland","2.15E-7","PSMD7|CALM2|ARPC2|HSP90B1|PPIB|TUBA1C|PPP1R3B|TALDO1|CUL1|HSP90AA1|SLC25A15|ATP7A|RPLP1|AKAP9|VCP|MAP4|S100A8|S100A10|SERBP1|TXN|ABCA1|XDH|LRRFIP1|GOLGB1|ABL2|DAG1|RPLP0|ACTG1","10899","8982|9074|9009|9013|9042|8980|9035|9100|8991|9111|9041|8994|9121|9115|9044|9091|9112|9029|9116|9076|9033|8987|9060|9114|9089|9090|9027|9073","2.25E-10","","BTO:0000345","0.9212747559708206","0"
"1548","22","Reactome Pathways","","Disease","4.69E-7","PSMD7|TLR2|ARPC2|TUBA1A|TUBA1C|TALDO1|CUL1|HSP90AA1|RPLP1|AKAP9|VCP|TLR9|HTR4|TXN|ABCA1|LRRFIP1|GOLGB1|PHF21A|MAML2|DAG1|RPLP0|ACTG1","10899","8982|9026|9009|8978|8980|9100|8991|9111|9121|9115|9044|9134|9127|9076|9033|9060|9114|9047|9117|9090|9027|9073","2.16E-10","","HSA-1643685","0.8744709231188234","0"
"6036","39","TISSUES","","Endocrine gland","8.73E-6","PSMD7|TLR2|ACIN1|CALM2|ARPC2|HSP90B1|PPIB|TUBA1A|TUBA1C|BUB1|PPP1R3B|LIMCH1|TALDO1|ASB4|CUL1|HSP90AA1|SLC25A15|ATP7A|RPLP1|AKAP9|VCP|MAP4|TLR9|S100A8|S100A10|SERBP1|TTI1|TXN|ABCA1|XDH|DNAJA1|TRIP12|LRRFIP1|INPP1|GOLGB1|ABL2|DAG1|RPLP0|ACTG1","10899","8982|9026|9021|9074|9009|9013|9042|8978|8980|9118|9035|9059|9100|9124|8991|9111|9041|8994|9121|9115|9044|9091|9134|9112|9029|9116|9049|9076|9033|8987|9102|9110|9060|9034|9114|9089|9090|9027|9073","1.38E-8","","BTO:0001488","0.6990135509166993","0"
"1970","22","TISSUES","","Integument","8.91E-6","PSMD7|TLR2|CALM2|ARPC2|HSP90B1|PPIB|TUBA1A|TUBA1C|CUL1|HSP90AA1|ATP7A|AKAP9|VCP|S100A8|S100A10|SERBP1|ABCA1|GOLGB1|ROBO1|ABL2|RPLP0|ACTG1","10899","8982|9026|9074|9009|9013|9042|8978|8980|8991|9111|8994|9115|9044|9112|9029|9116|9033|9114|8995|9089|9027|9073","1.87E-8","","BTO:0000634","0.6977888629697355","0"
"5020","34","TISSUES","","Viscus","4.45E-5","PSMD7|ACIN1|CALM2|ARPC2|HSP90B1|PPIB|TUBA1A|TUBA1C|PPP1R3B|TALDO1|ASB4|CUL1|HSP90AA1|SPINT1|SLC25A15|ATP7A|RPLP1|AKAP9|VCP|MAP4|TLR9|HTR4|S100A8|S100A10|SERBP1|TXN|ABCA1|XDH|LRRFIP1|GOLGB1|PMS1|DAG1|RPLP0|ACTG1","10899","8982|9021|9074|9009|9013|9042|8978|8980|9035|9100|9124|8991|9111|9081|9041|8994|9121|9115|9044|9091|9134|9127|9112|9029|9116|9076|9033|8987|9060|9114|8997|9090|9027|9073","1.17E-7","","BTO:0001491","0.6012777002288698","0"
"1956","21","Reactome Pathways","","Immune System","7.44E-5","PSMD7|TLR2|ARPC2|HSP90B1|TUBA1A|TUBA1C|TALDO1|ASB4|CUL1|HSP90AA1|ATP7A|VCP|TLR9|S100A8|TXN|XDH|TRIP12|LRRFIP1|ABL2|RPLP0|ACTG1","10899","8982|9026|9009|9013|8978|8980|9100|9124|8991|9111|8994|9044|9134|9112|9076|8987|9110|9060|9089|9027|9073","8.86E-8","","HSA-168256","0.5704357752804724","0"
"547","12","Reactome Pathways","","Axon guidance","7.44E-5","PSMD7|ARPC2|TUBA1A|TUBA1C|HSP90AA1|RPLP1|TRPC3|ROBO1|ABL2|DAG1|RPLP0|ACTG1","10899","8982|9009|8978|8980|9111|9121|8990|8995|9089|9090|9027|9073","6.85E-8","","HSA-422475","0.5704357752804724","0"
"826","14","Reactome Pathways","","Infectious disease","7.44E-5","PSMD7|TLR2|ARPC2|TUBA1A|TUBA1C|HSP90AA1|RPLP1|VCP|TLR9|HTR4|TXN|PHF21A|RPLP0|ACTG1","10899","8982|9026|9009|8978|8980|9111|9121|9044|9134|9127|9076|9047|9027|9073","1.09E-7","","HSA-5663205","0.5704357752804724","0"
"209","8","KEGG Pathways","","Salmonella infection","7.87E-5","TLR2|ARPC2|HSP90B1|HSP90AA1|TLR9|S100A10|TXN|ACTG1","10899","9026|9009|9013|9111|9134|9029|9076|9073","2.34E-7","","hsa05132","0.5670641139513393","0"
"1069","15","TISSUES","","Skin","1.1E-4","PSMD7|CALM2|ARPC2|HSP90B1|PPIB|TUBA1A|TUBA1C|HSP90AA1|VCP|S100A8|S100A10|SERBP1|ABCA1|RPLP0|ACTG1","10899","8982|9074|9009|9013|9042|8978|8980|9111|9044|9112|9029|9116|9033|9027|9073","3.9E-7","","BTO:0001253","0.5469713276795642","0"
"1675","18","TISSUES","","Blood","2.4E-4","TLR2|ACIN1|CALM2|ARPC2|HSP90B1|HSP90AA1|AKAP9|CX3CR1|VCP|MAP4|TLR9|S100A8|SERBP1|TXN|ABCA1|DNAJA1|RPLP0|ACTG1","10899","9026|9021|9074|9009|9013|9111|9115|9131|9044|9091|9134|9112|9116|9076|9033|9102|9027|9073","1.01E-6","","BTO:0000089","0.5001558643155545","0"
"1680","18","TISSUES","","Gastrointestinal tract","2.4E-4","CALM2|ARPC2|HSP90B1|PPIB|TUBA1A|TUBA1C|HSP90AA1|SPINT1|RPLP1|AKAP9|VCP|HTR4|S100A8|SERBP1|TXN|XDH|RPLP0|ACTG1","10899","9074|9009|9013|9042|8978|8980|9111|9081|9121|9115|9044|9127|9112|9116|9076|8987|9027|9073","1.05E-6","","BTO:0000511","0.5001558643155545","0"
"2132","20","TISSUES","","Embryonic structure","3.3E-4","PSMD7|CALM2|HSP90B1|TUBA1A|TUBA1C|BUB1|HSP90AA1|SPINT1|RPLP1|AKAP9|VCP|MAP4|TLR9|SERBP1|TRPC3|DNAJA1|ROBO1|DAG1|RPLP0|ACTG1","10899","8982|9074|9013|8978|8980|9118|9111|9081|9121|9115|9044|9091|9134|9116|8990|9102|8995|9090|9027|9073","1.73E-6","","BTO:0000174","0.4810462117480831","0"
"2593","22","TISSUES","","Internal female genital organ","3.9E-4","ACIN1|CALM2|HSP90B1|TUBA1C|LIMCH1|TALDO1|CUL1|HSP90AA1|SPINT1|RPLP1|VCP|TLR9|SERBP1|TTI1|TXN|DNAJA1|GOLGB1|ROBO1|ABL2|DAG1|RPLP0|ACTG1","10899","9021|9074|9013|8980|9059|9100|8991|9111|9081|9121|9044|9134|9116|9049|9076|9102|9114|8995|9089|9090|9027|9073","2.26E-6","","BTO:0003099","0.471021692623508","0"
"392","9","Reactome Pathways","","Diseases of signal transduction by growth factor receptors and second messengers","9.0E-4","PSMD7|CUL1|HSP90AA1|AKAP9|VCP|LRRFIP1|GOLGB1|MAML2|ACTG1","10899","8982|8991|9111|9115|9044|9060|9114|9117|9073","2.5E-6","","HSA-5663202","0.4208404334918322","0"
"235","7","TISSUES","","Lymphoblast","9.5E-4","CALM2|HSP90AA1|AKAP9|SERBP1|DNAJA1|RPLP0|ACTG1","10899","9074|9111|9115|9116|9102|9027|9073","7.0E-6","","BTO:0000772","0.41759598786974905","0"
"446","9","TISSUES","","Prostate gland","9.5E-4","TLR2|HSP90B1|PPIB|HSP90AA1|RPLP1|VCP|SERBP1|RPLP0|ACTG1","10899","9026|9013|9042|9111|9121|9044|9116|9027|9073","6.96E-6","","BTO:0001129","0.41759598786974905","0"
"544","10","Reactome Pathways","","Cellular responses to stress","0.0014","PSMD7|TUBA1A|TUBA1C|HSP90AA1|ATP7A|RPLP1|VCP|TXN|DNAJA1|RPLP0","10899","8982|8978|8980|9111|8994|9121|9044|9076|9102|9027","4.57E-6","","HSA-2262752","0.3943270986995972","0"
"1025","13","Reactome Pathways","","Innate Immune System","0.0019","PSMD7|TLR2|ARPC2|HSP90B1|CUL1|HSP90AA1|ATP7A|VCP|TLR9|S100A8|TXN|LRRFIP1|ACTG1","10899","8982|9026|9009|9013|8991|9111|8994|9044|9134|9112|9076|9060|9073","8.04E-6","","HSA-168249","0.3760018707209299","0"
"933","12","TISSUES","","Hematopoietic cell","0.002","TLR2|ACIN1|CALM2|HSP90AA1|AKAP9|S100A8|SERBP1|TXN|ABCA1|DNAJA1|RPLP0|ACTG1","10899","9026|9021|9074|9111|9115|9112|9116|9076|9033|9102|9027|9073","1.66E-5","","BTO:0000574","0.3729238818672767","0"
