"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"2","2","GO Cellular Component","","AnxA2-p11 complex","3.2E-4","ANXA2|S100A10","9543","9626|9619","1.88E-7","","GO:1990665","1.0","0"
"2","2","COMPARTMENTS","","AnxA2-p11 complex","4.3E-4","ANXA2|S100A10","9543","9626|9619","1.88E-7","","GOCC:1990665","0.9632835525233802","0"
"6","2","STRING Clusters","","Mixed, incl. anxa2-p11 complex, and annexin a1","0.004","ANXA2|S100A10","9543","9626|9619","8.77E-7","","CL:17924","0.6861353116146786","0"
"13","2","Reactome Pathways","","Dissolution of Fibrin Clot","0.0071","ANXA2|S100A10","9543","9626|9619","3.29E-6","","HSA-75205","0.6148308619687064","0"
"240","3","COMPARTMENTS","","Vesicle lumen","0.0076","SDCBP|PENK|ANXA2","9543","9605|9603|9626","7.5E-6","","GOCC:0031983","0.6063740631423271","0"
"230","3","COMPARTMENTS","","Secretory granule lumen","0.0076","SDCBP|PENK|ANXA2","9543","9605|9603|9626","6.61E-6","","GOCC:0034774","0.6063740631423271","0"
"235","3","COMPARTMENTS","","Cytoplasmic vesicle lumen","0.0076","SDCBP|PENK|ANXA2","9543","9605|9603|9626","7.04E-6","","GOCC:0060205","0.6063740631423271","0"
"368","3","COMPARTMENTS","","Extracellular exosome","0.0123","SDCBP|ANXA2|S100A10","9543","9605|9626|9619","2.67E-5","","GOCC:0070062","0.5465455961518927","0"
"324","3","GO Cellular Component","","Secretory granule lumen","0.0155","SDCBP|PENK|ANXA2","9543","9605|9603|9626","1.83E-5","","GO:0034774","0.5178100034632499","0"
"451","3","COMPARTMENTS","","Extracellular organelle","0.0179","SDCBP|ANXA2|S100A10","9543","9605|9626|9619","4.88E-5","","GOCC:0043230","0.4999204424172095","0"
"444","3","COMPARTMENTS","","Extracellular vesicle","0.0179","SDCBP|ANXA2|S100A10","9543","9605|9626|9619","4.65E-5","","GOCC:1903561","0.4999204424172095","0"
"45","2","WikiPathways","","Prostaglandin synthesis and regulation","0.0229","ANXA2|S100A10","9543","9626|9619","3.38E-5","","WP98","0.4693089853600152","0"
"10","2","GO Biological Process","","Membrane raft assembly","0.0266","ANXA2|S100A10","9543","9626|9619","2.07E-6","","GO:0001765","0.45069698373257217","0"
"2035","4","COMPARTMENTS","","Extracellular region","0.0339","SDCBP|PENK|ANXA2|S100A10","9543","9605|9603|9626|9619","1.2E-4","","GOCC:0005576","0.42056176736600975","0"
"2051","4","COMPARTMENTS","","Vesicle","0.0339","SDCBP|PENK|ANXA2|S100A10","9543","9605|9603|9626|9619","1.2E-4","","GOCC:0031982","0.42056176736600975","0"
"92","2","COMPARTMENTS","","Azurophil granule lumen","0.0339","SDCBP|ANXA2","9543","9605|9626","1.4E-4","","GOCC:0035578","0.42056176736600975","0"
"704","3","COMPARTMENTS","","Secretory granule","0.0384","SDCBP|PENK|ANXA2","9543","9605|9603|9626","1.8E-4","","GOCC:0030141","0.4050728262587671","0"
"92","2","GO Cellular Component","","Azurophil granule lumen","0.0462","SDCBP|ANXA2","9543","9605|9626","1.4E-4","","GO:0035578","0.38209308444140966","0"
"785","3","COMPARTMENTS","","Secretory vesicle","0.0486","SDCBP|PENK|ANXA2","9543","9605|9603|9626","2.5E-4","","GOCC:0099503","0.3757997403580505","0"
"104","2","GO Cellular Component","","Melanosome","0.049","SDCBP|ANXA2","9543","9605|9626","1.7E-4","","GO:0042470","0.3747811527951688","0"
