"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"48","3","DISEASES","","Primary ciliary dyskinesia","7.28E-5","DNAH9|ARMC4|DNAH8","9543","9634|9621|9639","1.67E-8","","DOID:9562","1.0","0"
"78","3","STRING Clusters","","Primary ciliary dyskinesia, and COPI-independent Golgi-to-ER retrograde traffic","3.1E-4","DNAH9|ARMC4|DNAH8","9543","9634|9621|9639","6.83E-8","","CL:10689","0.8479337136574501","0"
"100","3","COMPARTMENTS","","Axoneme","3.3E-4","DNAH9|ARMC4|DNAH8","9543","9634|9621|9639","1.42E-7","","GOCC:0005930","0.8413718218883713","0"
"114","3","COMPARTMENTS","","Plasma membrane bounded cell projection cytoplasm","3.3E-4","DNAH9|ARMC4|DNAH8","9543","9634|9621|9639","2.08E-7","","GOCC:0032838","0.8413718218883713","0"
"100","3","COMPARTMENTS","","Ciliary plasm","3.3E-4","DNAH9|ARMC4|DNAH8","9543","9634|9621|9639","1.42E-7","","GOCC:0097014","0.8413718218883713","0"
"154","3","COMPARTMENTS","","Cytoplasmic region","3.3E-4","DNAH9|ARMC4|DNAH8","9543","9634|9621|9639","5.07E-7","","GOCC:0099568","0.8413718218883713","0"
"117","3","GO Cellular Component","","Axoneme","3.8E-4","DNAH9|ARMC4|DNAH8","9543","9634|9621|9639","2.25E-7","","GO:0005930","0.8265647648366782","0"
"12","2","COMPARTMENTS","","Outer dynein arm","6.6E-4","DNAH9|DNAH8","9543","9634|9639","1.43E-6","","GOCC:0036157","0.7686218089568335","0"
"12","2","GO Cellular Component","","Outer dynein arm","6.6E-4","DNAH9|DNAH8","9543","9634|9639","1.43E-6","","GO:0036157","0.7686218089568335","0"
"262","3","UniProt Keywords","","Cilium","0.0017","DNAH9|ARMC4|DNAH8","9543","9634|9621|9639","2.46E-6","","KW-0969","0.6693182728846352","0"
"24","2","COMPARTMENTS","","Axonemal dynein complex","0.002","DNAH9|DNAH8","9543","9634|9639","5.09E-6","","GOCC:0005858","0.6522609226505455","0"
"11","2","TISSUES","","Nasal polyp","0.0023","DNAH9|DNAH8","9543","9634|9639","1.22E-6","","BTO:0000913","0.6375920566430175","0"
"33","2","UniProt Keywords","","Dynein","0.0026","DNAH9|DNAH8","9543","9634|9639","9.31E-6","","KW-0243","0.6247241971640993","0"
"30","2","UniProt Keywords","","Kartagener syndrome","0.0026","DNAH9|ARMC4","9543","9634|9621","7.76E-6","","KW-1012","0.6247241971640993","0"
"14","2","Pfam","","Dynein heavy chain and region D6 of dynein motor","0.003","DNAH9|DNAH8","9543","9634|9639","1.88E-6","","PF03028","0.6097048931586166","0"
"9","2","Pfam","","Dynein heavy chain, N-terminal region 1","0.003","DNAH9|DNAH8","9543","9634|9639","8.62E-7","","PF08385","0.6097048931586166","0"
"14","2","Pfam","","Dynein heavy chain, N-terminal region 2","0.003","DNAH9|DNAH8","9543","9634|9639","1.88E-6","","PF08393","0.6097048931586166","0"
"14","2","Pfam","","Hydrolytic ATP binding site of dynein motor region D1","0.003","DNAH9|DNAH8","9543","9634|9639","1.88E-6","","PF12774","0.6097048931586166","0"
"14","2","Pfam","","P-loop containing dynein motor region D3","0.003","DNAH9|DNAH8","9543","9634|9639","1.88E-6","","PF12775","0.6097048931586166","0"
"14","2","Pfam","","Microtubule-binding stalk of dynein motor","0.003","DNAH9|DNAH8","9543","9634|9639","1.88E-6","","PF12777","0.6097048931586166","0"
"13","2","Pfam","","P-loop containing dynein motor region D4","0.003","DNAH9|DNAH8","9543","9634|9639","1.64E-6","","PF12780","0.6097048931586166","0"
"13","2","Pfam","","ATP-binding dynein motor region D5","0.003","DNAH9|DNAH8","9543","9634|9639","1.64E-6","","PF12781","0.6097048931586166","0"
"15","2","InterPro Domains","","Dynein heavy chain region D6 P-loop domain","0.0038","DNAH9|DNAH8","9543","9634|9639","2.13E-6","","IPR004273","0.5848944529759837","0"
"9","2","InterPro Domains","","Dynein heavy chain, domain-1","0.0038","DNAH9|DNAH8","9543","9634|9639","8.62E-7","","IPR013594","0.5848944529759837","0"
"15","2","InterPro Domains","","Dynein heavy chain, domain-2","0.0038","DNAH9|DNAH8","9543","9634|9639","2.13E-6","","IPR013602","0.5848944529759837","0"
"15","2","InterPro Domains","","Dynein heavy chain, AAA module D4","0.0038","DNAH9|DNAH8","9543","9634|9639","2.13E-6","","IPR024317","0.5848944529759837","0"
"14","2","InterPro Domains","","Dynein heavy chain, coiled coil stalk","0.0038","DNAH9|DNAH8","9543","9634|9639","1.88E-6","","IPR024743","0.5848944529759837","0"
"7","2","InterPro Domains","","Dynein heavy chain","0.0038","DNAH9|DNAH8","9543","9634|9639","5.64E-7","","IPR026983","0.5848944529759837","0"
"15","2","InterPro Domains","","Dynein heavy chain, hydrolytic ATP-binding dynein motor region","0.0038","DNAH9|DNAH8","9543","9634|9639","2.13E-6","","IPR035699","0.5848944529759837","0"
"13","2","InterPro Domains","","Dynein heavy chain, ATP-binding dynein motor region","0.0038","DNAH9|DNAH8","9543","9634|9639","1.64E-6","","IPR035706","0.5848944529759837","0"
"15","2","InterPro Domains","","Dynein heavy chain, C-terminal domain","0.0038","DNAH9|DNAH8","9543","9634|9639","2.13E-6","","IPR041228","0.5848944529759837","0"
"14","2","InterPro Domains","","Dynein heavy chain, AAA 5 extension domain","0.0038","DNAH9|DNAH8","9543","9634|9639","1.88E-6","","IPR041466","0.5848944529759837","0"
"12","2","InterPro Domains","","Dynein heavy chain 3, AAA+ lid domain","0.0038","DNAH9|DNAH8","9543","9634|9639","1.43E-6","","IPR041589","0.5848944529759837","0"
"14","2","InterPro Domains","","Dynein heavy chain AAA lid domain","0.0038","DNAH9|DNAH8","9543","9634|9639","1.88E-6","","IPR041658","0.5848944529759837","0"
"14","2","InterPro Domains","","Dynein heavy chain AAA lid domain superfamily","0.0038","DNAH9|DNAH8","9543","9634|9639","1.88E-6","","IPR042219","0.5848944529759837","0"
"15","2","InterPro Domains","","Dynein heavy chain, domain 2, N-terminal","0.0038","DNAH9|DNAH8","9543","9634|9639","2.13E-6","","IPR042222","0.5848944529759837","0"
"15","2","InterPro Domains","","Dynein heavy chain, domain 2, C-terminal","0.0038","DNAH9|DNAH8","9543","9634|9639","2.13E-6","","IPR042228","0.5848944529759837","0"
"14","2","InterPro Domains","","Dynein heavy chain, AAA1 domain, small subdomain","0.0038","DNAH9|DNAH8","9543","9634|9639","1.88E-6","","IPR043157","0.5848944529759837","0"
"14","2","InterPro Domains","","Dynein heavy chain, C-terminal domain, barrel region","0.0038","DNAH9|DNAH8","9543","9634|9639","1.88E-6","","IPR043160","0.5848944529759837","0"
"34","2","Pfam","","AAA domain (dynein-related subfamily)","0.0038","DNAH9|DNAH8","9543","9634|9639","9.86E-6","","PF07728","0.5848944529759837","0"
"493","3","COMPARTMENTS","","Cilium","0.0053","DNAH9|ARMC4|DNAH8","9543","9634|9621|9639","1.62E-5","","GOCC:0005929","0.5499749603024849","0"
"51","2","COMPARTMENTS","","Dynein complex","0.0062","DNAH9|DNAH8","9543","9634|9639","2.16E-5","","GOCC:0030286","0.5335133888652178","0"
"15","2","GO Molecular Function","","ATP-dependent microtubule motor activity, minus-end-directed","0.0069","DNAH9|DNAH8","9543","9634|9639","2.13E-6","","GO:0008569","0.5222860142195509","0"
"30","2","STRING Clusters","","Primary ciliary dyskinesia","0.0071","DNAH9|ARMC4","9543","9634|9621","7.76E-6","","CL:10692","0.5192870649731246","0"
"30","2","GO Molecular Function","","Dynein intermediate chain binding","0.0118","DNAH9|DNAH8","9543","9634|9639","7.76E-6","","GO:0045505","0.46596887659854486","0"
"29","2","GO Molecular Function","","Dynein light intermediate chain binding","0.0118","DNAH9|DNAH8","9543","9634|9639","7.28E-6","","GO:0051959","0.46596887659854486","0"
"132","2","UniProt Keywords","","Motor protein","0.0186","DNAH9|DNAH8","9543","9634|9639","1.4E-4","","KW-0505","0.4182073464417511","0"
"99","2","COMPARTMENTS","","9+2 motile cilium","0.0202","DNAH9|DNAH8","9543","9634|9639","7.89E-5","","GOCC:0097729","0.40954626304013325","0"
"1215","3","UniProt Keywords","","Cytoskeleton","0.0203","DNAH9|ARMC4|DNAH8","9543","9634|9621|9639","2.4E-4","","KW-0206","0.40902796034297484","0"
"176","2","UniProt Keywords","","Cilium biogenesis/degradation","0.0203","DNAH9|ARMC4","9543","9634|9621","2.5E-4","","KW-0970","0.40902796034297484","0"
"118","2","GO Cellular Component","","9+2 motile cilium","0.021","DNAH9|DNAH8","9543","9634|9639","1.1E-4","","GO:0097729","0.4054697862755096","0"
"127","2","COMPARTMENTS","","Motile cilium","0.0298","DNAH9|DNAH8","9543","9634|9639","1.3E-4","","GOCC:0031514","0.36873663129266687","0"
"142","2","COMPARTMENTS","","Microtubule associated complex","0.0337","DNAH9|DNAH8","9543","9634|9639","1.6E-4","","GOCC:0005875","0.3558281410307852","0"
"276","2","UniProt Keywords","","Microtubule","0.0404","DNAH9|DNAH8","9543","9634|9639","6.0E-4","","KW-0493","0.3367962501085954","0"
"334","3","GO Biological Process","","Microtubule-based movement","0.0423","DNAH9|ARMC4|DNAH8","9543","9634|9621|9639","5.06E-6","","GO:0007018","0.3319727518069205","0"
"19","2","GO Biological Process","","Outer dynein arm assembly","0.0423","ARMC4|DNAH8","9543","9621|9639","3.29E-6","","GO:0036158","0.3319727518069205","0"
"1268","3","COMPARTMENTS","","Cell projection","0.0496","DNAH9|ARMC4|DNAH8","9543","9634|9621|9639","2.7E-4","","GOCC:0042995","0.3152633500706043","0"
"1243","3","COMPARTMENTS","","Plasma membrane bounded cell projection","0.0496","DNAH9|ARMC4|DNAH8","9543","9634|9621|9639","2.6E-4","","GOCC:0120025","0.3152633500706043","0"
