Mnigripes_gene_id,Mnigripes_transcript_id,Gene_Symbol,Mpfuro_ensembl_gene_id,description_mpfuro,description_hsapiens
MUSNIGG00000006,MUSNIGT00000008,VIPR2,ENSMPUG00000009951,vasoactive intestinal peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:12695],vasoactive intestinal peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:12695]
MUSNIGG00000010,MUSNIGT00000012,WDR60,NA,NA,NA
MUSNIGG00000011,MUSNIGT00000014,ESYT2,ENSMPUG00000009832,extended synaptotagmin 2 [Source:HGNC Symbol;Acc:HGNC:22211],extended synaptotagmin 2 [Source:HGNC Symbol;Acc:HGNC:22211]
MUSNIGG00000013,MUSNIGT00000017,NCAPG2,ENSMPUG00000009817,non-SMC condensin II complex subunit G2 [Source:NCBI gene;Acc:101694437],non-SMC condensin II complex subunit G2 [Source:HGNC Symbol;Acc:HGNC:21904]
MUSNIGG00000017,MUSNIGT00000022,PTPRN2,ENSMPUG00000009804,protein tyrosine phosphatase receptor type N2 [Source:HGNC Symbol;Acc:HGNC:9677],protein tyrosine phosphatase receptor type N2 [Source:HGNC Symbol;Acc:HGNC:9677]
MUSNIGG00000024,MUSNIGT00000030,DNAJB6,ENSMPUG00000009797,DnaJ heat shock protein family (Hsp40) member B6 [Source:HGNC Symbol;Acc:HGNC:14888],DnaJ heat shock protein family (Hsp40) member B6 [Source:HGNC Symbol;Acc:HGNC:14888]
MUSNIGG00000027,MUSNIGT00000033,UBE3C,ENSMPUG00000009787,ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803],ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803]
MUSNIGG00000034,MUSNIGT00000041,MNX1,NA,NA,motor neuron and pancreas homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4979]
MUSNIGG00000038,MUSNIGT00000045,NOM1,ENSMPUG00000009745,nucleolar protein with MIF4G domain 1 [Source:HGNC Symbol;Acc:HGNC:13244],nucleolar protein with MIF4G domain 1 [Source:HGNC Symbol;Acc:HGNC:13244]
MUSNIGG00000042,MUSNIGT00000049,LMBR1,ENSMPUG00000009738,limb development membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:13243],limb development membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:13243]
MUSNIGG00000044,MUSNIGT00000051,RNF32,ENSMPUG00000009708,ring finger protein 32 [Source:HGNC Symbol;Acc:HGNC:17118],ring finger protein 32 [Source:HGNC Symbol;Acc:HGNC:17118]
MUSNIGG00000072,MUSNIGT00000085,SHH,NA,NA,sonic hedgehog signaling molecule [Source:HGNC Symbol;Acc:HGNC:10848]
MUSNIGG00000076,MUSNIGT00000092,RBM33,ENSMPUG00000009616,RNA binding motif protein 33 [Source:HGNC Symbol;Acc:HGNC:27223],RNA binding motif protein 33 [Source:HGNC Symbol;Acc:HGNC:27223]
MUSNIGG00000082,MUSNIGT00000098,CNPY1,NA,NA,canopy FGF signaling regulator 1 [Source:HGNC Symbol;Acc:HGNC:27786]
