"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange"
"MUSNIGG00000223",12.9231444374884,0.969737176304751,2.25340846934101,17.8532381482293,0.00313607493641339,0.0973799062647691,"MUSNIGT00000270","",NA,NA,NA,1.9584837749054
"MUSNIGG00000229",9.52519552940378,0.849626901774911,5.03723337038913,17.0602844839586,0.00438687351462997,0.118269898193149,"MUSNIGT00000277","EZH2","ENSMPUG00000007249","enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]","enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]",1.80203483715398
"MUSNIGG00000289",22.0528229396791,3.76839696237969,2.22381894753784,31.1987260244485,8.55782735395943e-06,0.00228626768676465,"MUSNIGT00000343","OLFR455",NA,NA,NA,13.6270083252337
"MUSNIGG00000291",19.4987335285516,2.64789128402355,2.06381255120274,14.3105625576576,0.0137524958351362,0.236400661166048,"MUSNIGT00000345","",NA,NA,NA,6.26750518259707
"MUSNIGG00000300",7.62869778056597,-0.444474559122844,5.155593827091,12.4809707086554,0.0287597973497266,0.348967764190801,"MUSNIGT00000357","CLCN1","ENSMPUG00000006980","chloride voltage-gated channel 1 [Source:NCBI gene;Acc:101676182]","chloride voltage-gated channel 1 [Source:HGNC Symbol;Acc:HGNC:2019]",-1.36081840547125
"MUSNIGG00000326",4.05016646092877,1.34524722924832,2.47763653523795,15.293144004096,0.00918053558529144,0.183672119970613,"MUSNIGT00000389","",NA,NA,NA,2.5407373244174
"MUSNIGG00000350",26.2787049997811,1.21757229217308,1.93240364818202,21.463766271602,0.000661865778679332,0.0408173308047398,"MUSNIGT00000416","TAS2R3","ENSMPUG00000018738","taste 2 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:14910]","taste 2 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:14910]",2.32555053777019
"MUSNIGG00000371",10.2266484027648,-4.46098184173651,2.68106316293262,11.5772072283609,0.0410634715847102,0.40963714797534,"MUSNIGT00000441","DENND2A","ENSMPUG00000003441","DENN domain containing 2A [Source:NCBI gene;Acc:101675141]","DENN domain containing 2A [Source:HGNC Symbol;Acc:HGNC:22212]",-22.0236524263279
"MUSNIGG00000396",41.7409191759201,-1.19751410080952,1.9032095011372,62.7501402964983,3.27954710369914e-12,9.80912538716412e-09,"MUSNIGT00000472","ZC3HAV1","ENSMPUG00000003805","zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]","zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]",-2.29344148806114
"MUSNIGG00000433",2.50317299309155,3.708996293978,3.25279225048658,11.1384033996352,0.0487038657400398,0.448225422856797,"MUSNIGT00000519","FAM180A","ENSMPUG00000004053","family with sequence similarity 180 member A [Source:HGNC Symbol;Acc:HGNC:33773]","family with sequence similarity 180 member A [Source:HGNC Symbol;Acc:HGNC:33773]",13.0773316624752
"MUSNIGG00000447",2.68412521198453,2.62075754977599,2.1635938844477,14.8614782382641,0.0109709114503748,0.206377334264598,"MUSNIGT00000539","CALD1","ENSMPUG00000004283","caldesmon 1 [Source:HGNC Symbol;Acc:HGNC:1441]","caldesmon 1 [Source:HGNC Symbol;Acc:HGNC:1441]",6.15072958542352
"MUSNIGG00000459",15.3880794951522,1.34683195077742,2.21820646675148,11.8845503787264,0.0364044122339608,0.387493227728743,"MUSNIGT00000554","LRGUK",NA,NA,"leucine rich repeats and guanylate kinase domain containing [Source:HGNC Symbol;Acc:HGNC:21964]",2.54352971865333
"MUSNIGG00000460",4.55907030008226,0.0577864864383353,2.44842772254261,23.2837076940298,0.00029790729548975,0.0278450225253076,"MUSNIGT00000555","EXOC4",NA,NA,"exocyst complex component 4 [Source:HGNC Symbol;Acc:HGNC:30389]",1.04086754171534
"MUSNIGG00000498",14.5703963176828,0.642318660770503,2.87541814705632,22.2465645953313,0.000469995666403936,0.0331170077884914,"MUSNIGT00000602","C7ORF45",NA,NA,NA,1.56083567780996
"MUSNIGG00000550",4.83183421971856,-2.59812754854495,2.30338116497103,13.6638216641949,0.0178919539112093,0.269361684216075,"MUSNIGT00000668","GCC1","ENSMPUG00000006725","GRIP and coiled-coil domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19095]","GRIP and coiled-coil domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19095]",-6.05500247046474
