"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange"
"MUSNIGG00000017",19.5699223939821,0.0886585189078132,0.528324768179096,1.36630818670997,0.927963012256901,0.999640944791409,"MUSNIGT00000022","PTPRN2","ENSMPUG00000009804","protein tyrosine phosphatase receptor type N2 [Source:HGNC Symbol;Acc:HGNC:9677]","protein tyrosine phosphatase receptor type N2 [Source:HGNC Symbol;Acc:HGNC:9677]",1.06338094438884
"MUSNIGG00000076",8.23965288427391,3.31295945934999,2.36306773120521,10.145900064312,0.0712052206885191,0.544882608011129,"MUSNIGT00000092","RBM33","ENSMPUG00000009616","RNA binding motif protein 33 [Source:HGNC Symbol;Acc:HGNC:27223]","RNA binding motif protein 33 [Source:HGNC Symbol;Acc:HGNC:27223]",9.93802698546042
"MUSNIGG00000145",2.94596888344497,2.68713102773842,2.24331440431161,3.80949130717968,0.577157594179247,0.97260718984376,"MUSNIGT00000167","XRCC2","ENSMPUG00000009388","X-ray repair cross complementing 2 [Source:HGNC Symbol;Acc:HGNC:12829]","X-ray repair cross complementing 2 [Source:HGNC Symbol;Acc:HGNC:12829]",6.44031399343355
"MUSNIGG00000153",101.115874602305,1.21834883467233,1.47665517736643,4.38259210814016,0.495744165459634,0.955003430553431,"MUSNIGT00000177","MLL3",NA,NA,NA,2.32680262146079
"MUSNIGG00000156",3.00255602785616,-1.47204467136608,3.99853240300244,10.3178845721328,0.0667131759985094,0.527291788226682,"MUSNIGT00000183","GALNTL5","ENSMPUG00000009200","polypeptide N-acetylgalactosaminyltransferase like 5 [Source:HGNC Symbol;Acc:HGNC:21725]","polypeptide N-acetylgalactosaminyltransferase like 5 [Source:HGNC Symbol;Acc:HGNC:21725]",-2.77414783517891
"MUSNIGG00000211",2.50478831009076,4.73159280837331,4.31761257327606,6.94572688288693,0.224708064364475,0.796052453340046,"MUSNIGT00000251","ZNF467","ENSMPUG00000006763","zinc finger protein 467 [Source:HGNC Symbol;Acc:HGNC:23154]","zinc finger protein 467 [Source:HGNC Symbol;Acc:HGNC:23154]",26.5675411907345
"MUSNIGG00000212",3.243324256316,-6.27846166991348,6.58257116983878,2.88123371378353,0.718289943480145,0.987477290441613,"MUSNIGT00000253","KRBA1","ENSMPUG00000006758","KRAB-A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22228]","KRAB-A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22228]",-77.6256570596378
"MUSNIGG00000223",12.9231444374884,0.379481730712181,1.73499898255946,17.8532380761078,0.00313607503249668,0.0973799277117754,"MUSNIGT00000270","",NA,NA,NA,1.30087444939342
"MUSNIGG00000229",9.52519552940378,-0.195988418062481,3.87810312857339,17.0603018668371,0.0043868413562141,0.118269853347074,"MUSNIGT00000277","EZH2","ENSMPUG00000007249","enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]","enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]",-1.14550870181349
"MUSNIGG00000230",8.5653574076988,2.55678198420017,1.74479146595622,5.03573045672428,0.411535186446699,0.928889870269715,"MUSNIGT00000279","CUL1","ENSMPUG00000007262","cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]","cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]",5.88393775299678
