"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange"
"MUSNIGG00000011",1.05006521859588,-1.69276090249785,2.47668391402588,-0.68347878100692,0.494304353839611,0.999566778617329,"MUSNIGT00000014","ESYT2","ENSMPUG00000009832","extended synaptotagmin 2 [Source:HGNC Symbol;Acc:HGNC:22211]","extended synaptotagmin 2 [Source:HGNC Symbol;Acc:HGNC:22211]",-3.23274766833035
"MUSNIGG00000017",18.7978481483654,0.306501176245395,0.458238044789646,0.668868898447955,0.503579111468718,0.999566778617329,"MUSNIGT00000022","PTPRN2","ENSMPUG00000009804","protein tyrosine phosphatase receptor type N2 [Source:HGNC Symbol;Acc:HGNC:9677]","protein tyrosine phosphatase receptor type N2 [Source:HGNC Symbol;Acc:HGNC:9677]",1.23670480383064
"MUSNIGG00000076",3.6858965659653,1.64186282248844,2.01331496011253,0.815502221468952,0.414784893505346,0.999566778617329,"MUSNIGT00000092","RBM33","ENSMPUG00000009616","RNA binding motif protein 33 [Source:HGNC Symbol;Acc:HGNC:27223]","RNA binding motif protein 33 [Source:HGNC Symbol;Acc:HGNC:27223]",3.12068517871686
"MUSNIGG00000095",0.782217895011767,-1.17186496049318,2.36450245987662,-0.495607418633993,0.62017141767511,0.999566778617329,"MUSNIGT00000113","HTR5A","ENSMPUG00000009565","5-hydroxytryptamine receptor 5A [Source:HGNC Symbol;Acc:HGNC:5300]","5-hydroxytryptamine receptor 5A [Source:HGNC Symbol;Acc:HGNC:5300]",-2.25302755866793
"MUSNIGG00000145",1.99850355696995,0.445611488361737,1.94689310155086,0.228883387591631,0.818959552642017,0.999566778617329,"MUSNIGT00000167","XRCC2","ENSMPUG00000009388","X-ray repair cross complementing 2 [Source:HGNC Symbol;Acc:HGNC:12829]","X-ray repair cross complementing 2 [Source:HGNC Symbol;Acc:HGNC:12829]",1.36189123373706
"MUSNIGG00000153",95.8146053189131,1.13515985604341,1.18529927884722,0.957698934185992,0.33821459436885,0.999566778617329,"MUSNIGT00000177","MLL3",NA,NA,NA,2.1964289866943
"MUSNIGG00000156",3.17748185001347,-5.81464639571761,2.60549060265363,-2.23168964409065,0.025635482168023,0.999566778617329,"MUSNIGT00000183","GALNTL5","ENSMPUG00000009200","polypeptide N-acetylgalactosaminyltransferase like 5 [Source:HGNC Symbol;Acc:HGNC:21725]","polypeptide N-acetylgalactosaminyltransferase like 5 [Source:HGNC Symbol;Acc:HGNC:21725]",-56.2837440332594
"MUSNIGG00000192",0.880127596915596,2.30381417095827,3.24860276771568,0.70917078377614,0.478218501557937,0.999566778617329,"MUSNIGT00000227","ABP1",NA,NA,NA,4.937614387926
"MUSNIGG00000202",1.08122099472261,-0.873560944205748,3.82714097234511,-0.228254185178464,0.819448639351194,0.999566778617329,"MUSNIGT00000238","ZNF775",NA,NA,"zinc finger protein 775 [Source:HGNC Symbol;Acc:HGNC:28501]",-1.8321796167501
"MUSNIGG00000206",0.843875844829896,-0.363016467296416,1.92982457250559,-0.188108531971429,0.850791572945659,0.999566778617329,"MUSNIGT00000243","C7ORF29",NA,NA,NA,-1.28611216336555
"MUSNIGG00000212",3.57912734067727,4.60877073778383,4.70387400254706,0.979781927680941,0.327193774793713,0.999566778617329,"MUSNIGT00000253","KRBA1","ENSMPUG00000006758","KRAB-A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22228]","KRAB-A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22228]",24.3993487834967
"MUSNIGG00000214",0.789630547057231,-1.8644029272173,1.88202969680772,-0.990634170321373,0.321864246111404,0.999566778617329,"MUSNIGT00000258","ZNF777","ENSMPUG00000006736","zinc finger protein 777 [Source:HGNC Symbol;Acc:HGNC:22213]","zinc finger protein 777 [Source:HGNC Symbol;Acc:HGNC:22213]",-3.64117208950567
"MUSNIGG00000219",1.70820499431428,-0.831822913678849,1.91650998472097,-0.434030044356882,0.664266623845425,0.999566778617329,"MUSNIGT00000265","ZNF212",NA,NA,"zinc finger protein 212 [Source:HGNC Symbol;Acc:HGNC:13004]",-1.77993297186908
"MUSNIGG00000222",0.913742290604723,-0.0427050102533682,2.84763233483345,-0.0149966727554615,0.988034834841346,0.999566778617329,"MUSNIGT00000269","ZNF398","ENSMPUG00000006622","zinc finger protein 398 [Source:HGNC Symbol;Acc:HGNC:18373]","zinc finger protein 398 [Source:HGNC Symbol;Acc:HGNC:18373]",-1.03004331777856
"MUSNIGG00000223",5.39158889811749,-0.134793073382887,1.34477904840393,-0.100234364554436,0.920158264414116,0.999566778617329,"MUSNIGT00000270","",NA,NA,NA,-1.09793532496919
"MUSNIGG00000224",1.47287678161936,-1.17550604971945,2.04961109293625,-0.573526389357816,0.566288336472136,0.999566778617329,"MUSNIGT00000272","ZNF786","ENSMPUG00000006613","zinc finger protein 786 [Source:NCBI gene;Acc:101690504]","zinc finger protein 786 [Source:HGNC Symbol;Acc:HGNC:21806]",-2.25872095530424
"MUSNIGG00000230",7.59296276159297,-1.08221531002717,1.47794595968192,-0.732242815062112,0.464020375902512,0.999566778617329,"MUSNIGT00000279","CUL1","ENSMPUG00000007262","cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]","cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]",-2.11728475300577
"MUSNIGG00000233",0.83882746227215,-1.3448313816602,2.65832355126162,-0.50589454433489,0.612930682444858,0.999566778617329,"MUSNIGT00000282","CNTNAP2",NA,NA,"contactin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:13830]",-2.54000507872456
"MUSNIGG00000236",1.69546509132521,-1.15446748452475,1.74652634036601,-0.66100777173668,0.508607329533425,0.999566778617329,"MUSNIGT00000285","CNTNAP2",NA,NA,"contactin associated protein 2 [Source:HGNC Symbol;Acc:HGNC:13830]",-2.22602143446446
"MUSNIGG00000264",2.6061168562308,0.492516331334815,1.58315061521871,0.311098847197665,0.755725477503254,0.999566778617329,"MUSNIGT00000317","ARHGEF5","ENSMPUG00000007058","Rho guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:13209]","Rho guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:13209]",1.40689662913273
"MUSNIGG00000267",7.0758934921527,-1.05362162995303,1.29729632881447,-0.812167279403217,0.416695652032751,0.999566778617329,"MUSNIGT00000320","OR2A1",NA,NA,"olfactory receptor family 2 subfamily A member 1 [Source:NCBI gene (formerly Entrezgene);Acc:346528]",-2.07573407494635
"MUSNIGG00000267",7.0758934921527,-1.05362162995303,1.29729632881447,-0.812167279403217,0.416695652032751,0.999566778617329,"MUSNIGT00000320","OR2A1",NA,NA,"olfactory receptor family 2 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:8229]",-2.07573407494635
