"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange"
"MUSNIGG00000223",12.9231444374884,0.255807131674955,1.97318546778288,17.8532381735588,0.00313607490266836,0.0973636439598891,"MUSNIGT00000270","",NA,NA,NA,1.19400355468324
"MUSNIGG00000229",9.52519552940378,-1.4827091590505,4.30694057396993,17.0603050017536,0.00438683555662656,0.117720156460652,"MUSNIGT00000277","EZH2","ENSMPUG00000007249","enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]","enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]",-2.79473048158436
"MUSNIGG00000289",22.0528229396791,5.42622816189869,1.97473562375178,31.1987258025403,8.55782821783305e-06,0.00228588880964259,"MUSNIGT00000343","OLFR455",NA,NA,NA,42.9989093532958
"MUSNIGG00000291",19.4987335285516,3.57605880762324,1.83027319702527,14.3105625827416,0.0137524956941519,0.236361140076789,"MUSNIGT00000345","",NA,NA,NA,11.9261692230272
"MUSNIGG00000300",7.62869778056597,-8.77541922361814,4.35512103989936,12.4809620691445,0.0287598960783025,0.348910625647722,"MUSNIGT00000357","CLCN1","ENSMPUG00000006980","chloride voltage-gated channel 1 [Source:NCBI gene;Acc:101676182]","chloride voltage-gated channel 1 [Source:HGNC Symbol;Acc:HGNC:2019]",-438.191966080269
"MUSNIGG00000326",4.05016646092877,0.338472609884794,2.12140443210442,15.2931434074656,0.00918053785189404,0.183641461177854,"MUSNIGT00000389","",NA,NA,NA,1.26441723879423
"MUSNIGG00000350",26.2787049997811,1.21394322138656,1.70620515212938,21.4637655352726,0.000661865991308209,0.0408105205568495,"MUSNIGT00000416","TAS2R3","ENSMPUG00000018738","taste 2 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:14910]","taste 2 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:14910]",2.31970801293467
"MUSNIGG00000371",10.2266484027648,0.360285464513347,2.40363820818171,11.5772170235934,0.0410633144580521,0.409568215812642,"MUSNIGT00000441","DENND2A","ENSMPUG00000003441","DENN domain containing 2A [Source:NCBI gene;Acc:101675141]","DENN domain containing 2A [Source:HGNC Symbol;Acc:HGNC:22212]",1.28367987278854
"MUSNIGG00000396",41.7409191759201,0.402946946006069,1.70246580733544,62.7501401002045,3.27954741067038e-12,9.80748653160977e-09,"MUSNIGT00000472","ZC3HAV1","ENSMPUG00000003805","zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]","zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]",1.32220598114655
"MUSNIGG00000433",2.50317299309155,5.72063907861184,2.90774045517174,11.1383646872854,0.0487045955373569,0.448157209090664,"MUSNIGT00000519","FAM180A","ENSMPUG00000004053","family with sequence similarity 180 member A [Source:HGNC Symbol;Acc:HGNC:33773]","family with sequence similarity 180 member A [Source:HGNC Symbol;Acc:HGNC:33773]",52.7331794405739
"MUSNIGG00000447",2.68412521198453,2.99317269202971,1.90351631324813,14.8614796424976,0.0109709051088741,0.206342715270993,"MUSNIGT00000539","CALD1","ENSMPUG00000004283","caldesmon 1 [Source:HGNC Symbol;Acc:HGNC:1441]","caldesmon 1 [Source:HGNC Symbol;Acc:HGNC:1441]",7.96223080445798
"MUSNIGG00000459",15.3880794951522,3.96940177747176,1.97625079967408,11.8845501156908,0.0364044159973584,0.387428491245908,"MUSNIGT00000554","LRGUK",NA,NA,"leucine rich repeats and guanylate kinase domain containing [Source:HGNC Symbol;Acc:HGNC:21964]",15.6642281443131
"MUSNIGG00000460",4.55907030008226,-4.05104335061916,2.0546815510077,23.2837064986878,0.000297907452477744,0.0278403823948342,"MUSNIGT00000555","EXOC4",NA,NA,"exocyst complex component 4 [Source:HGNC Symbol;Acc:HGNC:30389]",-16.5762222977629
"MUSNIGG00000498",14.5703963176828,-5.05755700538596,2.43363565900092,22.2465585540318,0.000469996911016131,0.0331113694877621,"MUSNIGT00000602","C7ORF45",NA,NA,NA,-33.3024636856749
"MUSNIGG00000550",4.83183421971856,2.81090941562794,2.15423841948133,13.6638087433281,0.0178920475333695,0.269316655487306,"MUSNIGT00000668","GCC1","ENSMPUG00000006725","GRIP and coiled-coil domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19095]","GRIP and coiled-coil domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19095]",7.01726777370107
"MUSNIGG00000588",29.5877281769463,0.84212491178559,1.67710145226496,19.5971111690849,0.00148699892740539,0.0642869991358978,"MUSNIGT00000710","SPAM1","ENSMPUG00000006764","sperm adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:11217]","sperm adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:11217]",1.79268860743634
"MUSNIGG00000594",4.1289350016654,-1.11699414166654,2.10205608237224,23.8872671570802,0.000228214241753006,0.0239464803495566,"MUSNIGT00000716","IDH3B",NA,NA,"isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:5385]",-2.16894601025668
"MUSNIGG00000610",215.23762540108,-0.743524883252569,1.77139101678308,19.2714614872971,0.00171067838115157,0.0680849314466267,"MUSNIGT00000737","PTPRZ1","ENSMPUG00000006874","protein tyrosine phosphatase receptor type Z1 [Source:NCBI gene;Acc:101690982]","protein tyrosine phosphatase receptor type Z1 [Source:HGNC Symbol;Acc:HGNC:9685]",-1.67426150664857
"MUSNIGG00000790",5.3945227473452,-0.558016999582111,1.80911269868182,14.8304899203072,0.0111117230609288,0.207038054914066,"MUSNIGT00000960","PDE1C","ENSMPUG00000005422","phosphodiesterase 1C [Source:HGNC Symbol;Acc:HGNC:8776]","phosphodiesterase 1C [Source:HGNC Symbol;Acc:HGNC:8776]",-1.47224420983222
"MUSNIGG00000909",2.59005322897183,0.281716741962276,1.87669044037856,14.0417899630045,0.0153461285148521,0.249596915923697,"MUSNIGT00001103","GPNMB","ENSMPUG00000013540","glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]","glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]",1.21564058147421
"MUSNIGG00000925",9.11718256514267,-0.973820824238965,1.9892461359958,14.1941946192885,0.0144218020592239,0.241615680997811,"MUSNIGT00001126","DNAH11","ENSMPUG00000013607","dynein axonemal heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:2942]","dynein axonemal heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:2942]",-1.96403525168007
"MUSNIGG00000999",19.8233409261589,-0.149537609491126,1.74626295447862,27.6163416176399,4.32544262836832e-05,0.00739156353150597,"MUSNIGT00001212","SOSTDC1","ENSMPUG00000014023","sclerostin domain containing 1 [Source:NCBI gene;Acc:101685568]","sclerostin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21748]",-1.10921390684519
"MUSNIGG00001233",8.16643421741224,2.68201054639288,1.3929051138344,18.6138579393141,0.00226776166584777,0.0794293127303076,"MUSNIGT00001506","SEMA3E","ENSMPUG00000018299","semaphorin 3E [Source:HGNC Symbol;Acc:HGNC:10727]","semaphorin 3E [Source:HGNC Symbol;Acc:HGNC:10727]",6.41749624384545
"MUSNIGG00001237",451.400209905994,1.63267581360971,1.52175102929118,11.9108858482663,0.036029464831208,0.386186790601174,"MUSNIGT00001513","PCLO","ENSMPUG00000018297","piccolo presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:13406]","piccolo presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:13406]",3.1008759527244
"MUSNIGG00001288",6.94555632135875,-0.374235283880776,1.51786791316837,12.9384741723454,0.0239622043106143,0.314729926933185,"MUSNIGT00001575","",NA,NA,NA,-1.29615233296145
"MUSNIGG00001383",22.9572860555632,-5.84075741950089,2.35005967485719,36.6023228689621,7.19574121217513e-07,0.000358647734916829,"MUSNIGT00001691","",NA,NA,NA,-57.3116854601889
"MUSNIGG00001412",4.73191582636075,0.0586951810865887,2.25506576631371,12.6014511061664,0.0274140591967123,0.339869478723308,"MUSNIGT00001724","",NA,NA,NA,1.04152334815433
