Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0098505~G-rich strand telomeric DNA binding	3	2.6548672566371683	7.589520021356865E-4	CTC1, TERF2IP, HNRNPA1	104	7	16881	69.56456043956044	0.149319066846904	0.16165677645490123	0.16165677645490123
INTERPRO	IPR027417:P-loop containing nucleoside triphosphate hydrolase	13	11.504424778761061	0.004359073145535723	RERGL, ABCC2, DDX58, DNAH8, MCM9, MYO7B, TRANK1, DNAH9, RAD54B, EEF1A1, DYNC1LI2, SLFN14, CHST5	107	879	18559	2.565223863140995	0.6857855063106038	1.0	1.0
INTERPRO	IPR001751:S100/Calbindin-D9k, conserved site	3	2.6548672566371683	0.008898527919778234	S100A16, S100A8, S100A10	107	25	18559	20.813831775700937	0.9063943385607426	1.0	1.0
UP_KEYWORDS	Polymorphism	79	69.91150442477876	0.009832591626780664	RERGL, WDR49, RSC1A1, AHCTF1, IPO11, OR52J3, ACSM4, SLC4A5, LRRC31, NPAP1, LACTB, AKAP10, TRIM6, NIPBL, SESN1, NUDT19, GGT1, ZNF169, ZNF485, ACVR1, PARP4, ABCC2, ANXA2, DDX58, OR13G1, ENTPD7, MYO7B, EMP1, TEX2, BAAT, MRPL44, TGIF2LX, SLFN14, ZW10, IL1RAPL1, PKP2, ZNF317, EXOC4, TBC1D25, TERF2IP, CHST5, SFI1, C17ORF97, C1R, DNAH8, WBP4, TRANK1, DNAH9, CLCN1, RAD54B, ERI1, VPS8, MAP7, ARSG, MAPK6, HNRNPA1, RALGDS, MORC2, CTC1, OR5H2, KDM4D, OR10G2, SWT1, LRBA, HTR1A, LARP4, SOD2, LRFN2, FAM179A, EIF3L, P4HA3, GALNTL5, ZNF614, PTX3, TACC2, TRIM38, BRWD1, RBM44, OR2A2	113	12043	20581	1.1947593395054155	0.8454992607482196	0.7089074012077837	0.7089074012077837
UP_KEYWORDS	RNA-binding	10	8.849557522123893	0.010457151509227961	SF3B4, HNRNPK, ANXA2, DDX58, ERI1, GAR1, LARP4, HNRNPA1, RBM44, MRPL44	113	665	20581	2.738838246057622	0.8628675472559824	0.7089074012077837	0.7089074012077837
GOTERM_BP_DIRECT	GO:0001656~metanephros development	3	2.6548672566371683	0.01140036366485237	OSR2, NIPBL, RDH10	102	27	16792	18.29193899782135	0.9992006855953889	1.0	1.0
INTERPRO	IPR013787:S100/CaBP-9k-type, calcium binding, subdomain	3	2.6548672566371683	0.011865593992802532	S100A16, S100A8, S100A10	107	29	18559	17.942958427328392	0.957709224277128	1.0	1.0
SMART	SM01394:SM01394	3	2.6548672566371683	0.011976228079546562	S100A16, S100A8, S100A10	61	28	10057	17.664519906323186	0.5749060102518782	0.850312193647806	0.850312193647806
UP_KEYWORDS	Dynein	3	2.6548672566371683	0.013883558524143863	DYNC1LI2, DNAH8, DNAH9	113	33	20581	16.557522123893804	0.9288082336049042	0.7089074012077837	0.7089074012077837
GOTERM_BP_DIRECT	GO:0035115~embryonic forelimb morphogenesis	3	2.6548672566371683	0.015799591684126632	OSR2, NIPBL, RDH10	102	32	16792	15.433823529411764	0.9999501158675453	1.0	1.0
UP_KEYWORDS	Cytoplasm	37	32.743362831858406	0.021425117273466424	AHCTF1, IPO11, DNAH8, DNAH9, CACNA1G, TUBA1C, AKAP10, TRIM6, ERI1, S100A16, SESN1, MAP7, MAPK6, HNRNPA1, RALGDS, MORC2, PARP4, DDX58, SPATS2, MYO7B, SERPINB9, BAAT, EEF1A1, HSH2D, DYNC1LI2, HNRNPK, EIF3L, ZW10, IL1RAPL1, LNX1, TBC1D25, TERF2IP, TACC2, BRWD1, SFI1, S100A8, RBM44	113	4816	20581	1.399275644606474	0.9833168451765879	0.7089074012077837	0.7089074012077837
UP_KEYWORDS	Ribonucleoprotein	6	5.3097345132743365	0.022962220232188833	HNRNPK, PARP4, RPL32, GAR1, HNRNPA1, MRPL44	113	296	20581	3.6918799330303753	0.9876050005998862	0.7089074012077837	0.7089074012077837
UP_KEYWORDS	Nucleus	39	34.51327433628318	0.028225940942206495	HEMGN, SF3B4, RSC1A1, AHCTF1, IPO11, CITED2, MCM9, WBP4, RAD54B, NPAP1, NIPBL, ERI1, S100A16, SESN1, GAR1, TCEB1, MAPK6, HNRNPA1, ZNF566, RALGDS, MORC2, ZNF169, ZNF485, CTC1, OSR2, PARP4, KDM4D, EEF1A1, HSH2D, HNRNPK, TGIF2LX, SLFN14, PKP2, ZNF317, ZNF614, TERF2IP, TACC2, BRWD1, SPC25	113	5244	20581	1.3545341325611064	0.9955347887461247	0.7089074012077837	0.7089074012077837
KEGG_PATHWAY	hsa04740:Olfactory transduction	7	6.1946902654867255	0.029413459099850242	OR52J3, OR5H2, OR10G2, OR13G1, OR2K2, OR13A1, OR2A2	42	399	6879	2.8734335839598995	0.8762917888613436	1.0	1.0
UP_KEYWORDS	Metal-binding	29	25.663716814159294	0.032009348880691686	C1R, RFESD, WBP4, NRXN3, ACSM4, TRIM6, ERI1, S100A16, VPS8, NUDT19, ARSG, ZNF566, MORC2, ZNF169, ZNF485, ACVR1, OSR2, KDM4D, DDX58, ENTPD7, SOD2, TMLHE, P4HA3, GALNTL5, ZNF317, LNX1, ZNF614, TRIM38, S100A8	113	3640	20581	1.4510575707478364	0.9978637612521762	0.7089074012077837	0.7089074012077837
UP_KEYWORDS	Spliceosome	4	3.5398230088495577	0.03216018423941727	SF3B4, HNRNPK, WBP4, HNRNPA1	113	127	20581	5.736464357884468	0.9979257620840136	0.7089074012077837	0.7089074012077837
UP_KEYWORDS	Olfaction	7	6.1946902654867255	0.03419787944685049	OR52J3, OR5H2, OR10G2, OR13G1, OR2K2, OR13A1, OR2A2	113	443	20581	2.8779440260492617	0.9986072883031785	0.7089074012077837	0.7089074012077837
GOTERM_BP_DIRECT	GO:0010833~telomere maintenance via telomere lengthening	2	1.7699115044247788	0.0355554987032056	CTC1, TERF2IP	102	6	16792	54.87581699346405	0.9999999998338716	1.0	1.0
GOTERM_BP_DIRECT	GO:0001765~membrane raft assembly	2	1.7699115044247788	0.0355554987032056	ANXA2, S100A10	102	6	16792	54.87581699346405	0.9999999998338716	1.0	1.0
INTERPRO	IPR000725:Olfactory receptor	7	6.1946902654867255	0.0367932374701138	OR52J3, OR5H2, OR10G2, OR13G1, OR2K2, OR13A1, OR2A2	107	430	18559	2.8235818300369484	0.9999515076081604	1.0	1.0
UP_KEYWORDS	Motor protein	4	3.5398230088495577	0.03750832810623195	DYNC1LI2, DNAH8, MYO7B, DNAH9	113	135	20581	5.396525729269092	0.9992721711017851	0.7089074012077837	0.7089074012077837
GOTERM_MF_DIRECT	GO:0003676~nucleic acid binding	12	10.619469026548673	0.03766224610519514	ZNF485, SF3B4, OSR2, DDX58, ERI1, WBP4, ZNF317, ZNF614, HNRNPA1, ZNF566, ZNF169, RBM44	104	985	16881	1.977469738383444	0.9997189635578313	1.0	1.0
GOTERM_BP_DIRECT	GO:0006631~fatty acid metabolic process	3	2.6548672566371683	0.03909465272376857	ACSM4, BAAT, MORC2	102	52	16792	9.497737556561086	0.9999999999831213	1.0	1.0
GOTERM_BP_DIRECT	GO:0051099~positive regulation of binding	2	1.7699115044247788	0.04135848301310262	ANXA2, S100A10	102	7	16792	47.036414565826334	0.999999999996108	1.0	1.0
GOTERM_BP_DIRECT	GO:0006900~membrane budding	2	1.7699115044247788	0.04135848301310262	ANXA2, S100A10	102	7	16792	47.036414565826334	0.999999999996108	1.0	1.0
INTERPRO	IPR003593:AAA+ ATPase domain	4	3.5398230088495577	0.04303004328481507	ABCC2, DNAH8, MCM9, DNAH9	107	136	18559	5.101429356789445	0.9999913293736094	1.0	1.0
GOTERM_BP_DIRECT	GO:0050911~detection of chemical stimulus involved in sensory perception of smell	7	6.1946902654867255	0.043173601007825996	OR52J3, OR5H2, OR10G2, OR13G1, OR2K2, OR13A1, OR2A2	102	425	16792	2.7115109573241063	0.9999999999988026	1.0	1.0
INTERPRO	IPR013320:Concanavalin A-like lectin/glucanase, subgroup	5	4.424778761061947	0.04406140123458352	TRIM6, LRBA, NRXN3, PTX3, TRIM38	107	232	18559	3.7381163390267482	0.9999934844747888	1.0	1.0
UP_KEYWORDS	Cytoskeleton	12	10.619469026548673	0.04564983513154358	TUBA1C, DYNC1LI2, PARP4, DDX58, DNAH8, ZW10, MYO7B, MAP7, DNAH9, TACC2, SFI1, S100A8	113	1138	20581	1.920556169028104	0.9998538612824373	0.784347167260158	0.784347167260158
SMART	SM00382:AAA	4	3.5398230088495577	0.04736566412585515	ABCC2, DNAH8, MCM9, DNAH9	61	136	10057	4.849083895853424	0.9681020785301566	1.0	1.0
