"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange","expression"
"MUSNIGG00001682",52.5328001583244,2.78010295194572,1.36143764919646,2.04203472232943,0.0411480871904217,0.997485415558453,"MUSNIGT00002033","URB2","ENSMPUG00000012438","URB2 ribosome biogenesis homolog [Source:NCBI gene;Acc:101692525]","URB2 ribosome biogenesis homolog [Source:HGNC Symbol;Acc:HGNC:28967]",6.86901365267185,"UP"
"MUSNIGG00002104",16.6879549571641,2.65083561364756,1.22223472972717,2.16884330740567,0.0300945820696466,0.997485415558453,"MUSNIGT00002531","STOX1","ENSMPUG00000004614","storkhead box 1 [Source:HGNC Symbol;Acc:HGNC:23508]","storkhead box 1 [Source:HGNC Symbol;Acc:HGNC:23508]",6.28030930545164,"UP"
"MUSNIGG00002376",12.550406973812,2.73207067938675,1.30539956333705,2.09289994888816,0.0363580868207735,0.997485415558453,"MUSNIGT00002883","WDFY4","ENSMPUG00000009154","WDFY family member 4 [Source:NCBI gene;Acc:101675775]","WDFY family member 4 [Source:HGNC Symbol;Acc:HGNC:29323]",6.64408568660189,"UP"
"MUSNIGG00003090",30.7736628998174,3.07537667045198,1.21566433756049,2.52979097554463,0.0114130496182256,0.647464116437117,"MUSNIGT00003786","MKI67","NA","NA","marker of proliferation Ki-67 [Source:HGNC Symbol;Acc:HGNC:7107]",8.4290887348114,"UP"
"MUSNIGG00004142",21.1179582762971,2.39532910951074,1.21871261535191,1.96545853332212,0.0493611905296476,0.997485415558453,"MUSNIGT00005085","EMILIN2","ENSMPUG00000005128","elastin microfibril interfacer 2 [Source:HGNC Symbol;Acc:HGNC:19881]","elastin microfibril interfacer 2 [Source:HGNC Symbol;Acc:HGNC:19881]",5.26097104365072,"UP"
"MUSNIGG00004447",4.8928517323159,4.12165395353852,1.92292954111098,2.14342432492727,0.0320790415943388,0.997485415558453,"MUSNIGT00005447","LOXHD1","ENSMPUG00000000881","lipoxygenase homology domains 1 [Source:HGNC Symbol;Acc:HGNC:26521]","lipoxygenase homology PLAT domains 1 [Source:HGNC Symbol;Acc:HGNC:26521]",17.4077031346017,"UP"
"MUSNIGG00007925",8.61757272198606,4.47585999030634,1.82338480628284,2.45469852270561,0.0141002784580434,0.730353553754305,"MUSNIGT00009670","NLRC5","ENSMPUG00000004223","NLR family CARD domain containing 5 [Source:HGNC Symbol;Acc:HGNC:29933]","NLR family CARD domain containing 5 [Source:HGNC Symbol;Acc:HGNC:29933]",22.2519519501703,"UP"
"MUSNIGG00008154",95.9885202178157,2.34063707413347,1.16846665853214,2.00316975845408,0.0451590704669698,0.997485415558453,"MUSNIGT00009949","ZFHX3","ENSMPUG00000007747","zinc finger homeobox 3 [Source:HGNC Symbol;Acc:HGNC:777]","zinc finger homeobox 3 [Source:HGNC Symbol;Acc:HGNC:777]",5.06526263186573,"UP"
"MUSNIGG00008310",11.4682384378899,3.34426981663621,1.51507275982308,2.20733281286552,0.0272908164991979,0.997485415558453,"MUSNIGT00010143","SDR42E1","ENSMPUG00000009237","short chain dehydrogenase/reductase family 42E, member 1 [Source:HGNC Symbol;Acc:HGNC:29834]","short chain dehydrogenase/reductase family 42E, member 1 [Source:HGNC Symbol;Acc:HGNC:29834]",10.1560663248955,"UP"
"MUSNIGG00010516",13.646763080107,3.65716915905742,1.63409595938816,2.23803818744325,0.0252185649571937,0.997485415558453,"MUSNIGT00012863","PPP1R3B","ENSMPUG00000019944","protein phosphatase 1 regulatory subunit 3B [Source:HGNC Symbol;Acc:HGNC:14942]","protein phosphatase 1 regulatory subunit 3B [Source:HGNC Symbol;Acc:HGNC:14942]",12.6158819371316,"UP"
