"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange"
"MUSNIGG00000017",19.5699223939821,0.255063474236913,0.513586112417306,1.3663081867019,0.927963012257767,0.99964094479036,"MUSNIGT00000022","PTPRN2","ENSMPUG00000009804","protein tyrosine phosphatase receptor type N2 [Source:HGNC Symbol;Acc:HGNC:9677]","protein tyrosine phosphatase receptor type N2 [Source:HGNC Symbol;Acc:HGNC:9677]",1.19338824736552
"MUSNIGG00000076",8.23965288427391,3.0367284759937,2.30852869822305,10.1458989479744,0.0712052507400174,0.544185674719702,"MUSNIGT00000092","RBM33","ENSMPUG00000009616","RNA binding motif protein 33 [Source:HGNC Symbol;Acc:HGNC:27223]","RNA binding motif protein 33 [Source:HGNC Symbol;Acc:HGNC:27223]",8.20628054529628
"MUSNIGG00000145",2.94596888344497,2.64795046118432,2.18757172773902,3.80949121049505,0.577157608409945,0.972340795110061,"MUSNIGT00000167","XRCC2","ENSMPUG00000009388","X-ray repair cross complementing 2 [Source:HGNC Symbol;Acc:HGNC:12829]","X-ray repair cross complementing 2 [Source:HGNC Symbol;Acc:HGNC:12829]",6.2677622714191
"MUSNIGG00000153",101.115874602305,0.610833371645976,1.44683498733527,4.38259210802926,0.495744165474758,0.954385506965875,"MUSNIGT00000177","MLL3",NA,NA,NA,1.527141106071
"MUSNIGG00000156",3.00255602785616,-0.399614629895996,3.92377473419233,10.3178850925402,0.0667131628153942,0.526597045616815,"MUSNIGT00000183","GALNTL5","ENSMPUG00000009200","polypeptide N-acetylgalactosaminyltransferase like 5 [Source:HGNC Symbol;Acc:HGNC:21725]","polypeptide N-acetylgalactosaminyltransferase like 5 [Source:HGNC Symbol;Acc:HGNC:21725]",-1.31915549326414
"MUSNIGG00000211",2.50478831009076,3.9246169867503,4.21425330972238,6.94574077820393,0.224707014852164,0.795581401517836,"MUSNIGT00000251","ZNF467","ENSMPUG00000006763","zinc finger protein 467 [Source:HGNC Symbol;Acc:HGNC:23154]","zinc finger protein 467 [Source:HGNC Symbol;Acc:HGNC:23154]",15.1854418997382
"MUSNIGG00000212",3.243324256316,-1.55466759011324,6.47859188844,2.88127322275899,0.718283859321413,0.987250549233117,"MUSNIGT00000253","KRBA1","ENSMPUG00000006758","KRAB-A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22228]","KRAB-A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22228]",-2.93766032526615
"MUSNIGG00000223",12.9231444374884,1.38035387256312,1.69964086149575,17.8532381984427,0.00313607486951702,0.0973799188257414,"MUSNIGT00000270","",NA,NA,NA,2.60332219046218
"MUSNIGG00000229",9.52519552940378,-1.42076986288198,3.78469210076262,17.0603112499074,0.00438682399758067,0.118269898278768,"MUSNIGT00000277","EZH2","ENSMPUG00000007249","enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]","enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]",-2.67728340260299
"MUSNIGG00000230",8.5653574076988,0.554249995547169,1.68707435101083,5.03573038295445,0.411535195385233,0.928193028671948,"MUSNIGT00000279","CUL1","ENSMPUG00000007262","cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]","cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]",1.46840506466474
"MUSNIGG00000264",7.01079037080522,-0.555348281413263,1.95352197077583,9.5635055202483,0.0885911123662494,0.586879329097347,"MUSNIGT00000317","ARHGEF5","ENSMPUG00000007058","Rho guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:13209]","Rho guanine nucleotide exchange factor 5 [Source:HGNC Symbol;Acc:HGNC:13209]",-1.46952334850314
