"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange"
"MUSNIGG00000223",12.9231444374884,0.379481730712181,1.73499898255946,17.8532380761078,0.00313607503249668,0.0973799277117754,"MUSNIGT00000270","",NA,NA,NA,1.30087444939342
"MUSNIGG00000229",9.52519552940378,-0.195988418062481,3.87810312857339,17.0603018668371,0.0043868413562141,0.118269853347074,"MUSNIGT00000277","EZH2","ENSMPUG00000007249","enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]","enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]",-1.14550870181349
"MUSNIGG00000289",22.0528229396791,6.11058562550166,1.73739879674825,31.1987263580417,8.55782605530356e-06,0.00228627242117072,"MUSNIGT00000343","OLFR455",NA,NA,NA,69.0986502906889
"MUSNIGG00000291",19.4987335285516,3.13301011295343,1.59862814369208,14.3105625687295,0.0137524957729067,0.236400660096345,"MUSNIGT00000345","",NA,NA,NA,8.77263420259318
"MUSNIGG00000300",7.62869778056597,-1.89319422801218,3.98545887620621,12.4810021897346,0.0287594376003757,0.348963399037419,"MUSNIGT00000357","CLCN1","ENSMPUG00000006980","chloride voltage-gated channel 1 [Source:NCBI gene;Acc:101676182]","chloride voltage-gated channel 1 [Source:HGNC Symbol;Acc:HGNC:2019]",-3.71456746257891
"MUSNIGG00000326",4.05016646092877,1.45665061111791,1.89387073363717,15.2931429024282,0.0091805397705347,0.183672203703474,"MUSNIGT00000389","",NA,NA,NA,2.74470407529472
"MUSNIGG00000350",26.2787049997811,0.250828018354712,1.48473628918592,21.4637661443922,0.000661865815413522,0.0408173330701411,"MUSNIGT00000416","TAS2R3","ENSMPUG00000018738","taste 2 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:14910]","taste 2 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:14910]",1.18988984275833
"MUSNIGG00000371",10.2266484027648,-1.05338973765212,2.11076003590661,11.5772154544911,0.0410633396281973,0.410317899715608,"MUSNIGT00000441","DENND2A","ENSMPUG00000003441","DENN domain containing 2A [Source:NCBI gene;Acc:101675141]","DENN domain containing 2A [Source:HGNC Symbol;Acc:HGNC:22212]",-2.075400457616
"MUSNIGG00000396",41.7409191759201,0.919539745547949,1.49554873670602,62.7501405094126,3.27954677073619e-12,9.80912439127194e-09,"MUSNIGT00000472","ZC3HAV1","ENSMPUG00000003805","zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]","zinc finger CCCH-type containing, antiviral 1 [Source:HGNC Symbol;Acc:HGNC:23721]",1.8915117593945
"MUSNIGG00000433",2.50317299309155,4.41989052202136,2.49631536440071,11.1384027593145,0.0487038778111514,0.44891617421619,"MUSNIGT00000519","FAM180A","ENSMPUG00000004053","family with sequence similarity 180 member A [Source:HGNC Symbol;Acc:HGNC:33773]","family with sequence similarity 180 member A [Source:HGNC Symbol;Acc:HGNC:33773]",21.405216493958
