"geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Mnigripes_transcript_id","Gene_Symbol","Mpfuro_ensembl_gene_id","description_mpfuro","description_hsapiens","FoldChange","expression"
"MUSNIGG00000156",3.17748185001347,-5.81464639571761,2.60549060265363,-2.23168964409065,0.025635482168023,0.999566778617329,"MUSNIGT00000183","GALNTL5","ENSMPUG00000009200","polypeptide N-acetylgalactosaminyltransferase like 5 [Source:HGNC Symbol;Acc:HGNC:21725]","polypeptide N-acetylgalactosaminyltransferase like 5 [Source:HGNC Symbol;Acc:HGNC:21725]",-56.2837440332594,"DOWN"
"MUSNIGG00000270",26.6969205643122,-2.5146492769491,1.18947736382163,-2.11407913545314,0.0345085089071449,0.999566778617329,"MUSNIGT00000323","OR2A2","NA","NA","olfactory receptor family 2 subfamily A member 2 [Source:NCBI gene (formerly Entrezgene);Acc:442361]",-5.71458715855503,"DOWN"
"MUSNIGG00000270",26.6969205643122,-2.5146492769491,1.18947736382163,-2.11407913545314,0.0345085089071449,0.999566778617329,"MUSNIGT00000323","OR2A2","NA","NA","olfactory receptor family 2 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:8230]",-5.71458715855503,"DOWN"
"MUSNIGG00000300",8.38683423236181,-6.86894024996449,2.52033070581636,-2.7254122778858,0.00642212394451602,0.847639152848846,"MUSNIGT00000357","CLCN1","ENSMPUG00000006980","chloride voltage-gated channel 1 [Source:NCBI gene;Acc:101676182]","chloride voltage-gated channel 1 [Source:HGNC Symbol;Acc:HGNC:2019]",-116.884535061804,"DOWN"
"MUSNIGG00000460",4.83365019237176,-4.39130138648427,1.49227830271734,-2.94268259378161,0.00325381838548994,0.622147595366834,"MUSNIGT00000555","EXOC4","NA","NA","exocyst complex component 4 [Source:HGNC Symbol;Acc:HGNC:30389]",-20.9852156900797,"DOWN"
"MUSNIGG00000498",15.7004248759978,-5.91348464081073,1.8358705084437,-3.22107938093286,0.00127708770138505,0.412008194301992,"MUSNIGT00000602","C7ORF45","NA","NA","NA",-60.2748663099127,"DOWN"
"MUSNIGG00002440",11.6773227028564,-4.48647497167079,1.21224449094355,-3.70096544483261,0.000214780726448557,0.11301493349815,"MUSNIGT00002956","ZNF485","NA","NA","zinc finger protein 485 [Source:HGNC Symbol;Acc:HGNC:23440]",-22.416279925397,"DOWN"
"MUSNIGG00002623",2.38217422435684,-2.69295632603643,1.33459476199136,-2.01780825365914,0.0436112349673512,0.999566778617329,"MUSNIGT00003186","ENTPD7","ENSMPUG00000016988","ectonucleoside triphosphate diphosphohydrolase 7 [Source:HGNC Symbol;Acc:HGNC:19745]","ectonucleoside triphosphate diphosphohydrolase 7 [Source:HGNC Symbol;Acc:HGNC:19745]",-6.46637119435841,"DOWN"
"MUSNIGG00002625",9.51333690149269,-4.73416257444068,1.86318921110707,-2.54089200722009,0.0110570065841725,0.859062738896454,"MUSNIGT00003188","ABCC2","ENSMPUG00000016985","ATP binding cassette subfamily C member 2 [Source:NCBI gene;Acc:101682561]","ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53]",-26.614906159967,"DOWN"
"MUSNIGG00002978",13.4769812696061,-5.70116679342164,2.18956779217903,-2.60378637911362,0.00922002040171587,0.859062738896454,"MUSNIGT00003656","TACC2","NA","NA","transforming acidic coiled-coil containing protein 2 [Source:HGNC Symbol;Acc:HGNC:11523]",-52.0262130541437,"DOWN"
"MUSNIGG00003808",3.42983692478654,-4.80756657693618,2.31449413203987,-2.07715652002931,0.0377871154159146,0.999566778617329,"MUSNIGT00004677","MORC2","ENSMPUG00000012872","MORC family CW-type zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:23573]","MORC family CW-type zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:23573]",-28.0041081248455,"DOWN"
"MUSNIGG00003825",3.15774606628553,-5.48783648378665,2.42230488367431,-2.26554325212041,0.0234793629597014,0.999566778617329,"MUSNIGT00004703","SFI1","ENSMPUG00000012788","SFI1 centrin binding protein [Source:HGNC Symbol;Acc:HGNC:29064]","SFI1 centrin binding protein [Source:HGNC Symbol;Acc:HGNC:29064]",-44.8748895763256,"DOWN"
"MUSNIGG00003915",8.02602682351393,-7.53461331655882,2.79456567194484,-2.69616613135995,0.00701426739595031,0.859062738896454,"MUSNIGT00004802","GGT1","NA","NA","gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]",-185.414892639975,"DOWN"
"MUSNIGG00004940",6.29885133589983,-7.06160055527618,2.59207079425797,-2.72430852232866,0.00644362819602401,0.847639152848846,"MUSNIGT00006031","TMLHE","ENSMPUG00000016127","trimethyllysine hydroxylase, epsilon [Source:HGNC Symbol;Acc:HGNC:18308]","trimethyllysine hydroxylase, epsilon [Source:HGNC Symbol;Acc:HGNC:18308]",-133.583735728174,"DOWN"
